"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"PID_RAC1_REG_PATHWAY",0.00568946080067267,38,1,"EPS8",1,0
"PID_CDC42_PATHWAY",0.0104638142498183,70,1,"EPS8",1,0
"PID_ERBB1_DOWNSTREAM_PATHWAY",0.0156682365208868,105,1,"EPS8",1,0
"PID_PDGFRBPATHWAY",0.019226415975014,129,1,"EPS8",1,0
