"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"PID_SYNDECAN_4_PATHWAY",0.00479256334853939,32,1,"MDK",1,0
"PID_INTEGRIN_A4B1_PATHWAY",0.00494208369659377,33,1,"MDK",1,0
"PID_INTEGRIN1_PATHWAY",0.00986785771631804,66,1,"MDK",1,0
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.0101658658840531,68,1,"PTPRZ1",1,0
"KEGG_ECM_RECEPTOR_INTERACTION",0.0125477788590899,84,1,"TNR",1,0
"KEGG_FOCAL_ADHESION",0.0298494850492599,201,1,"TNR",1,0
