"comm","size","members","numSigEnrichedPathways","conn.pvalue"
1,8,"ERRFI1  FEZ2  HIPK3  MAPK7  PRKCZ  RAF1  RPS6KB1  SASH1",7,"< 2e-03"
2,8,"ARID4B  GTF3C4  MCFD2  MIB2  MSN  PICALM  SIP1  SLIT2",0,"< 2e-03"
3,8,"ANK3  CRKL  CSNK1G3  ETV6  MAP4K5  SEC23A  TBK1  WIPF1",0,"< 2e-03"
4,8,"CFL2  CKAP4  EPS8  GMFB  LRP1B  MPRIP  TFAP2A  TMOD3",0,"< 2e-03"
5,5,"CLASP1  GOLGA1  NADK  RAB11FIP2  RASSF8",0,"< 2e-03"
6,3,"NF2  PPFIA1  RALGDS",0,"< 2e-03"
7,4,"MAP2  MARCKS  NIN  TOB1",0,"< 2e-03"
8,4,"FN1  PKD1  PPM1F  TCEB1",0,"< 2e-03"
9,7,"CREBBP  JUN  KHDRBS1  NFIA  NR3C1  PML  RANBP9",7,"< 2e-03"
