"geneName","comm","degree","geneset","leftovers","isCandidate"
"ERRFI1",1,2,"Stage_2",0,0
"FEZ2",1,1,"Stage_2",0,0
"HIPK3",1,1,"Stage_2",0,0
"MAPK7",1,2,"Stage_2",0,0
"PRKCZ",1,4,"Stage_2",0,0
"RAF1",1,14,"Stage_2",0,0
"RPS6KB1",1,1,"Stage_2",0,0
"SASH1",1,3,"Stage_2",0,0
"ARID4B",2,7,"Stage_2",0,0
"GTF3C4",2,3,"Stage_2",0,0
"MCFD2",2,1,"Stage_2",0,0
"MIB2",2,3,"Stage_2",0,0
"MSN",2,1,"Stage_2",0,0
"PICALM",2,1,"Stage_2",0,0
"SIP1",2,1,"Stage_2",0,0
"SLIT2",2,5,"Stage_2",0,0
"ANK3",3,1,"Stage_2",0,0
"CRKL",3,7,"Stage_2",0,0
"CSNK1G3",3,2,"Stage_2",0,0
"ETV6",3,1,"Stage_2",0,0
"MAP4K5",3,3,"Stage_2",0,0
"SEC23A",3,1,"Stage_2",0,0
"TBK1",3,2,"Stage_2",0,0
"WIPF1",3,3,"Stage_2",0,0
"CFL2",4,3,"Stage_2",0,0
"CKAP4",4,3,"Stage_2",0,0
"EPS8",4,1,"Stage_2",0,0
"GMFB",4,3,"Stage_2",0,0
"LRP1B",4,3,"Stage_2",0,0
"MPRIP",4,9,"Stage_2",0,0
"TFAP2A",4,1,"Stage_2",0,0
"TMOD3",4,4,"Stage_2",0,0
"CLASP1",5,4,"Stage_2",0,0
"GOLGA1",5,1,"Stage_2",0,0
"NADK",5,4,"Stage_2",0,0
"RAB11FIP2",5,4,"Stage_2",0,0
"RASSF8",5,5,"Stage_2",0,0
"NF2",6,2,"Stage_2",0,0
"PPFIA1",6,1,"Stage_2",0,0
"RALGDS",6,2,"Stage_2",0,0
"MAP2",7,3,"Stage_2",0,0
"MARCKS",7,3,"Stage_2",0,0
"NIN",7,2,"Stage_2",0,0
"TOB1",7,1,"Stage_2",0,0
"FN1",8,2,"Stage_2",0,0
"PKD1",8,1,"Stage_2",0,0
"PPM1F",8,1,"Stage_2",0,0
"TCEB1",8,3,"Stage_2",0,0
"CREBBP",9,5,"Stage_2",0,0
"JUN",9,3,"Stage_2",0,0
"KHDRBS1",9,1,"Stage_2",0,0
"NFIA",9,1,"Stage_2",0,0
"NR3C1",9,5,"Stage_2",0,0
"PML",9,2,"Stage_2",0,0
"RANBP9",9,4,"Stage_2",0,0
"AFF3",10,1,"Stage_2",1,0
"AP1S2",10,0,"Stage_2",1,0
"ARIH1",10,0,"Stage_2",1,0
"ASF1A",10,0,"Stage_2",1,0
"BAG5",10,0,"Stage_2",1,0
"C16orf72",10,0,"Stage_2",1,0
"C21orf91",10,0,"Stage_2",1,0
"CC2D1A",10,0,"Stage_2",1,0
"CCNJ",10,0,"Stage_2",1,0
"CDH11",10,0,"Stage_2",1,0
"COL4A3BP",10,0,"Stage_2",1,0
"DNAJC3",10,0,"Stage_2",1,0
"DNMT3A",10,0,"Stage_2",1,0
"DPY19L1",10,0,"Stage_2",1,0
"DUSP1",10,0,"Stage_2",1,0
"EIF5A2",10,0,"Stage_2",1,0
"ELL2",10,1,"Stage_2",1,0
"ELMOD2",10,0,"Stage_2",1,0
"FBXO33",10,0,"Stage_2",1,0
"GABBR2",10,0,"Stage_2",1,0
"GIT2",10,0,"Stage_2",1,0
"GLYCTK",10,0,"Stage_2",1,0
"GOLGA7",10,0,"Stage_2",1,0
"GPM6A",10,0,"Stage_2",1,0
"HECTD2",10,0,"Stage_2",1,0
"IMPA2",10,0,"Stage_2",1,0
"ITGA1",10,0,"Stage_2",1,0
"KIAA1432",10,0,"Stage_2",1,0
"KLHDC10",10,0,"Stage_2",1,0
"MBOAT2",10,0,"Stage_2",1,0
"MLXIP",10,0,"Stage_2",1,0
"MMEL1",10,0,"Stage_2",1,0
"NDUFA4",10,0,"Stage_2",1,0
"NOVA1",10,0,"Stage_2",1,0
"NR5A2",10,0,"Stage_2",1,0
