miRNA Name	Gene Symbol
hsa-miR-940	CFL2
hsa-miR-940	TTC9
hsa-miR-940	SMOX
hsa-miR-940	SLC7A8
hsa-miR-940	SUFU
hsa-miR-940	ALX4
hsa-miR-940	VASH1
hsa-miR-940	FAM227A
hsa-miR-940	GYS1
hsa-miR-940	SLC17A7
hsa-miR-940	TRABD2B
hsa-miR-940	FAM172A
hsa-miR-940	NHLRC2
hsa-miR-940	ZNF100
hsa-miR-940	BLCAP
hsa-miR-940	SYT15
hsa-miR-940	MCF2
hsa-miR-940	NDUFB4
hsa-miR-940	MED22
hsa-miR-940	TRAF6
hsa-miR-940	OCRL
hsa-miR-940	C20orf112
hsa-miR-940	ETS1
hsa-miR-940	ITM2C
hsa-miR-940	ZC3H4
hsa-miR-940	MLEC
hsa-miR-940	MAPRE2
hsa-miR-940	ESRRG
hsa-miR-940	NRIP3
hsa-miR-940	GXYLT1
hsa-miR-940	CELF3
hsa-miR-940	OTOF
hsa-miR-940	TRIB3
hsa-miR-940	ETV6
hsa-miR-940	TADA2B
hsa-miR-940	CD300LG
hsa-miR-940	F11R
hsa-miR-940	RALGAPB
hsa-miR-940	KRTDAP
hsa-miR-940	GUCD1
hsa-miR-940	SLC9A8
hsa-miR-940	HP1BP3
hsa-miR-940	SELM
hsa-miR-940	NR4A3
hsa-miR-940	CSTF3
hsa-miR-940	MYO1D
hsa-miR-940	NCOA4
hsa-miR-940	ICMT
hsa-miR-940	JUN
hsa-miR-940	VAMP2
hsa-miR-940	ANK1
hsa-miR-940	FAM160B2
hsa-miR-940	LDLRAD2
hsa-miR-940	PARK2
hsa-miR-940	KCNS1
hsa-miR-940	CPA4
hsa-miR-940	WSCD2
hsa-miR-940	SOCS2
hsa-miR-940	SNIP1
hsa-miR-940	SIRPB1
hsa-miR-940	OTUB1
hsa-miR-940	TRHDE
hsa-miR-940	PEX6
hsa-miR-940	RAB11FIP4
hsa-miR-940	C8orf37
hsa-miR-940	SLC37A4
hsa-miR-940	ZNF672
hsa-miR-940	SYN1
hsa-miR-940	AGPAT3
hsa-miR-940	RIMKLA
hsa-miR-940	ITIH5
hsa-miR-940	IRGQ
hsa-miR-940	TRPS1
hsa-miR-940	ZMYM3
hsa-miR-940	PRUNE
hsa-miR-940	RANBP9
hsa-miR-940	PCBD2
hsa-miR-940	HOGA1
hsa-miR-940	KLHDC8A
hsa-miR-940	PPTC7
hsa-miR-940	CDC42EP3
hsa-miR-940	MAP3K13
hsa-miR-940	TNS1
hsa-miR-940	WASF2
hsa-miR-940	ADAM19
hsa-miR-940	SLC22A23
hsa-miR-940	PIM2
hsa-miR-940	CARNS1
hsa-miR-940	MEGF9
hsa-miR-940	DOC2A
hsa-miR-940	CREB5
hsa-miR-940	NREP
hsa-miR-940	FAM13A
hsa-miR-940	UCP3
hsa-miR-940	ST6GAL1
hsa-miR-940	MCC
hsa-miR-940	HTT
hsa-miR-940	C6orf106
hsa-miR-940	TRIM66
hsa-miR-940	GABRA1
hsa-miR-940	CAMKV
hsa-miR-940	TMEM63C
hsa-miR-940	MLLT6
hsa-miR-940	ITGA10
hsa-miR-940	SGPL1
hsa-miR-940	ITPR2
hsa-miR-940	MAP1LC3A
hsa-miR-940	GPR153
hsa-miR-940	CTNNA3
hsa-miR-940	CD4
hsa-miR-940	TRIM35
hsa-miR-940	MDM4
hsa-miR-940	SLC25A4
hsa-miR-940	NLRX1
hsa-miR-940	SLA2
hsa-miR-940	TOR1AIP2
hsa-miR-940	RECK
hsa-miR-940	MAP3K9
hsa-miR-940	SLC17A5
hsa-miR-940	STK40
hsa-miR-940	USP24
hsa-miR-940	JAG1
hsa-miR-940	TSPAN18
hsa-miR-940	PDS5A
hsa-miR-940	VPS11
hsa-miR-940	SH2B3
hsa-miR-940	MICALL1
hsa-miR-940	MACC1
hsa-miR-940	PHF19
hsa-miR-940	GLI3
hsa-miR-940	DCAF7
hsa-miR-940	ZMIZ2
hsa-miR-940	ACAP2
hsa-miR-940	EVC
hsa-miR-940	TGFBR1
hsa-miR-940	TFEB
hsa-miR-940	RAPGEF2
hsa-miR-940	TRAM1
hsa-miR-940	CORO2A
hsa-miR-940	IL31RA
hsa-miR-940	LRG1
hsa-miR-940	RNF144A
hsa-miR-940	CAPZA1
hsa-miR-940	ADAMTS4
hsa-miR-940	ATG13
hsa-miR-940	ZSWIM6
hsa-miR-940	IGSF3
hsa-miR-940	SKAP1
