miRNA Name	Gene Symbol
hsa-miR-940	MS4A6A
hsa-miR-940	RAMP3
hsa-miR-940	TRIM59
hsa-miR-940	CSRNP1
hsa-miR-940	ERC1
hsa-miR-940	HGSNAT
hsa-miR-940	TXLNA
hsa-miR-940	BAZ2A
hsa-miR-940	APOBEC3F
hsa-miR-940	TAF8
hsa-miR-940	SLC1A4
hsa-miR-940	CD101
hsa-miR-940	SLIT3
hsa-miR-940	FNBP1
hsa-miR-940	SAMD9L
hsa-miR-940	IL17RA
hsa-miR-940	BMS1
hsa-miR-940	C17orf103
hsa-miR-940	PRMT5
hsa-miR-940	DNAJC18
hsa-miR-940	HTR4
hsa-miR-940	ETV1
hsa-miR-940	KIAA0247
hsa-miR-940	TM2D2
hsa-miR-940	ARHGAP44
hsa-miR-940	MKI67
hsa-miR-940	C2orf72
hsa-miR-940	EML1
hsa-miR-940	WBSCR17
hsa-miR-940	VPS18
hsa-miR-940	TRIM16L
hsa-miR-940	SNX11
hsa-miR-940	MAP2K7
hsa-miR-940	RBM14
hsa-miR-940	ZNF320
hsa-miR-940	TOR4A
hsa-miR-940	ICOSLG
hsa-miR-940	CNBP
hsa-miR-940	CGNL1
hsa-miR-940	SIPA1L1
hsa-miR-940	NICN1
hsa-miR-940	TRAF3IP3
hsa-miR-940	RUFY2
hsa-miR-940	PREB
hsa-miR-940	RAVER1
hsa-miR-940	CYB5RL
hsa-miR-940	FAM83F
hsa-miR-940	NFX1
hsa-miR-940	SLCO3A1
hsa-miR-940	SLC5A5
hsa-miR-940	MPV17
hsa-miR-940	NMT1
hsa-miR-940	KRT83
hsa-miR-940	ZNF493
hsa-miR-940	PTPRN
hsa-miR-940	MFSD11
hsa-miR-940	NCMAP
hsa-miR-940	FADS3
hsa-miR-940	FAM96A
hsa-miR-940	MLLT1
hsa-miR-940	FAM83H
hsa-miR-940	OPA3
hsa-miR-940	NTRK2
hsa-miR-940	QKI
hsa-miR-940	CPN2
hsa-miR-940	MEAF6
hsa-miR-940	PTGIS
hsa-miR-940	SSR2
hsa-miR-940	DNAJC21
hsa-miR-940	CHD6
hsa-miR-940	TEX261
hsa-miR-940	PA2G4
hsa-miR-940	MFSD4
hsa-miR-940	STARD8
hsa-miR-940	PKNOX1
hsa-miR-940	SPTY2D1
hsa-miR-940	PPP2CB
hsa-miR-940	STK16
hsa-miR-940	KRTAP4-2
hsa-miR-940	GPRIN3
hsa-miR-940	PEG3
hsa-miR-940	SLC44A2
hsa-miR-940	LRRN2
hsa-miR-940	DUSP9
hsa-miR-940	DYX1C1
hsa-miR-940	GSK3B
hsa-miR-940	PRR5
hsa-miR-940	NFAT5
hsa-miR-940	SNX15
hsa-miR-940	MYO19
hsa-miR-940	WDR65
hsa-miR-940	FADS6
hsa-miR-940	DNAJB5
hsa-miR-940	NAGS
hsa-miR-940	LDHAL6A
hsa-miR-940	DNAJB2
hsa-miR-940	MYCBP
hsa-miR-940	WDR1
hsa-miR-940	HMGN2
hsa-miR-940	ADIPOQ
hsa-miR-940	LRP3
hsa-miR-940	FRMD8
hsa-miR-940	RHOB
hsa-miR-940	CPLX2
hsa-miR-940	RDH12
hsa-miR-940	WSB2
