"","V1","V2"
"1","BMPR1B","SMAD1"
"2","BMPR1B","NOTCH1"
"3","BMPR1B","SMAD4"
"4","BMPR1B","JUND"
"5","BMPR1B","SMAD7"
"6","BMPR1B","PMF1"
"7","BMPR1B","GDF9"
"8","BMPR1B","CDK4"
"9","BMPR1B","BMP2"
"10","BMPR1B","BMPR2"
"11","BMPR1B","RBL1"
"12","BMPR1B","SMAD9"
"13","BMPR1B","LZTR1"
"14","BMPR1B","SMAD5"
"15","BMPR1B","CCNE1"
"16","BMPR1B","BMP7"
"17","BMPR1B","NKIRAS1"
"18","BMPR1B","BMP4"
"19","BMPR1B","SNX6"
"20","BMPR1B","RASD2"
"21","BMPR1B","RHOD"
"22","BMPR1B","RAB38"
"23","BMPR1B","RHEBL1"
"24","BMPR1B","SMAD6"
"25","BMPR1B","FBXO34"
"26","BMPR1B","CDK14"
"27","BMPR1B","USP45"
"28","BMPR1B","STAMBP"
"29","BMPR1B","STK35"
"30","BMPR1B","TTC17"
"31","BMPR1B","GDF5"
"32","BMPR1B","BMP6"
"33","BMPR1B","BMP15"
"34","EP300","SMAD1"
"35","EP300","TP53"
"36","EP300","ING5"
"37","EP300","PELP1"
"38","EP300","NOTCH1"
"39","EP300","SREBF2"
"40","EP300","CCND1"
"41","EP300","ALX1"
"42","EP300","SMAD2"
"43","EP300","IRF1"
"44","EP300","IRF2"
"45","EP300","CREBBP"
"46","EP300","CITED1"
"47","EP300","BCL6"
"48","EP300","STAT6"
"49","EP300","RAD51"
"50","EP300","ZBTB17"
"51","EP300","SMAD4"
"52","EP300","TSG101"
"53","EP300","STAT4"
"54","EP300","STAT2"
"55","EP300","GATA4"
"56","EP300","JMY"
"57","EP300","MDM2"
"58","EP300","SMAD3"
"59","EP300","AR"
"60","EP300","JUN"
"61","EP300","CREB1"
"62","EP300","ATF3"
"63","EP300","BRCA1"
"64","EP300","ETS1"
"65","EP300","TTLL9"
"66","EP300","NCOA1"
"67","EP300","CLOCK"
"68","EP300","HDAC7"
"69","EP300","TCF3"
"70","EP300","ZEB1"
"71","EP300","PAX6"
"72","EP300","UBE2I"
"73","EP300","ENSG00000206088"
"74","EP300","HNF1A"
"75","EP300","SMAD7"
"76","EP300","YY1"
"77","EP300","GLI2"
"78","EP300","ENSG00000215693"
"79","EP300","NCOA2"
"80","EP300","ARNT"
"81","EP300","SP1"
"82","EP300","CEBPB"
"83","EP300","KLF2"
"84","EP300","CTBP2"
"85","EP300","NAGA"
"86","EP300","CTBP1"
"87","EP300","SENP3"
"88","EP300","GTF2B"
"89","EP300","PML"
"90","EP300","MDM4"
"91","EP300","SNIP1"
"92","EP300","BMP2"
"93","EP300","NFATC1"
"94","EP300","PROX1"
"95","EP300","TWIST1"
"96","EP300","RBL2"
"97","EP300","RUNX1"
"98","EP300","ZBTB16"
"99","EP300","TAL1"
"100","EP300","TCF4"
"101","EP300","LEF1"
"102","EP300","RUNX2"
"103","EP300","MITF"
"104","EP300","PPARA"
"105","EP300","MYBL2"
"106","EP300","RB1"
"107","EP300","RORA"
"108","EP300","COPS6"
"109","EP300","TCF7L2"
"110","EP300","MAF"
"111","EP300","MAML1"
"112","EP300","ELK1"
"113","EP300","CDX2"
"114","EP300","PPARG"
"115","EP300","MEF2A"
"116","EP300","NFATC2"
"117","EP300","PIAS3"
"118","EP300","SUV39H1"
"119","EP300","HAND2"
"120","EP300","GATA6"
"121","EP300","HOXB2"
"122","EP300","NCOA6"
"123","EP300","ASCL1"
"124","EP300","MEF2C"
"125","EP300","MEF2D"
"126","EP300","HOXD4"
"127","EP300","N4BP2"
"128","EP300","MGMT"
"129","EP300","E2F5"
"130","EP300","DLX2"
"131","EP300","HOXC6"
"132","EP300","EMX1"
"133","EP300","EMX2"
"134","EP300","TCF12"
"135","EP300","HIF1A"
"136","EP300","ENSG00000153807"
"137","EP300","GABPA"
"138","EP300","NFYB"
"139","EP300","PAX8"
"140","EP300","MYOD1"
"141","EP300","NR2F2"
"142","EP300","SUB1"
"143","EP300","AHR"
"144","EP300","NR4A1"
"145","EP300","NPAS2"
"146","EP300","TGS1"
"147","EP300","ENSG00000173959"
"148","EP300","ETS2"
"149","EP300","GPS2"
"150","EP300","PPARD"
"151","EP300","NEIL2"
"152","EP300","ESR1"
"153","EP300","NEUROD1"
"154","EP300","TRIP4"
"155","EP300","OLIG2"
"156","EP300","DTX1"
"157","EP300","ARNTL"
"158","EP300","TDG"
"159","EP300","TRERF1"
"160","EP300","NTAN1"
"161","EP300","NUPR1"
"162","EP300","HOXB1"
"163","EP300","EPAS1"
"164","EP300","HOXB6"
"165","EP300","POU3F2"
"166","EP300","EBF1"
"167","EP300","ETV1"
"168","EP300","ZNF148"
"169","EP300","PXMP2"
"170","EP300","ENSG00000180733"
"171","EP300","FBXO33"
"172","EP300","ST14"
"173","EP300","RUNX3"
"174","EP300","SP3"
"175","EP300","GATA2"
"176","EP300","SS18L1"
"177","EP300","HIPK2"
"178","EP300","TACC2"
"179","EP300","ZNF76"
"180","EP300","CITED2"
"181","EP300","CITED4"
"182","EP300","TP73"
"183","EP300","USF2"
"184","EP300","HIF1AN"
"185","EP300","WRB"
"186","EP300","ZFPM2"
"187","EP300","AGAP1"
"188","EP300","ABCC9"
"189","EP300","DBP"
"190","EP300","CRX"
"191","EP300","ENSG00000120087"
"192","EP300","HOXB3"
"193","EP300","ETV4"
"194","EP300","GPBP1"
"195","EP300","HOXB4"
"196","FAM60A","CDX2"
"197","FAM60A","PMS2CL"
"198","FAM60A","PMS2"
"199","SAP30","SIN3A"
"200","SAP30","SAP130"
"201","SAP30","RBBP4"
"202","SAP30","OGT"
"203","SAP30","NCOR2"
"204","SAP30","YY1"
"205","SAP30","NCOR1"
"206","SAP30","BRMS1"
"207","SAP30","CDK4"
"208","SAP30","CDKN2A"
"209","SAP30","GTF2B"
"210","SAP30","IFIT1"
"211","SAP30","LPCAT1"
"212","SAP30","LRCH4"
"213","SAP30","PML"
"214","SAP30","SAP25"
"215","SAP30","TTLL12"
"216","SAP30","ZC3HAV1"
"217","SAP30","MXD1"
"218","SAP30","HDAC3"
"219","SAP30","CIR1"
"220","SAP30","HTT"
"221","SAP30","PHF12"
"222","SAP30","SIN3B"
"223","SAP30","IFIT3"
"224","SIN3A","SAP130"
"225","SIN3A","TBL1XR1"
"226","SIN3A","TP53"
"227","SIN3A","RBBP4"
"228","SIN3A","OGT"
"229","SIN3A","PARP12"
"230","SIN3A","ASH2L"
"231","SIN3A","SPTLC2"
"232","SIN3A","BCL6"
"233","SIN3A","HDAC4"
"234","SIN3A","MAPK8IP3"
"235","SIN3A","TFDP1"
"236","SIN3A","TFDP2"
"237","SIN3A","ENSG00000188223"
"238","SIN3A","E2F4"
"239","SIN3A","LIN54"
"240","SIN3A","ARHGAP35"
"241","SIN3A","MTA1"
"242","SIN3A","RXRA"
"243","SIN3A","LSM1"
"244","SIN3A","AR"
"245","SIN3A","THRB"
"246","SIN3A","ATF7"
"247","SIN3A","HDAC7"
"248","SIN3A","SAE1"
"249","SIN3A","KDM1A"
"250","SIN3A","KDM2A"
"251","SIN3A","ARNT2"
"252","SIN3A","CSMD1"
"253","SIN3A","DNAH9"
"254","SIN3A","SETDB1"
"255","SIN3A","HDAC9"
"256","SIN3A","HELZ2"
"257","SIN3A","DROSHA"
"258","SIN3A","EHMT1"
"259","SIN3A","EIF2AK3"
"260","SIN3A","ELF1"
"261","SIN3A","ERCC5"
"262","SIN3A","HDAC5"
"263","SIN3A","HSF4"
"264","SIN3A","IDI2"
"265","SIN3A","KIF13B"
"266","SIN3A","LPAR4"
"267","SIN3A","MTMR6"
"268","SIN3A","NCOR2"
"269","SIN3A","NKRF"
"270","SIN3A","HNF1A"
"271","SIN3A","SPEN"
"272","SIN3A","TNFRSF8"
"273","SIN3A","TRAF3IP3"
"274","SIN3A","OSR1"
"275","SIN3A","PCDH9"
"276","SIN3A","POU2F3"
"277","SIN3A","UTP6"
"278","SIN3A","WDR35"
"279","SIN3A","YY1"
"280","SIN3A","ZMYND8"
"281","SIN3A","NCOR1"
"282","SIN3A","RARA"
"283","SIN3A","DNMT3B"
"284","SIN3A","SP1"
"285","SIN3A","KLF11"
"286","SIN3A","CTBP1"
"287","SIN3A","KMT2B"
"288","SIN3A","ARID1A"
"289","SIN3A","OSBPL1A"
"290","SIN3A","SMO"
"291","SIN3A","PANX3"
"292","SIN3A","SENP7"
"293","SIN3A","WNK4"
"294","SIN3A","RUNX1T1"
"295","SIN3A","BRMS1"
"296","SIN3A","CDK4"
"297","SIN3A","CDKN2A"
"298","SIN3A","GTF2B"
"299","SIN3A","IFIT1"
"300","SIN3A","LPCAT1"
"301","SIN3A","LRCH4"
"302","SIN3A","PML"
"303","SIN3A","SAP25"
"304","SIN3A","TTLL12"
"305","SIN3A","ZC3HAV1"
"306","SIN3A","RBPJ"
"307","SIN3A","RBL2"
"308","SIN3A","ZBTB16"
"309","SIN3A","RLIM"
"310","SIN3A","TAL1"
"311","SIN3A","TSNAX"
"312","SIN3A","MXD1"
"313","SIN3A","LIN52"
"314","SIN3A","HDAC3"
"315","SIN3A","MYBL1"
"316","SIN3A","MYBL2"
"317","SIN3A","MYLPF"
"318","SIN3A","PARK7"
"319","SIN3A","PDAP1"
"320","SIN3A","LIN9"
"321","SIN3A","PPAP2B"
"322","SIN3A","LPAR2"
"323","SIN3A","CACNA1A"
"324","SIN3A","WNT16"
"325","SIN3A","RBP1"
"326","SIN3A","TGIF1"
"327","SIN3A","MTA2"
"328","SIN3A","ZMYM2"
"329","SIN3A","HTT"
"330","SIN3A","MBD2"
"331","SIN3A","MBD3"
"332","SIN3A","MBD3L1"
"333","SIN3A","MECP2"
"334","SIN3A","SKI"
"335","SIN3A","E2F3"
"336","SIN3A","PHF12"
"337","SIN3A","MXI1"
"338","SIN3A","SIN3B"
"339","SIN3A","DACH1"
"340","SIN3A","CBFA2T2"
"341","SIN3A","NR2E3"
"342","SIN3A","DHX30"
"343","SIN3A","SUDS3"
"344","SIN3A","ULK1"
"345","SIN3A","PA2G4"
"346","SIN3A","HEY2"
"347","SIN3A","TRIB3"
"348","SIN3A","SUMO1"
"349","SIN3A","PPARGC1A"
"350","SIN3A","EBF1"
"351","SIN3A","EPHB6"
"352","SIN3A","BCL11A"
"353","SIN3A","ZNF443"
"354","SIN3A","SETD1A"
"355","SIN3A","IFIT3"
"356","SIN3A","RCOR2"
"357","SIN3A","IKZF1"
"358","SIN3A","IKZF4"
"359","SIN3A","IKZF3"
"360","SIN3A","hsa-miR-429"
"361","SIN3A","ARID4A"
"362","SIN3A","EFCAB6"
"363","RASSF2","PAX3"
"364","RASSF2","MIER1"
"365","RASSF2","TDG"
"366","RASSF2","hsa-miR-3183"
"367","RASSF2","hsa-miR-1254"
"368","RASSF2","DNAJA4"
"369","RPL39P5","SAPCD2"
"370","RPL39P5","PRSS12"
"371","SAP130","OGT"
"372","SAP130","SMAD3"
"373","SAP130","BRMS1"
"374","SAP130","CDK4"
"375","SAP130","CDKN2A"
"376","SAP130","GTF2B"
"377","SAP130","IFIT1"
"378","SAP130","LPCAT1"
"379","SAP130","LRCH4"
"380","SAP130","PML"
"381","SAP130","SAP25"
"382","SAP130","TTLL12"
"383","SAP130","ZC3HAV1"
"384","SAP130","MCFD2"
"385","SAP130","SIN3B"
"386","SAP130","SUDS3"
"387","SAP130","IFIT3"
"388","GDPGP1","CCNG2"
"389","SMAD1","SMURF1"
"390","SMAD1","SMURF2"
"391","SMAD1","NEDD4"
"392","SMAD1","GSC"
"393","SMAD1","WWP1"
"394","SMAD1","IRF2BP1"
"395","SMAD1","CREBBP"
"396","SMAD1","PIAS4"
"397","SMAD1","MAD2L2"
"398","SMAD1","UBE2E2"
"399","SMAD1","NUMB"
"400","SMAD1","SMAD4"
"401","SMAD1","AR"
"402","SMAD1","TTLL9"
"403","SMAD1","ZEB1"
"404","SMAD1","SMAD7"
"405","SMAD1","RNASEH2B"
"406","SMAD1","AP2A2"
"407","SMAD1","ARID1A"
"408","SMAD1","KMT2D"
"409","SMAD1","SNIP1"
"410","SMAD1","BMP2"
"411","SMAD1","EYA1"
"412","SMAD1","ZNF512B"
"413","SMAD1","LEF1"
"414","SMAD1","LEMD3"
"415","SMAD1","SKIL"
"416","SMAD1","CCNG2"
"417","SMAD1","TCF7L2"
"418","SMAD1","OSR2"
"419","SMAD1","TOB1"
"420","SMAD1","ARL4D"
"421","SMAD1","MBD1"
"422","SMAD1","PIAS1"
"423","SMAD1","SMAD5"
"424","SMAD1","SKI"
"425","SMAD1","HOXA13"
"426","SMAD1","MKL2"
"427","SMAD1","ZBTB44"
"428","SMAD1","CCNE1"
"429","SMAD1","GMEB1"
"430","SMAD1","NEUROG1"
"431","SMAD1","BTG2"
"432","SMAD1","NOTCH2"
"433","SMAD1","DVL1"
"434","SMAD1","SOX5"
"435","SMAD1","RAB34"
"436","SMAD1","TTF2"
"437","SMAD1","SMG6"
"438","SMAD1","PARD3B"
"439","SMAD1","ZNF423"
"440","SMAD1","SNX6"
"441","SMAD1","RASD2"
"442","SMAD1","SEC24B"
"443","SMAD1","RAB2B"
"444","SMAD1","RAB38"
"445","SMAD1","RFX1"
"446","SMAD1","RHEBL1"
"447","SMAD1","SMAD6"
"448","SMAD1","CAMSAP1"
"449","SMAD1","FBXL12"
"450","SMAD1","HOXD13"
"451","SMAD1","HOXC8"
"452","SMAD1","PUM1"
"453","SMAD1","MGA"
"454","SMAD1","RAB30"
"455","SMAD1","ZNF8"
"456","SMAD1","FBXO30"
"457","SMAD1","SPATA2L"
"458","SMAD1","HIPK2"
"459","SMAD1","ZNF76"
"460","SMAD1","TCF20"
"461","SMAD1","BTBD2"
"462","SMAD1","ZEB2"
"463","SMAD1","ZSCAN4"
"464","SMAD1","APOOL"
"465","SMAD1","FOXG1"
"466","SMAD1","CHRD"
"467","SMAD1","ECSIT"
"468","SMAD1","FHL5"
"469","SMURF1","INPP5B"
"470","SMURF1","UBE2E3"
"471","SMURF1","SMAD2"
"472","SMURF1","UBE2D2"
"473","SMURF1","UBE2D3"
"474","SMURF1","UBE2E1"
"475","SMURF1","UBE2E2"
"476","SMURF1","LIMS1"
"477","SMURF1","SMAD4"
"478","SMURF1","SMAD3"
"479","SMURF1","TTLL9"
"480","SMURF1","RAPSN"
"481","SMURF1","CDKL1"
"482","SMURF1","SMAD7"
"483","SMURF1","CXXC1"
"484","SMURF1","BMP2"
"485","SMURF1","RLIM"
"486","SMURF1","RUNX2"
"487","SMURF1","LONRF3"
"488","SMURF1","CUL5"
"489","SMURF1","ARL4D"
"490","SMURF1","SMAD5"
"491","SMURF1","RNF14"
"492","SMURF1","UBE2D1"
"493","SMURF1","TGFBR2"
"494","SMURF1","RASD2"
"495","SMURF1","WDR61"
"496","SMURF1","PPP2R2D"
"497","SMURF1","RNF11"
