"","V1","V2"
"1","UBQLN4","ATXN1"
"2","UBQLN4","TRIM32"
"3","UBQLN4","HK2"
"4","UBQLN4","STAM2"
"5","UBQLN4","KLHL42"
"6","UBQLN4","WAC"
"7","UBQLN4","CCDC33"
"8","UBQLN4","HGS"
"9","UBQLN4","EFEMP2"
"10","UBQLN4","SUPT20H"
"11","UBQLN4","C1orf94"
"12","UBQLN4","VIP"
"13","UBQLN4","GPX7"
"14","UBQLN4","MIF4GD"
"15","UBQLN4","DTX2"
"16","UBQLN4","NPHP1"
"17","UBQLN4","PLA2G16"
"18","UBQLN4","DMPK"
"19","UBQLN4","PTPRN"
"20","UBQLN4","GKAP1"
"21","UBQLN4","PTPRN2"
"22","UBQLN4","UBQLN2"
"23","UBQLN4","DAZAP2"
"24","UBQLN4","C11orf49"
"25","UBQLN4","SCG2"
"26","UBQLN4","SCG5"
"27","UBQLN4","HAVCR1"
"28","UBQLN4","SERPINI2"
"29","UBQLN4","ENSG00000215672"
"30","UBQLN4","CDSN"
"31","UBQLN4","CCDC136"
"32","UBQLN4","KLHL26"
"33","UBQLN4","ENSG00000206460"
"34","UBQLN4","USMG5"
"35","UBQLN4","ZDHHC3"
"36","UBQLN4","ZNF205"
"37","UBQLN4","hsa-miR-940"
"38","UBQLN4","CCDC14"
"39","UBQLN4","COL8A1"
"40","UBQLN4","ADAM33"
"41","UBQLN4","ADPGK"
"42","UBQLN4","ATPIF1"
"43","UBQLN4","CD99"
"44","UBQLN4","ENSG00000137197"
"45","UBQLN4","HSPA13"
"46","NINL","GCC1"
"47","NINL","FAM107A"
"48","NINL","ZNF250"
"49","NINL","ZNF426"
"50","NINL","CCDC33"
"51","NINL","MBIP"
"52","NINL","ASMT"
"53","NINL","MAD1L1"
"54","NINL","LRSAM1"
"55","NINL","LZTS2"
"56","NINL","TCEANC"
"57","NINL","RIBC2"
"58","NINL","RCOR3"
"59","NINL","SPERT"
"60","NINL","TNNT1"
"61","NINL","AKAP17A"
"62","NINL","SYT17"
"63","NINL","TSPYL4"
"64","NINL","ZFC3H1"
"65","NINL","CCDC130"
"66","NINL","CCDC19"
"67","ALDH3A2","LNX1"
"68","ALDH3A2","CHFR"
"69","ALDH3A2","AOC2"
"70","ALDH3A2","AOC3"
"71","ALDH3A2","PJA1"
"72","ALDH3A2","ALDH6A1"
"73","ALDH3A2","CYP1A1"
"74","ALDH3A2","ASMT"
"75","ALDH3A2","LRSAM1"
"76","ALDH3A2","MAOB"
"77","ALDH3A2","MAOA"
"78","ALDH3A2","TRAF7"
"79","ALDH3A2","AKR1B1"
"80","ALDH3A2","ADH5"
"81","ALDH3A2","MIB1"
"82","ALDH3A2","MID1"
"83","ALDH3A2","CYP2C18"
"84","ALDH3A2","MYLIP"
"85","ALDH3A2","BRAP"
"86","ALDH3A2","ACOT12"
"87","ALDH3A2","ACSS1"
"88","ALDH3A2","SIAH2"
"89","ALDH3A2","ACYP2"
"90","ALDH3A2","FANCL"
"91","ALDH3A2","CYP2C19"
"92","ALDH3A2","CYP2D6"
"93","ALDH3A2","CYP2C8"
"94","ALDH3A2","CYP2F1"
"95","ALDH3A2","CYP2E1"
"96","ALDH3A2","CYP2S1"
"97","ALDH3A2","CYP2J2"
"98","ALDH3A2","CYP19A1"
"99","ALDH3A2","CYP1A2"
"100","ALDH3A2","CYP2A13"
"101","ALDH3A2","CYP1B1"
"102","ALDH3A2","CYP2B6"
"103","ALDH3A2","CYP2A7"
"104","ALDH3A2","CYP4Z1"
"105","ALDH3A2","CYP4X1"
"106","ALDH3A2","CYP3A7"
"107","ALDH3A2","CYP4F11"
"108","ALDH3A2","CYP4B1"
"109","ALDH3A2","CYP4F8"
"110","ALDH3A2","CYP4F12"
"111","ALDH3A2","CNDP1"
"112","ALDH3A2","RNF144B"
"113","ALDH3A2","RNF25"
"114","ALDH3A2","TRIM11"
"115","ALDH3A2","TRIM5"
"116","ALDH3A2","AMFR"
"117","ALDH3A2","UPB1"
"118","ALDH3A2","ABAT"
"119","ALDH3A2","CYP4A11"
"120","ALDH3A2","ADH1A"
"121","ALDH3A2","ACYP1"
"122","ALDH3A2","ADH1B"
"123","ALDH3A2","ADH4"
"124","ALDH3A2","ADH6"
"125","ALDH3A2","ADH7"
"126","ALDH3A2","DZIP3"
"127","ALDH3A2","CCNB1IP1"
"128","ALDH3A2","HIBADH"
"129","ALDH3A2","AOC1"
"130","LNX1","ALDH2"
"131","LNX1","DCTD"
"132","LNX1","COIL"
"133","LNX1","KRT15"
"134","LNX1","AIMP2"
"135","LNX1","KCTD13"
"136","LNX1","KCTD17"
"137","LNX1","KHDRBS3"
"138","LNX1","CEP72"
"139","LNX1","CCDC85B"
"140","LNX1","KLHL12"
"141","LNX1","KRTAP4-12"
"142","LNX1","TRIP13"
"143","LNX1","ENSG00000212908"
"144","LNX1","ENSG00000186852"
"145","LNX1","KXD1"
"146","LNX1","FHL3"
"147","LNX1","LDOC1"
"148","LNX1","CALCOCO2"
"149","LNX1","ZBTB43"
"150","LNX1","ZBTB8A"
"151","LNX1","ALDH3A1"
"152","LNX1","ALDH7A1"
"153","LNX1","ALDH9A1"
"154","LNX1","AOX1"
"155","LNX1","ASMT"
"156","LNX1","ALDH1A3"
"157","LNX1","LNX2"
"158","LNX1","MAGEA11"
"159","LNX1","MAGEB18"
"160","LNX1","NADK"
"161","LNX1","NAGK"
"162","LNX1","NECAB2"
"163","LNX1","PCBD1"
"164","LNX1","RPIA"
"165","LNX1","CUTC"
"166","LNX1","RAD54B"
"167","LNX1","ENSG00000197065"
"168","LNX1","RBMXL1"
"169","LNX1","TSC22D4"
"170","LNX1","TRIM23"
"171","LNX1","APIP"
"172","LNX1","TIFA"
"173","LNX1","TYRP1"
"174","LNX1","ZBTB8B"
"175","LNX1","ENSG00000212660"
"176","LNX1","ENOX1"
"177","IRS1","IRS2"
"178","IRS1","RICTOR"
"179","IRS1","CDC42BPG"
"180","IRS1","CGN"
"181","IRS1","CRTC2"
"182","IRS1","FAM117B"
"183","IRS1","ANKS1A"
"184","IRS1","ARHGAP32"
"185","IRS1","ATP2A1"
"186","IRS1","ITCH"
"187","IRS1","KIF5B"
"188","IRS1","KLC2"
"189","IRS1","LAD1"
"190","IRS1","GPRIN2"
"191","IRS1","PPP1R3D"
"192","IRS1","NEDD4L"
"193","IRS1","REEP3"
"194","IRS1","SH2D3A"
"195","IRS1","TRIM32"
"196","IRS1","USP8"
"197","IRS1","WDR37"
"198","IRS1","SH3BP4"
"199","IRS1","SHROOM1"
"200","IRS1","SIPA1L1"
"201","IRS1","SYNJ2"
"202","IRS1","TNS4"
"203","IRS1","BCAR1"
"204","IRS1","C1orf106"
"205","IRS1","FAM53B"
"206","IRS1","ENSG00000182319"
"207","IRS1","ARHGEF16"
"208","IRS1","ARHGEF17"
"209","IRS1","KLHDC2"
"210","IRS1","GAN"
"211","IRS1","PARD3"
"212","IRS1","PI4KB"
"213","IRS1","PACS2"
"214","IRS1","REEP4"
"215","IRS1","RHPN2"
"216","IRS1","RND3"
"217","IRS1","SAMD4A"
"218","IRS1","SASH1"
"219","IRS1","SAV1"
"220","IRS1","PKP3"
"221","IRS1","PTOV1"
"222","IRS1","PTPRF"
"223","IRS1","SFN"
"224","IRS1","SHCBP1"
"225","IRS1","SHROOM3"
"226","IRS1","PIK3C2B"
"227","IRS1","KIAA0930"
"228","IRS1","ERRFI1"
"229","IRS1","PDZD11"
"230","IRS1","DTX2"
"231","IRS1","PHIP"
"232","IRS1","CCDC101"
"233","IRS1","EDC3"
"234","IRS1","PTPN3"
"235","IRS2","RICTOR"
"236","IRS2","CDC42BPG"
"237","IRS2","CRTC2"
"238","IRS2","FAM117B"
"239","IRS2","ANKS1A"
"240","IRS2","ARHGAP32"
"241","IRS2","ATP2A1"
"242","IRS2","ITCH"
"243","IRS2","KIF5B"
"244","IRS2","KLC2"
"245","IRS2","LAD1"
"246","IRS2","NEDD4L"
"247","IRS2","REEP3"
"248","IRS2","TRIM32"
"249","IRS2","USP8"
"250","IRS2","WDR37"
"251","IRS2","SH3BP4"
"252","IRS2","SHROOM1"
