V1,V2
TUBA4A,TUBB4B
TUBA4A,ENSG00000137379
TUBA4A,ENSG00000183311
TUBA4A,DLAT
TUBA4A,MRPL23
TUBA4A,FA2H
TUBA4A,ENSG00000173867
TUBA4A,BIN3
TUBA4A,HSPA8
TUBA4A,AP1S2
TUBA4A,EXOC6
TUBA4A,ENSG00000212677
TUBA4A,ATP2C1
TUBA4A,HAS1
TUBA4A,HAS3
TUBA4A,EEF1A1
TUBA4A,CAPZA2
TUBA4A,MSMO1
TUBA4A,HMGCR
TUBA4A,TUBB4A
TUBA4A,SLMO2
TUBA4A,ATP6V1B2
TUBA4A,MYO5B
TUBA4A,GMPPB
TUBA4A,RPL4
TUBA4A,ENSG00000185637
TUBA4A,CAD
TUBA4A,BCCIP
TUBA4A,CNDP2
TUBA4A,CS
TUBA4A,GART
TUBA4A,ELOVL4
TUBA4A,GDPD1
TUBA4A,KDELR1
TUBA4A,MRPL3
TUBA4A,MECR
TUBA4A,ORMDL3
TUBA4A,R3HDM1
TUBA4A,RASA4B
TUBA4A,SGPL1
TUBA4A,SLC13A1
TUBA4A,SRP68
TUBA4A,SRP72
TUBA4A,SLC30A1
TUBA4A,SLC35E2B
TUBA4A,TIMM23
TUBA4A,TIMM50
TUBA4A,TECR
TUBA4A,ATP6V0D1
TUBA4A,CORO6
TUBA4A,DEPDC5
TUBA4A,SV2B
TUBA4A,CAP2
TUBA4A,CDK11A
TUBA4A,RAB8B
TUBA4A,EXOC2
TUBA4A,VCP
TUBA4A,MAP1A
TUBA4A,CAP1
TUBA4A,ESX1
TUBA4A,MSI1
TUBA4A,TOMM40
TUBA4A,ACTR3B
TUBA4A,AP1G1
TUBA4A,CKS2
TUBA4A,CLTC
TUBA4A,COG3
TUBA4A,DIAPH1
TUBA4A,EPS15
TUBA4A,MYO1E
TUBA4A,SLC35E1
TUBA4A,NAF1
TUBA4A,TUBB
TUBA4A,ANAPC10
TUBA4A,RAP1B
TUBA4A,RGL3
TUBA4A,TMED2
TUBA4A,ENSG00000176276
TUBA4A,EXOC8
TUBA4A,EXOC3
TUBA4A,SLC25A28
TUBA4A,LHX9
TUBA4A,ATP13A1
TUBA4A,EXOC5
TUBA4A,LPIN1
TUBA4A,CNOT8
TUBA4A,NDUFAB1
