V1,V2
UBQLN4,ATXN1
UBQLN4,TRIM32
UBQLN4,HK2
UBQLN4,STAM2
UBQLN4,KLHL42
UBQLN4,WAC
UBQLN4,CCDC33
UBQLN4,HGS
UBQLN4,EFEMP2
UBQLN4,SUPT20H
UBQLN4,C1orf94
UBQLN4,VIP
UBQLN4,GPX7
UBQLN4,MIF4GD
UBQLN4,DTX2
UBQLN4,NPHP1
UBQLN4,PLA2G16
UBQLN4,DMPK
UBQLN4,PTPRN
UBQLN4,GKAP1
UBQLN4,PTPRN2
UBQLN4,UBQLN2
UBQLN4,DAZAP2
UBQLN4,C11orf49
UBQLN4,SCG2
UBQLN4,SCG5
UBQLN4,HAVCR1
UBQLN4,SERPINI2
UBQLN4,ENSG00000215672
UBQLN4,CDSN
UBQLN4,CCDC136
UBQLN4,KLHL26
UBQLN4,ENSG00000206460
UBQLN4,USMG5
UBQLN4,ZDHHC3
UBQLN4,ZNF205
UBQLN4,hsa-miR-940
UBQLN4,CCDC14
UBQLN4,COL8A1
UBQLN4,ADAM33
UBQLN4,ADPGK
UBQLN4,ATPIF1
UBQLN4,CD99
UBQLN4,ENSG00000137197
UBQLN4,HSPA13
NINL,GCC1
NINL,FAM107A
NINL,ZNF250
NINL,ZNF426
NINL,CCDC33
NINL,MBIP
NINL,ASMT
NINL,MAD1L1
NINL,LRSAM1
NINL,LZTS2
NINL,TCEANC
NINL,RIBC2
NINL,RCOR3
NINL,SPERT
NINL,TNNT1
NINL,AKAP17A
NINL,SYT17
NINL,TSPYL4
NINL,ZFC3H1
NINL,CCDC130
NINL,CCDC19
ALDH3A2,LNX1
ALDH3A2,CHFR
ALDH3A2,AOC2
ALDH3A2,AOC3
ALDH3A2,PJA1
ALDH3A2,ALDH6A1
ALDH3A2,CYP1A1
ALDH3A2,ASMT
ALDH3A2,LRSAM1
ALDH3A2,MAOB
ALDH3A2,MAOA
ALDH3A2,TRAF7
ALDH3A2,AKR1B1
ALDH3A2,ADH5
ALDH3A2,MIB1
ALDH3A2,MID1
ALDH3A2,CYP2C18
ALDH3A2,MYLIP
ALDH3A2,BRAP
ALDH3A2,ACOT12
ALDH3A2,ACSS1
ALDH3A2,SIAH2
ALDH3A2,ACYP2
ALDH3A2,FANCL
ALDH3A2,CYP2C19
ALDH3A2,CYP2D6
ALDH3A2,CYP2C8
ALDH3A2,CYP2F1
ALDH3A2,CYP2E1
ALDH3A2,CYP2S1
ALDH3A2,CYP2J2
ALDH3A2,CYP19A1
ALDH3A2,CYP1A2
ALDH3A2,CYP2A13
ALDH3A2,CYP1B1
ALDH3A2,CYP2B6
ALDH3A2,CYP2A7
ALDH3A2,CYP4Z1
ALDH3A2,CYP4X1
ALDH3A2,CYP3A7
ALDH3A2,CYP4F11
ALDH3A2,CYP4B1
ALDH3A2,CYP4F8
ALDH3A2,CYP4F12
ALDH3A2,CNDP1
ALDH3A2,RNF144B
ALDH3A2,RNF25
ALDH3A2,TRIM11
ALDH3A2,TRIM5
ALDH3A2,AMFR
ALDH3A2,UPB1
ALDH3A2,ABAT
ALDH3A2,CYP4A11
ALDH3A2,ADH1A
ALDH3A2,ACYP1
ALDH3A2,ADH1B
ALDH3A2,ADH4
ALDH3A2,ADH6
ALDH3A2,ADH7
ALDH3A2,DZIP3
ALDH3A2,CCNB1IP1
ALDH3A2,HIBADH
ALDH3A2,AOC1
LNX1,ALDH2
LNX1,DCTD
LNX1,COIL
LNX1,KRT15
LNX1,AIMP2
LNX1,KCTD13
LNX1,KCTD17
LNX1,KHDRBS3
LNX1,CEP72
LNX1,CCDC85B
LNX1,KLHL12
LNX1,KRTAP4-12
LNX1,TRIP13
LNX1,ENSG00000212908
LNX1,ENSG00000186852
LNX1,KXD1
LNX1,FHL3
LNX1,LDOC1
LNX1,CALCOCO2
LNX1,ZBTB43
LNX1,ZBTB8A
LNX1,ALDH3A1
LNX1,ALDH7A1
LNX1,ALDH9A1
LNX1,AOX1
LNX1,ASMT
LNX1,ALDH1A3
LNX1,LNX2
LNX1,MAGEA11
LNX1,MAGEB18
LNX1,NADK
LNX1,NAGK
LNX1,NECAB2
LNX1,PCBD1
LNX1,RPIA
LNX1,CUTC
LNX1,RAD54B
LNX1,ENSG00000197065
LNX1,RBMXL1
LNX1,TSC22D4
LNX1,TRIM23
LNX1,APIP
LNX1,TIFA
LNX1,TYRP1
LNX1,ZBTB8B
LNX1,ENSG00000212660
LNX1,ENOX1
IRS1,IRS2
IRS1,RICTOR
IRS1,CDC42BPG
IRS1,CGN
IRS1,CRTC2
IRS1,FAM117B
IRS1,ANKS1A
IRS1,ARHGAP32
IRS1,ATP2A1
IRS1,ITCH
IRS1,KIF5B
IRS1,KLC2
IRS1,LAD1
IRS1,GPRIN2
IRS1,PPP1R3D
IRS1,NEDD4L
IRS1,REEP3
IRS1,SH2D3A
IRS1,TRIM32
IRS1,USP8
IRS1,WDR37
IRS1,SH3BP4
IRS1,SHROOM1
IRS1,SIPA1L1
IRS1,SYNJ2
IRS1,TNS4
IRS1,BCAR1
IRS1,C1orf106
IRS1,FAM53B
IRS1,ENSG00000182319
IRS1,ARHGEF16
IRS1,ARHGEF17
IRS1,KLHDC2
IRS1,GAN
IRS1,PARD3
IRS1,PI4KB
IRS1,PACS2
IRS1,REEP4
IRS1,RHPN2
IRS1,RND3
IRS1,SAMD4A
IRS1,SASH1
IRS1,SAV1
IRS1,PKP3
IRS1,PTOV1
IRS1,PTPRF
IRS1,SFN
IRS1,SHCBP1
IRS1,SHROOM3
IRS1,PIK3C2B
IRS1,KIAA0930
IRS1,ERRFI1
IRS1,PDZD11
IRS1,DTX2
IRS1,PHIP
IRS1,CCDC101
IRS1,EDC3
IRS1,PTPN3
IRS2,RICTOR
IRS2,CDC42BPG
IRS2,CRTC2
IRS2,FAM117B
IRS2,ANKS1A
IRS2,ARHGAP32
IRS2,ATP2A1
IRS2,ITCH
IRS2,KIF5B
IRS2,KLC2
