V1,V2
SIN3A,TTLL12
SIN3A,ZC3HAV1
SIN3A,RBPJ
SIN3A,RBL2
SIN3A,ZBTB16
SIN3A,RLIM
SIN3A,TAL1
SIN3A,TSNAX
SIN3A,MXD1
SIN3A,LIN52
SIN3A,HDAC3
SIN3A,MYBL1
SIN3A,MYBL2
SIN3A,MYLPF
SIN3A,PARK7
SIN3A,PDAP1
SIN3A,LIN9
SIN3A,PPAP2B
SIN3A,LPAR2
SIN3A,CACNA1A
SIN3A,WNT16
SIN3A,RBP1
SIN3A,TGIF1
SIN3A,MTA2
SIN3A,ZMYM2
SIN3A,HTT
SIN3A,MBD2
SIN3A,MBD3
SIN3A,MBD3L1
SIN3A,MECP2
SIN3A,SKI
SIN3A,E2F3
SIN3A,PHF12
SIN3A,MXI1
SIN3A,SIN3B
SIN3A,DACH1
SIN3A,CBFA2T2
SIN3A,NR2E3
SIN3A,DHX30
SIN3A,SUDS3
SIN3A,ULK1
SIN3A,PA2G4
SIN3A,HEY2
SIN3A,TRIB3
SIN3A,SUMO1
SIN3A,PPARGC1A
SIN3A,EBF1
SIN3A,EPHB6
SIN3A,BCL11A
SIN3A,ZNF443
SIN3A,SETD1A
SIN3A,IFIT3
SIN3A,RCOR2
SIN3A,IKZF1
SIN3A,IKZF4
SIN3A,IKZF3
SIN3A,hsa-miR-429
SIN3A,ARID4A
SIN3A,EFCAB6
RASSF2,PAX3
RASSF2,MIER1
RASSF2,TDG
RASSF2,hsa-miR-3183
RASSF2,hsa-miR-1254
RASSF2,DNAJA4
RPL39P5,SAPCD2
RPL39P5,PRSS12
SAP130,OGT
SAP130,SMAD3
SAP130,BRMS1
SAP130,CDK4
SAP130,CDKN2A
SAP130,GTF2B
SAP130,IFIT1
SAP130,LPCAT1
SAP130,LRCH4
SAP130,PML
SAP130,SAP25
SAP130,TTLL12
SAP130,ZC3HAV1
SAP130,MCFD2
SAP130,SIN3B
SAP130,SUDS3
SAP130,IFIT3
GDPGP1,CCNG2
SMAD1,SMURF1
SMAD1,SMURF2
SMAD1,NEDD4
SMAD1,GSC
SMAD1,WWP1
SMAD1,IRF2BP1
SMAD1,CREBBP
SMAD1,PIAS4
SMAD1,MAD2L2
SMAD1,UBE2E2
SMAD1,NUMB
SMAD1,SMAD4
SMAD1,AR
SMAD1,TTLL9
SMAD1,ZEB1
SMAD1,SMAD7
SMAD1,RNASEH2B
SMAD1,AP2A2
SMAD1,ARID1A
SMAD1,KMT2D
SMAD1,SNIP1
SMAD1,BMP2
SMAD1,EYA1
SMAD1,ZNF512B
SMAD1,LEF1
SMAD1,LEMD3
SMAD1,SKIL
SMAD1,CCNG2
SMAD1,TCF7L2
SMAD1,OSR2
SMAD1,TOB1
SMAD1,ARL4D
SMAD1,MBD1
SMAD1,PIAS1
SMAD1,SMAD5
SMAD1,SKI
SMAD1,HOXA13
SMAD1,MKL2
