"","V1","V2"
"1","HDLBP","EIF4A1"
"2","HDLBP","ACO2"
"3","HDLBP","PGD"
"4","HDLBP","PSMD12"
"5","HDLBP","TARS"
"6","HDLBP","CBS"
"7","HDLBP","OLA1"
"8","HDLBP","RPSA"
"9","HDLBP","RPSAP58"
"10","HDLBP","IARS"
"11","HDLBP","MDH2"
"12","HDLBP","NME2"
"13","HDLBP","KARS"
"14","HDLBP","AARS"
"15","HDLBP","ACAT1"
"16","HDLBP","ACSS2"
"17","HDLBP","AIFM3"
"18","HDLBP","ATIC"
"19","HDLBP","DARS"
"20","HDLBP","EIF5A"
"21","HDLBP","FDPS"
"22","HDLBP","FKBP1A"
"23","HDLBP","GARS"
"24","HDLBP","NARS"
"25","HDLBP","MPI"
"26","HDLBP","PGM1"
"27","HDLBP","SOD1"
"28","HDLBP","THNSL2"
"29","HDLBP","UBA1"
"30","HDLBP","CLUH"
"31","HDLBP","PFKP"
"32","HDLBP","SYVN1"
"33","HDLBP","KPNA6"
"34","HDLBP","KPNA5"
"35","HDLBP","HMGCS1"
"36","HDLBP","THOC2"
"37","HDLBP","GOT1"
"38","HDLBP","LCAT"
"39","HDLBP","AIMP1"
"40","HDLBP","PRDX5"
"41","HDLBP","ATP6V1E1"
"42","HDLBP","PPIF"
"43","HDLBP","TPT1"
"44","HDLBP","CMPK1"
"45","HDLBP","AHCY"
"46","HDLBP","PYGL"
"47","HDLBP","FARSA"
"48","HDLBP","RRM2"
"49","HDLBP","NUTF2"
"50","HDLBP","ATP6V1C1"
"51","HDLBP","SRM"
"52","HDLBP","CTH"
"53","HDLBP","PMM2"
"54","HDLBP","AKR1A1"
"55","HDLBP","ADAR"
"56","EEF2","USP14"
"57","EEF2","SHFM1"
"58","EEF2","CTPS1"
"59","EEF2","GAPDH"
"60","EEF2","IPO5"
"61","EEF2","EIF4A1"
"62","EEF2","PSMD2"
"63","EEF2","ACO2"
"64","EEF2","AHSA1"
"65","EEF2","COPB2"
"66","EEF2","LARS"
"67","EEF2","PDHB"
"68","EEF2","PRDX2"
"69","EEF2","PGAM2"
"70","EEF2","PGD"
"71","EEF2","PGK1"
"72","EEF2","PKM"
"73","EEF2","PSMD6"
"74","EEF2","PSMD7"
"75","EEF2","PSMB6"
"76","EEF2","PSMB7"
"77","EEF2","PSMD1"
"78","EEF2","PSMD10"
"79","EEF2","PSMD12"
"80","EEF2","TNPO3"
"81","EEF2","TALDO1"
"82","EEF2","TARS"
"83","EEF2","UBQLN1"
"84","EEF2","VDAC3"
"85","EEF2","AGL"
"86","EEF2","CBS"
"87","EEF2","COPB1"
"88","EEF2","MAT1A"
"89","EEF2","OLA1"
"90","EEF2","PSMD13"
"91","EEF2","PSMD8"
"92","EEF2","PYCRL"
"93","EEF2","RPSA"
"94","EEF2","RPSAP58"
"95","EEF2","TRIP12"
"96","EEF2","VARS"
"97","EEF2","COPA"
"98","EEF2","PPM1G"
"99","EEF2","IARS"
"100","EEF2","ATP6V1A"
"101","EEF2","GFPT2"
"102","EEF2","SRR"
"103","EEF2","NME2"
"104","EEF2","KARS"
"105","EEF2","AARS"
"106","EEF2","ACSS2"
"107","EEF2","ATIC"
