"","V1","V2"
"1","PUS7","ITPKB"
"2","PUS7","BICC1"
"3","PUS7","ENSG00000133511"
"4","PUS7","SETX"
"5","PUS7","CDS1"
"6","PUS7","CHRNA4"
"7","PUS7","COX6A1"
"8","PUS7","ATP13A3"
"9","PUS7","PHF14"
"10","PUS7","PPP1R21"
"11","PUS7","PPP4R4"
"12","PUS7","IWS1"
"13","PUS7","LTBP4"
"14","PUS7","MRPS15"
"15","PUS7","MYB"
"16","PUS7","NAA25"
"17","PUS7","PFAS"
"18","PUS7","PGS1"
"19","PUS7","TDRD3"
"20","PUS7","TRAPPC11"
"21","PUS7","TULP4"
"22","PUS7","UMPS"
"23","PUS7","ENSG00000164605"
"24","PUS7","QSOX2"
"25","PUS7","SEPSECS"
"26","PUS7","SMOX"
"27","PUS7","ETFDH"
"28","PUS7","FBXO42"
"29","PUS7","SFSWAP"
"30","PUS7","CHAF1A"
"31","PUS7","GCC2"
"32","INHA","TGFBR3"
"33","INHA","INHBA"
"34","INHA","INHBB"
"35","INHA","FST"
"36","TGFBR3","INHBA"
"37","TGFBR3","TGFB3"
"38","TGFBR3","TGFB1"
"39","TGFBR3","SDC2"
"40","TGFBR3","TGFB2"
"41","TGFBR3","ENG"
"42","INHBA","INHBB"
"43","INHBA","INHBC"
"44","INHBA","NODAL"
"45","INHBA","FST"
"46","INHBA","FSTL3"
"47","INHBA","IGFBP7"
"48","INHBA","TGFB3"
"49","INHBA","TGFB1"
"50","INHBA","TGFB2"
"51","INHBA","ENG"
"52","INHBB","INHBC"
"53","INHBB","NODAL"
"54","INHBB","FST"
"55","INHBB","TGFB3"
"56","INHBB","TGFB1"
"57","INHBB","TGFB2"
"58","INHBC","NODAL"
"59","INHBC","FST"
"60","INHBC","TGFB3"
"61","INHBC","TGFB1"
"62","INHBC","TGFB2"
"63","NODAL","LEFTY2"
"64","NODAL","ENSG00000143787"
"65","FST","FN1"
"66","FSTL3","FN1"
"67","FSTL3","MSTN"
"68","IGFBP7","CXCL10"
"69","IGFBP7","SDC1"
"70","IGFBP7","COL2A1"
"71","IGFBP7","COL4A1"
"72","IGFBP7","CCL5"
"73","IGFBP7","IGF2"
"74","IGFBP7","CCL21"
"75","IGFBP7","COL5A1"
"76","KRT14","KRT10"
"77","KRT14","DCD"
"78","KRT14","ST13"
"79","KRT14","NUP214"
"80","KRT14","SKIV2L2"
"81","KRT14","CTR9"
"82","KRT14","APOA1"
"83","KRT14","APOA2"
"84","KRT14","ALB"
"85","KRT14","ENSG00000215756"
"86","KRT14","FN1"
"87","KRT14","SETX"
"88","KRT14","ENSG00000215755"
"89","KRT14","ICAM4"
"90","KRT14","CFH"
"91","KRT14","GFAP"
"92","KRT14","IGHG1"
"93","KRT14","IGKC"
"94","KRT14","IGLV3-21"
"95","KRT14","KRT9"
"96","KRT14","ITIH1"
"97","KRT14","CHKB"
"98","KRT14","F7"
"99","KRT14","PHC3"
"100","KRT14","PLA2G4F"
"101","KRT14","ENSG00000166285"
"102","KRT14","LTBP4"
"103","KRT14","JARID2"
"104","KRT14","APOC3"
"105","KRT14","APOA4"
"106","KRT14","APOC1"
"107","KRT14","KRT1"
"108","KRT14","QTRTD1"
"109","KRT14","ENSG00000215754"
"110","KRT14","TIAM1"
"111","KRT14","TLN2"
"112","KRT14","PDE4B"
"113","KRT14","NCOA3"
"114","KRT14","KCNMA1"
"115","KRT14","CDC45"
"116","KRT14","CDCP1"
"117","KRT14","CTSL"
"118","KRT14","CACNA1I"
"119","KRT14","IGHG2"
"120","KRT14","IGKV2-40"
"121","KRT14","FGA"
"122","KRT14","GABBR1"
"123","KRT14","GJC2"
"124","KRT14","OR2T6"
"125","KRT14","OR8D2"
"126","KRT14","PLAG1"
"127","KRT14","PNMA1"
"128","KRT14","KLK3"
"129","KRT14","TTR"
"130","KRT14","RLF"
"131","KRT14","ZNF232"
"132","KRT14","ENSG00000206511"
"133","KRT14","ENSG00000197711"
"134","KRT14","ENSG00000206466"
"135","KRT14","KIAA0232"
"136","KRT14","CFD"
"137","KRT14","AMPD3"
"138","KRT14","AP1M1"
"139","KRT14","KRT5"
"140","KRT14","KRT6B"
"141","KRT14","OBSL1"
"142","KRT14","ETF1"
"143","KRT14","HPX"
"144","KRT14","IGDCC4"
"145","KRT14","ENSG00000204319"
"146","KRT14","ENSG00000204359"
"147","KRT14","ENSG00000206340"
"148","KRT14","ENSG00000205813"
"149","KRT14","PF4V1"
"150","KRT14","PRSS1"
"151","KRT14","SH3BP5"
"152","KRT14","ENSG00000171362"
"153","KRT14","CDH12"
"154","KRT14","ELN"
"155","KRT14","AOAH"
"156","KRT14","ARMC2"
"157","KRT14","IGHV3-23"
"158","KRT14","IGLC2"
"159","KRT14","IGLC3"
"160","KRT14","IGLL1"
"161","KRT14","RTKN2"
"162","KRT14","SAA4"
"163","KRT14","RFX7"
"164","KRT14","SERPIND1"
"165","KRT14","TGM4"
"166","KRT14","AHSG"
"167","KRT14","CACNA2D2"
"168","KRT14","CHMP4C"
"169","KRT14","CKAP2"
"170","KRT14","GTPBP3"
"171","KRT14","PKHD1"
"172","KRT14","SPEF2"
"173","KRT14","TBC1D19"
"174","KRT14","UNC79"
"175","KRT14","ENSG00000213044"
"176","KRT14","KRT13"
"177","KRT14","DERL1"
"178","KRT14","KRT16"
"179","KRT14","KRT6A"
"180","KRT14","PRSS3"
"181","KRT14","ZNF292"
"182","KRT14","PCDH1"
"183","KRT14","SETDB2"
"184","KRT14","PLG"
"185","KRT14","CLU"
"186","KRT14","FASN"
"187","KRT14","RYR2"
"188","KRT14","PAPPA"
"189","KRT14","CP"
"190","KRT14","SCAF1"
"191","KRT14","SLC48A1"
"192","KRT14","SLC6A9"
"193","KRT14","PPBP"
"194","KRT14","AGA"
"195","KRT14","SACS"
"196","KRT14","SERTAD3"
"197","KRT14","GDF10"
"198","KRT14","TF"
"199","KRT14","IGHA1"
"200","KRT14","TNS3"
"201","KRT14","ADRA1B"
"202","KRT14","CST3"
"203","KRT14","CTAGE5"
"204","CD81","ENSG00000133511"
"205","CD81","ITGA3"
"206","CD81","CD82"
"207","CD81","CD9"
"208","CD81","ITGB1"
"209","CD81","CD63"
"210","CD81","TSPAN4"
"211","CD81","ITGA4"
"212","CD81","CD53"
"213","CD81","MS4A1"
"214","CD81","MYOC"
"215","CD81","DLG5"
"216","CD81","PTGFRN"
"217","CD81","CR2"
"218","ITPKB","BICC1"
"219","ITPKB","ENSG00000133511"
"220","ITPKB","CDS1"
"221","ITPKB","CHRNA4"
"222","ITPKB","COX6A1"
"223","ITPKB","ATP13A3"
"224","ITPKB","PHF14"
"225","ITPKB","PPP1R21"
"226","ITPKB","PPP4R4"
"227","ITPKB","IWS1"
"228","ITPKB","LTBP4"
"229","ITPKB","MRPS15"
"230","ITPKB","MYB"
"231","ITPKB","NAA25"
"232","ITPKB","PFAS"
"233","ITPKB","PGS1"
"234","ITPKB","TDRD3"
"235","ITPKB","TRAPPC11"
"236","ITPKB","TULP4"
"237","ITPKB","UMPS"
"238","ITPKB","ENSG00000164605"
"239","ITPKB","QSOX2"
"240","ITPKB","SEPSECS"
"241","ITPKB","SMOX"
"242","ITPKB","SFSWAP"
"243","ITPKB","CHAF1A"
"244","ITPKB","GCC2"
"245","KRT10","DCD"
"246","KRT10","ST13"
"247","KRT10","CNOT1"
"248","KRT10","NUP214"
"249","KRT10","SKIV2L2"
"250","KRT10","CTR9"
"251","KRT10","DCC"
"252","KRT10","ITGA2"
"253","KRT10","APOA1"
"254","KRT10","APOA2"
"255","KRT10","BBC3"
"256","KRT10","CLCA2"
"257","KRT10","ALB"
"258","KRT10","MYL4"
"259","KRT10","MYLK3"
"260","KRT10","PCED1B"
"261","KRT10","PDZRN4"
"262","KRT10","PEG3"
"263","KRT10","RANBP3"
"264","KRT10","SCN5A"
"265","KRT10","CROT"
"266","KRT10","DMD"
"267","KRT10","F2"
"268","KRT10","KIAA1551"
"269","KRT10","ENSG00000215756"
"270","KRT10","FN1"
"271","KRT10","SETX"
"272","KRT10","SLA2"
"273","KRT10","SLC1A5"
"274","KRT10","SORBS3"
"275","KRT10","SPNS1"
"276","KRT10","ENSG00000215755"
"277","KRT10","ICAM4"
"278","KRT10","CFH"
"279","KRT10","GFAP"
"280","KRT10","IGHG1"
"281","KRT10","IGKC"
"282","KRT10","IGLV3-21"
"283","KRT10","KRT9"
"284","KRT10","ITIH1"
"285","KRT10","CHKB"
"286","KRT10","F7"
"287","KRT10","PHC3"
"288","KRT10","PLA2G4F"
"289","KRT10","ENSG00000166285"
"290","KRT10","APP"
"291","KRT10","LTBP4"
"292","KRT10","TRAPPC11"
"293","KRT10","EVPL"
"294","KRT10","JARID2"
"295","KRT10","APOC3"
"296","KRT10","APOE"
"297","KRT10","CABLES1"
"298","KRT10","APOA4"
"299","KRT10","APOC1"
"300","KRT10","DGKG"
"301","KRT10","DICER1"
"302","KRT10","CEP44"
"303","KRT10","LAT"
"304","KRT10","LDB3"
"305","KRT10","GRAP2"
"306","KRT10","KRT1"
"307","KRT10","PALB2"
"308","KRT10","NLRC4"
"309","KRT10","NPHS1"
"310","KRT10","SGOL2"
"311","KRT10","SLC9A8"
"312","KRT10","QTRTD1"
"313","KRT10","ENSG00000215754"
"314","KRT10","SPAST"
"315","KRT10","TIAM1"
"316","KRT10","TLN2"
"317","KRT10","PDE4B"
"318","KRT10","NCOA3"
"319","KRT10","KCNMA1"
"320","KRT10","CDC45"
"321","KRT10","CDCP1"
"322","KRT10","CTSL"
"323","KRT10","CACNA1I"
"324","KRT10","IGHG2"
"325","KRT10","IGKV2-40"
"326","KRT10","FGA"
"327","KRT10","GABBR1"
"328","KRT10","GJC2"
"329","KRT10","OR2T6"
"330","KRT10","OR8D2"
"331","KRT10","PLAG1"
"332","KRT10","PNMA1"
"333","KRT10","KLK3"
"334","KRT10","TTR"
"335","KRT10","RLF"
"336","KRT10","ZNF232"
"337","KRT10","ENSG00000206511"
"338","KRT10","ENSG00000197711"
"339","KRT10","ENSG00000206466"
"340","KRT10","KIAA0232"
"341","KRT10","CFD"
"342","KRT10","AMPD3"
"343","KRT10","AP1M1"
"344","KRT10","KRT5"
"345","KRT10","KRT6B"
"346","KRT10","OBSL1"
"347","KRT10","ETF1"
"348","KRT10","HPX"
"349","KRT10","IGDCC4"
"350","KRT10","ENSG00000204319"
"351","KRT10","ENSG00000204359"
"352","KRT10","ENSG00000206340"
"353","KRT10","ENSG00000205813"
"354","KRT10","PF4V1"
"355","KRT10","PRSS1"
"356","KRT10","SH3BP5"
"357","KRT10","ENSG00000171362"
"358","KRT10","CDH12"
"359","KRT10","ELN"
"360","KRT10","AOAH"
