"comm","size","type","members"
1,18,"real","AFF3  ANK3  ARID4B  CRKL  CSNK1G3  ETV6  GTF3C4  MAP4K5  MCFD2  MIB2  MSN  PICALM  RQCD1  SEC23A  SIP1  SLIT2  TBK1  WIPF1"
2,24,"real","CFL2  CHIR_265  CKAP4  CLASP1  C_RAF_ANTISENSE_OLIGONUCLEOTIDE  EPS8  ERRFI1  GMFB  GOLGA1  HIPK3  ICO_007  LRP1B  MAPK7  MPRIP  NADK  RAB11FIP2  RAF1  RANBP9  RASSF8  SASH1  SORAFENIB  TFAP2A  TMOD3  XL281"
3,41,"real","ALCLOMETASONE  AMCINONIDE  BECLOMETHASONE  BECLOMETHASONE_DIPROPIONATE  BETAMETHASONE  BUDESONIDE  CICLESONIDE  CLOBETASOL  CLOCORTOLONE  CORT_108297  DESONIDE  DESOXIMETASONE  DEXAMETHASONE  DIFLORASONE  DIFLUPREDNATE  FLUMETHASONE_PIVALATE  FLUNISOLIDE  FLUOCINOLONE_ACETONIDE  FLUOCINONIDE  FLUOROMETHOLONE  FLURANDRENOLIDE  FLUTICASONE  FLUTICASONE_FUROATE  FLUTICASONE_PROPIONATE  HALOBETASOL_PROPIONATE  HE3286  HYDROCORTAMATE  KB3305  LOTEPREDNOL_ETABONATE  MEDRYSONE  METHYLPREDNISOLONE  MIFEPRISTONE  MOMETASONE  NR3C1  PARAMETHASONE  PMI_001  PREDNICARBATE  PREDNISOLONE  PREDNISONE  RIMEXOLONE  TRIAMCINOLONE"
4,6,"real","ACTB1003  FEZ2  INGENOL_MEBUTATE  PRKCZ  RPS6KB1  XL418"
5,5,"real","AS1409  FN1  PKD1  PPM1F  TCEB1"
6,7,"real","ARSENIC_TRIOXIDE  CREBBP  JUN  KHDRBS1  NFIA  PML  T_5224"
7,6,"real","ARBACLOFEN  BACLOFEN  GABBR2  GAMMA_HYDROXYBUTYRIC_ACID  LESOGABERAN  R_BACLOFEN"
8,4,"real","MAP2  MARCKS  NIN  TOB1"
9,3,"real","NF2  PPFIA1  RALGDS"
10,3,"real","LESTAURTINIB  NTRK2  PYM50028"
11,140,"LeftOvers","ACAP3  AGFG1  AP1S2  ARHGAP6  ARIH1  ASF1A  ATL2  ATP11C  B3GALTL  BAG5  BHLHE41  C11orf87  C16orf72  C21orf91  CC2D1A  CCNJ  CDH11  CDK11A  CDK11B  CDK17  CNEP1R1  COL4A3BP  CSMD3  CUX1  CXorf23  DELTAEF1  DENND5B  DNAJC3  DNMT3A  DPY19L1  DUSP1  EIF5A2  ELL2  ELMOD2  ERMP1  ESYT1  FAM122C  FAM160A2  FAM160B1  FAM189A1  FAT3  FBXO33  FOXF1  GIT2  GLYCTK  GOLGA7  GPM6A  GPR158  HDHD2  HECTD2  HMBOX1  HSPA13  IMPA2  IQSEC2  IQSEC3  ITGA1  KIAA1432  KLHDC10  LGR4  LHFP  LOC100996646  MBOAT2  MESP2  MIEF1  MLXIP  MMD  MMEL1  MMGT1  NDUFA4  NOVA1  NR5A2  NUDT4  OAZ2  OSTM1  PACSIN1  PANK4  PCMTD1  PDIK1L  PDS5B  PGM5  PHACTR2  PHF21B  PHTF2  PHYHIP  PIKFYVE  PLCL1  POLK  PPAP2B  PPP1R18  PTPN21  PTPRZ1  RABIF  RAP2C  RASSF1  RBFOX1  RECK  RER1  RFTN2  RNF169  RNF2  SAN_300  SESN1  SGIP1  SLC35B4  SLC6A1  SLC6A7  SLITRK1  ST6GALNAC6  SULF1  SYNJ1  TBX18  TIAGABINE  TMEFF2  TMEM254  TOR1AIP2  TRIM33  TROVE2  TSC22D2  UBE2Z  USP37  VASH1  VASH2  VWA5A  WAPAL  WASF3  WAVE3  WDFY3  WDR93  WHSC1  WNT16  XKR7  YPEL2  ZCCHC24  ZEB1  ZEB2  ZEB4  ZFPM2  ZMIZ1  ZNF500  ZNF532"
