"","V1","V2"
"1","hsa-miR-147b","C11orf87"
"2","hsa-miR-147b","HOXA9"
"3","hsa-miR-429","HIPK3"
"4","hsa-miR-429","TRIM33"
"5","hsa-miR-429","ZEB2"
"6","hsa-miR-429","ZEB1"
"7","hsa-miR-429","NR5A2"
"8","hsa-miR-429","NFIA"
"9","hsa-miR-429","FEZ2"
"10","hsa-miR-429","RANBP9"
"11","hsa-miR-429","CDH11"
"12","hsa-miR-429","EIF5A2"
"13","hsa-miR-429","PHACTR2"
"14","hsa-miR-429","ZFPM2"
"15","hsa-miR-429","C21orf91"
"16","hsa-miR-429","BHLHE41"
"17","hsa-miR-429","NR3C1"
"18","hsa-miR-429","SLC6A1"
"19","hsa-miR-429","PPAP2B"
"20","hsa-miR-429","JUN"
"21","hsa-miR-429","PHTF2"
"22","hsa-miR-429","DNMT3A"
"23","hsa-miR-429","RNF2"
"24","hsa-miR-429","ATL2"
"25","hsa-miR-429","C11orf87"
"26","hsa-miR-429","TOB1"
"27","hsa-miR-429","WNT16"
"28","hsa-miR-429","GOLGA1"
"29","hsa-miR-429","MGAT2"
"30","hsa-miR-429","USP25"
"31","hsa-miR-429","FBXO30"
"32","hsa-miR-429","FLI1"
"33","hsa-miR-429","FHL1"
"34","hsa-miR-429","TMCC1"
"35","hsa-miR-429","PPHLN1"
"36","hsa-miR-429","PPP1R8"
"37","hsa-miR-429","BAP1"
"38","hsa-miR-429","ARL15"
"39","hsa-miR-429","MTUS1"
"40","hsa-miR-429","GABPA"
"41","hsa-miR-429","LRAT"
"42","hsa-miR-429","EGLN1"
"43","hsa-miR-429","SPTSSA"
"44","hsa-miR-429","RNASEL"
"45","hsa-miR-429","HS2ST1"
"46","hsa-miR-429","CCSER1"
"47","hsa-miR-429","YAP1"
"48","hsa-miR-429","NDN"
"49","hsa-miR-429","CHRDL1"
"50","hsa-miR-429","ZMYM4"
"51","hsa-miR-429","ETS1"
"52","hsa-miR-429","CEP350"
"53","hsa-miR-429","TBL1XR1"
"54","hsa-miR-429","NAP1L5"
"55","hsa-miR-429","PPP4R2"
"56","hsa-miR-429","MTMR6"
"57","hsa-miR-429","PPP1R10"
"58","hsa-miR-429","PRDM1"
"59","hsa-miR-429","ATF3"
"60","hsa-miR-429","ACACA"
"61","hsa-miR-429","ADIPOR2"
"62","hsa-miR-429","NAB1"
"63","hsa-miR-429","ZDHHC15"
"64","hsa-miR-429","COPS8"
"65","hsa-miR-429","ARL8B"
"66","hsa-miR-429","B3GNT2"
"67","hsa-miR-429","C2orf72"
"68","hsa-miR-429","CNOT6L"
"69","hsa-miR-429","UBE2I"
"70","hsa-miR-429","GPRASP2"
"71","hsa-miR-429","G6PC"
"72","hsa-miR-429","NCAPG2"
"73","hsa-miR-429","ARHGAP18"
"74","hsa-miR-429","DHX33"
"75","hsa-miR-429","CNOT7"
"76","hsa-miR-429","SEMA6D"
"77","hsa-miR-429","RAG1"
"78","hsa-miR-429","GPATCH8"
"79","hsa-miR-429","FUBP1"
"80","hsa-miR-429","RPRD1A"
"81","hsa-miR-429","SNX16"
"82","hsa-miR-429","MTF2"
"83","hsa-miR-429","MAPK1IP1L"
"84","hsa-miR-429","NRIP1"
"85","hsa-miR-429","GATA4"
"86","hsa-miR-429","CALU"
"87","hsa-miR-429","RBL1"
"88","hsa-miR-429","KLF10"
"89","hsa-miR-429","MXD3"
"90","hsa-miR-429","DOCK4"
"91","hsa-miR-429","ELK4"
"92","hsa-miR-429","SERINC1"
"93","hsa-miR-429","PTAR1"
"94","hsa-miR-429","GALNT2"
"95","hsa-miR-429","NOG"
"96","hsa-miR-429","NFYA"
"97","hsa-miR-429","SUZ12"
"98","hsa-miR-429","THSD7A"
"99","hsa-miR-429","TUBB2A"
"100","hsa-miR-429","KIF14"
"101","hsa-miR-429","NCOA2"
"102","hsa-miR-429","ZNF423"
"103","hsa-miR-429","DDIT4L"
"104","hsa-miR-429","CHD2"
"105","hsa-miR-429","ZNF326"
"106","hsa-miR-429","MDM4"
"107","hsa-miR-429","TES"
"108","hsa-miR-429","CHN2"
"109","hsa-miR-429","OSGIN2"
"110","hsa-miR-429","NPC1"
"111","hsa-miR-429","NBR1"
"112","hsa-miR-429","USP31"
"113","hsa-miR-429","KMT2C"
"114","hsa-miR-429","CRH"
"115","hsa-miR-429","CARF"
"116","hsa-miR-429","MKL2"
"117","hsa-miR-429","FSTL1"
"118","hsa-miR-429","DCUN1D1"
"119","hsa-miR-429","SBF1"
"120","hsa-miR-429","KLF4"
"121","HIPK3","AR"
"122","HIPK3","RBX1"
"123","HIPK3","ZYX"
"124","HIPK3","DAXX"
"125","HIPK3","ENSG00000206279"
"126","HIPK3","SIAH1"
"127","HIPK3","MBD1"
"128","HIPK3","ENSG00000206206"
"129","HIPK3","NR2F2"
"130","HIPK3","TOX4"
"131","HIPK3","TGFB1I1"
"132","HIPK3","LIMD1"
"133","HIPK3","HEYL"
"134","HIPK3","MTMR4"
"135","HIPK3","ZNF107"
"136","TRIM33","NCOR1"
"137","TRIM33","TRIM24"
"138","ZEB2","SMAD3"
"139","ZEB2","SMAD9"
"140","ZEB2","SMAD1"
"141","ZEB2","SMAD2"
"142","ZEB2","SMAD5"
"143","ZEB2","COPS6"
"144","ZEB1","NFYA"
"145","ZEB1","EP300"
"146","ZEB1","SMAD3"
"147","ZEB1","SMAD1"
"148","ZEB1","SMAD2"
"149","ZEB1","CTBP2"
"150","ZEB1","CTBP1"
"151","ZEB1","TTLL9"
"152","ZEB1","EVX1"
"153","ZEB1","NKX2-2"
"154","NR5A2","UBE2I"
"155","NR5A2","PROX1"
"156","NR5A2","ENSG00000206088"
"157","NR5A2","EDF1"
"158","NR5A2","TRIM24"
"159","NR5A2","NR0B2"
"160","NFIA","CREBBP"
"161","FEZ2","FEZ1"
"162","FEZ2","NEK1"
"163","RANBP9","NR3C1"
"164","RANBP9","AR"
"165","RANBP9","SMAD3"
