V1,V2
CRKL,ARID4B
CRKL,CBL
CRKL,LCORL
CRKL,PAK6
CRKL,ZNF655
CRKL,CHKA
CRKL,INHBE
CRKL,ADIPOR1
CRKL,AMHR2
CRKL,ARHGAP26
CRKL,CARD6
CRKL,CASP8
CRKL,CENPC
CRKL,CFHR4
CRKL,GFRA2
CRKL,HOXA3
CRKL,LEPREL4
CRKL,MAP2K6
CRKL,NPAS3
CRKL,OR10H2
CRKL,PATZ1
CRKL,PINK1
CRKL,PKN2
CRKL,PRDM15
CRKL,QRFPR
CRKL,RBBP6
CRKL,RPH3AL
CRKL,SLC5A12
CRKL,STAB2
CRKL,SYNE1
CRKL,TP53BP2
CRKL,TTBK2
CRKL,WWP2
CRKL,GAB2
CRKL,MAP2K4
CRKL,BLNK
CRKL,MAP4K1
CRKL,STAT5A
CRKL,IFNAR1
CRKL,EPOR
CRKL,CD34
CRKL,STAT5B
CRKL,PDLIM5
CRKL,GAS2L2
CRKL,TCEB3C
CRKL,TLX3
CRKL,ZAP70
ARID4B,MSN
ARID4B,HIP1
ARID4B,LCORL
ARID4B,CASP10
ARID4B,PAK6
ARID4B,ZNF655
ARID4B,FADD
ARID4B,PEA15
ARID4B,BCL2L1
ARID4B,CHKA
ARID4B,CASP3
ARID4B,BID
ARID4B,EZR
ARID4B,ARHGDIA
ARID4B,INHBE
ARID4B,ADIPOR1
ARID4B,AMHR2
ARID4B,ARHGAP26
ARID4B,CARD6
ARID4B,CASP8
ARID4B,CENPC
ARID4B,CFHR4
ARID4B,GFRA2
ARID4B,HOXA3
ARID4B,LEPREL4
ARID4B,MAP2K6
ARID4B,NPAS3
ARID4B,OR10H2
ARID4B,PATZ1
ARID4B,PINK1
ARID4B,PKN2
ARID4B,PRDM15
ARID4B,QRFPR
ARID4B,RBBP6
ARID4B,RPH3AL
ARID4B,SLC5A12
ARID4B,STAB2
ARID4B,SYNE1
ARID4B,TP53BP2
ARID4B,TTBK2
ARID4B,WWP2
ARID4B,FAS
ARID4B,FASLG
ARID4B,APAF1
ARID4B,TFCP2
ARID4B,BCAP31
ARID4B,CASP6
ARID4B,DEDD2
ARID4B,PYCARD
ARID4B,BCL2
ARID4B,TNFRSF10A
ARID4B,CASP14
ARID4B,NOD1
ARID4B,CFLAR
ARID4B,NOL3
ARID4B,CASP8AP2
ARID4B,CRADD
ARID4B,DEDD
ARID4B,EDA2R
ARID4B,FAF1
ARID4B,TNFSF10
ARID4B,PDLIM5
ARID4B,GAS2L2
ARID4B,TCEB3C
ARID4B,TLX3
ARID4B,IFT57
ARID4B,MAP4K4
BAG5,MAP3K1
BAG5,CASP3
BAG5,BID
BAG5,CASP7
BAG5,COL3A1
BAG5,IL12RB1
BAG5,MEGF8
BAG5,MT3
BAG5,TNXB
MSN,CASP10
MSN,FADD
MSN,BID
MSN,EZR
MSN,ARHGDIA
MSN,CASP8
MSN,FAS
MSN,FASLG
MSN,SELL
MSN,SNCG
CASP2,CASP10
CASP2,CASP3
CASP2,BID
CASP2,CASP7
CASP2,APAF1
CASP2,CASP1
CASP2,STK3
CASP2,MAP4K1
CASP2,CASP14
CASP2,NOD1
CASP2,MINK1
CASP2,IL1R1
CASP2,IL1R2
CASP2,CFLAR
CASP2,GOLGA3
CASP2,NOL3
CASP2,CRADD
MAP3K1,PPP2R5E
MAP3K1,MAP3K5
MAP3K1,RAB35
MAP3K1,MYLK
MAP3K1,SH3GL3
MAP3K1,DGKZ
MAP3K1,MAP2K4
MAP3K1,ALK
MAP3K1,ARHGAP9
MAP3K1,CENPF
MAP3K1,EPHA1
MAP3K1,FN3K
MAP3K1,INSL6
MAP3K1,IRF7
MAP3K1,ITK
MAP3K1,JAK3
MAP3K1,KRT74
MAP3K1,LMNB1
MAP3K1,MAP2K7
MAP3K1,MEP1B
MAP3K1,PDX1
MAP3K1,PTPRK
MAP3K1,RAD17
MAP3K1,SMC6
MAP3K1,SOCS5
MAP3K1,STAT3
MAP3K1,UBASH3A
MAP3K1,SOCS1
MAP3K1,MTIF2
MAP3K1,PDLIM5
MAP3K1,ARHGAP4
MAP3K1,MAP4K4
DLC1,BCL2L11
DLC1,BMF
IL6R,CBL
IL6R,IL10
IL6R,PTPN6
IL6R,ENSG00000189162
IL6R,WWP2
IL6R,JAK3
IL6R,SOCS5
IL6R,STAT3
IL6R,TPO
IL6R,ZFP91
IL6R,SOCS1
IL6R,IL3
IL6R,SOCS3
IL6R,IL6ST
IL6R,CBLC
IL6R,IL2
IL6R,IL4
IL6R,CLCF1
IL6R,CSF2
IL6R,CSH1
IL6R,CTF1
IL6R,EPO
IL6R,IFNA10
IL6R,IFNA16
IL6R,IFNA2
IL6R,IFNA21
IL6R,IFNA5
IL6R,IFNB1
IL6R,IFNE
IL6R,IFNK
IL6R,IFNL1
IL6R,IFNL2
IL6R,IFNL3
IL6R,IFNW1
IL6R,IL12A
IL6R,IL13
IL6R,IL15
IL6R,IL19
IL6R,IL20
