V1,V2
hsa-miR-147b,C11orf87
hsa-miR-147b,HOXA9
hsa-miR-429,HIPK3
hsa-miR-429,TRIM33
hsa-miR-429,ZEB2
hsa-miR-429,ZEB1
hsa-miR-429,NR5A2
hsa-miR-429,NFIA
hsa-miR-429,FEZ2
hsa-miR-429,RANBP9
hsa-miR-429,CDH11
hsa-miR-429,EIF5A2
hsa-miR-429,PHACTR2
hsa-miR-429,ZFPM2
hsa-miR-429,C21orf91
hsa-miR-429,BHLHE41
hsa-miR-429,NR3C1
hsa-miR-429,SLC6A1
hsa-miR-429,PPAP2B
hsa-miR-429,JUN
hsa-miR-429,PHTF2
hsa-miR-429,DNMT3A
hsa-miR-429,RNF2
hsa-miR-429,ATL2
hsa-miR-429,C11orf87
hsa-miR-429,TOB1
hsa-miR-429,WNT16
hsa-miR-429,GOLGA1
hsa-miR-429,MGAT2
hsa-miR-429,USP25
hsa-miR-429,FBXO30
hsa-miR-429,FLI1
hsa-miR-429,FHL1
hsa-miR-429,TMCC1
hsa-miR-429,PPHLN1
hsa-miR-429,PPP1R8
hsa-miR-429,BAP1
hsa-miR-429,ARL15
hsa-miR-429,MTUS1
hsa-miR-429,GABPA
hsa-miR-429,LRAT
hsa-miR-429,EGLN1
hsa-miR-429,SPTSSA
hsa-miR-429,RNASEL
hsa-miR-429,HS2ST1
hsa-miR-429,CCSER1
hsa-miR-429,YAP1
hsa-miR-429,NDN
hsa-miR-429,CHRDL1
hsa-miR-429,ZMYM4
hsa-miR-429,ETS1
hsa-miR-429,CEP350
hsa-miR-429,TBL1XR1
hsa-miR-429,NAP1L5
hsa-miR-429,PPP4R2
hsa-miR-429,MTMR6
hsa-miR-429,PPP1R10
hsa-miR-429,PRDM1
hsa-miR-429,ATF3
hsa-miR-429,ACACA
hsa-miR-429,ADIPOR2
hsa-miR-429,NAB1
hsa-miR-429,ZDHHC15
hsa-miR-429,COPS8
hsa-miR-429,ARL8B
hsa-miR-429,B3GNT2
hsa-miR-429,C2orf72
hsa-miR-429,CNOT6L
hsa-miR-429,UBE2I
hsa-miR-429,GPRASP2
hsa-miR-429,G6PC
hsa-miR-429,NCAPG2
hsa-miR-429,ARHGAP18
hsa-miR-429,DHX33
hsa-miR-429,CNOT7
hsa-miR-429,SEMA6D
hsa-miR-429,RAG1
hsa-miR-429,GPATCH8
hsa-miR-429,FUBP1
hsa-miR-429,RPRD1A
hsa-miR-429,SNX16
hsa-miR-429,MTF2
hsa-miR-429,MAPK1IP1L
hsa-miR-429,NRIP1
hsa-miR-429,GATA4
hsa-miR-429,CALU
hsa-miR-429,RBL1
hsa-miR-429,KLF10
hsa-miR-429,MXD3
hsa-miR-429,DOCK4
hsa-miR-429,ELK4
hsa-miR-429,SERINC1
hsa-miR-429,PTAR1
hsa-miR-429,GALNT2
hsa-miR-429,NOG
hsa-miR-429,NFYA
hsa-miR-429,SUZ12
hsa-miR-429,THSD7A
hsa-miR-429,TUBB2A
hsa-miR-429,KIF14
hsa-miR-429,NCOA2
hsa-miR-429,ZNF423
hsa-miR-429,DDIT4L
hsa-miR-429,CHD2
hsa-miR-429,ZNF326
hsa-miR-429,MDM4
hsa-miR-429,TES
hsa-miR-429,CHN2
hsa-miR-429,OSGIN2
hsa-miR-429,NPC1
hsa-miR-429,NBR1
hsa-miR-429,USP31
hsa-miR-429,KMT2C
hsa-miR-429,CRH
hsa-miR-429,CARF
hsa-miR-429,MKL2
hsa-miR-429,FSTL1
hsa-miR-429,DCUN1D1
hsa-miR-429,SBF1
hsa-miR-429,KLF4
HIPK3,AR
HIPK3,RBX1
HIPK3,ZYX
HIPK3,DAXX
HIPK3,ENSG00000206279
HIPK3,SIAH1
HIPK3,MBD1
HIPK3,ENSG00000206206
HIPK3,NR2F2
HIPK3,TOX4
HIPK3,TGFB1I1
HIPK3,LIMD1
HIPK3,HEYL
HIPK3,MTMR4
HIPK3,ZNF107
TRIM33,NCOR1
TRIM33,TRIM24
ZEB2,SMAD3
ZEB2,SMAD9
ZEB2,SMAD1
ZEB2,SMAD2
ZEB2,SMAD5
ZEB2,COPS6
ZEB1,NFYA
ZEB1,EP300
ZEB1,SMAD3
ZEB1,SMAD1
ZEB1,SMAD2
ZEB1,CTBP2
ZEB1,CTBP1
ZEB1,TTLL9
ZEB1,EVX1
ZEB1,NKX2-2
NR5A2,UBE2I
NR5A2,PROX1
NR5A2,ENSG00000206088
NR5A2,EDF1
NR5A2,TRIM24
NR5A2,NR0B2
NFIA,CREBBP
FEZ2,FEZ1
FEZ2,NEK1
RANBP9,NR3C1
RANBP9,AR
RANBP9,SMAD3
RANBP9,SMAD9
RANBP9,SMAD2
RANBP9,HIPK2
CDH11,ATF7IP
PHACTR2,UNC119
PHACTR2,SMAD4
ZFPM2,GATA4
ZFPM2,EP300
ZFPM2,GATA1
ZFPM2,CTBP2
ZFPM2,CTBP1
PHYHIP,HDAC11
PHYHIP,PPIE
PHYHIP,C14orf1
PHYHIP,COPS6
PHYHIP,NFE2
PHYHIP,ZZEF1
PHYHIP,PNPLA2
ZMIZ1,HOXA6
ZMIZ1,AR
ZMIZ1,ARID1A
ZMIZ1,CBX2
ZMIZ1,HOXA5
ZMIZ1,CACHD1
GMEB2,UBE2I
GMEB2,CREBBP
GMEB2,ENSG00000206088
GMEB2,GMEB1
BHLHE41,MYOD1
NR3C1,JUN
NR3C1,ETS1
NR3C1,UBE2I
NR3C1,NRIP1
NR3C1,NCOA2
NR3C1,CREBBP
NR3C1,CREB1
NR3C1,ZBTB16
NR3C1,AR
NR3C1,MDM2
NR3C1,PBX1
NR3C1,SELENBP1
NR3C1,SMAD3
NR3C1,ENSG00000206088
NR3C1,FKBP4
NR3C1,PMF1
NR3C1,DAXX
NR3C1,ENSG00000206279
NR3C1,NCOR2
NR3C1,NR2F6
NR3C1,TDG
NR3C1,TP53
NR3C1,TTLL9
NR3C1,NCOA1
NR3C1,NCOA6
NR3C1,SUMO1
NR3C1,CEBPB
NR3C1,ENSG00000206206
NR3C1,NCOR1
NR3C1,NCOA4
NR3C1,BAG1
NR3C1,PELP1
NR3C1,RAD9A
NR3C1,POU2F1
NR3C1,COPS6
NR3C1,TRIM24
NR3C1,TGFB1I1
NR3C1,ETS2
NR3C1,DAP3
NR3C1,DYNC1I2
NR3C1,POU1F1
NR3C1,HMGB2
NR3C1,RNF14
NR3C1,FOS
NR3C1,ONECUT1
NR3C1,POU2F2
NR3C1,PPARGC1A
NR3C1,NR3C2
PML,JUN
PML,SUZ12
PML,LRCH4
PML,TGFBR2
PML,CREBBP
PML,EP300
PML,RB1
PML,SP1
PML,TOPBP1
PML,ZBTB16
PML,SUMO3
PML,MDM2
PML,SIN3A
PML,SIN3B
PML,SMAD3
PML,GTF2B
PML,CDK4
PML,SMAD2
PML,DAXX
PML,ENSG00000206279
PML,HDAC3
PML,ARNT
PML,THRA
PML,EZH2
PML,GATA2
PML,NR4A1
PML,NCOR2
PML,OGT
PML,ZFYVE9
PML,ANKRD2
PML,TDG
PML,TP53
PML,TTLL9
PML,BRMS1
PML,SUMO1
PML,SRF
PML,CDKN2A
PML,ENSG00000206206
PML,NCOR1
PML,SENP2
PML,RARA
PML,SUV39H1
PML,IFIT1
PML,SAP25
PML,SAP30
PML,TTLL12
PML,SUMO2
PML,TRIM24
PML,SUMO4
PML,MXD1
PML,LPCAT1
PML,SAP130
PML,ZC3HAV1
PML,HHEX
PML,FOS
PML,SKI
PML,IFIT3
PML,TRIM69
PML,TP73
PPAP2B,WNT16
PPAP2B,TBL1XR1
PPAP2B,WNK4
PPAP2B,MTMR6
PPAP2B,SAE1
PPAP2B,LSM1
PPAP2B,ARID1A
PPAP2B,SIN3A
PPAP2B,PARP12
PPAP2B,HDAC4
PPAP2B,SPTLC2
PPAP2B,MAPK8IP3
PPAP2B,TNFRSF8
PPAP2B,NCOR2
PPAP2B,HDAC5
PPAP2B,ARHGAP35
PPAP2B,ARNT2
PPAP2B,BCL6
PPAP2B,DNAH9
PPAP2B,DROSHA
PPAP2B,EHMT1
PPAP2B,ELF1
PPAP2B,HNF1A
PPAP2B,SPEN
PPAP2B,WDR35
PPAP2B,YY1
PPAP2B,ZMYND8
PPAP2B,ATF7
PPAP2B,CSMD1
PPAP2B,EIF2AK3
PPAP2B,ERCC5
PPAP2B,HDAC9
PPAP2B,HELZ2
PPAP2B,HSF4
PPAP2B,IDI2
PPAP2B,KDM2A
PPAP2B,KIF13B
PPAP2B,LPAR4
PPAP2B,NKRF
PPAP2B,OSR1
PPAP2B,PCDH9
PPAP2B,POU2F3
PPAP2B,TRAF3IP3
PPAP2B,UTP6
PPAP2B,BCL11A
PPAP2B,CACNA1A
