"comm","size","members","numSigEnrichedPathways","conn.pvalue"
1,8,"ELL2  HIPK3  MAPK7  MED8  PHACTR2  PPM1F  TCEB1  UBR2",0,"< 2e-03"
2,13,"ACVR1B  ANAPC7  ANK3  CRKL  CSNK1G3  HIPK1  IFNAR1  MAP4K5  PHKG2  RPS6KA3  SEC23A  TBK1  WIPF1",0,"< 2e-03"
3,7,"CFL2  ERRFI1  GMFB  MPRIP  SASH1  TFAP2A  TMOD3",0,"< 2e-03"
4,6,"BAG5  DNAJA3  GTF3C4  HIVEP2  SIP1  SLIT2",0,"< 2e-03"
5,8,"ARID4B  FEZ2  MCFD2  MSN  PICALM  PRKCZ  RPS6KB1  SSU72",1,"< 2e-03"
6,5,"CKAP4  JUN  LRP1B  NR3C1  RANBP9",0,"< 2e-03"
7,5,"CLASP1  GOLGA1  NADK  RAB11FIP2  RASSF8",0,"< 2e-03"
8,5,"FN1  HMOX2  ITGA1  PKD1  TGM2",3,"< 2e-03"
9,7,"DPYSL2  KIAA1244  MAP2  MARCKS  NIN  PTPRE  TOB1",0,"< 2e-03"
