"","V1","V2"
"1","ALDH3A2","CHFR"
"2","ALDH3A2","AOC2"
"3","ALDH3A2","AOC3"
"4","ALDH3A2","PJA1"
"5","ALDH3A2","ALDH6A1"
"6","ALDH3A2","CYP1A1"
"7","ALDH3A2","ASMT"
"8","ALDH3A2","LRSAM1"
"9","ALDH3A2","MAOB"
"10","ALDH3A2","MAOA"
"11","ALDH3A2","TRAF7"
"12","ALDH3A2","AKR1B1"
"13","ALDH3A2","ADH5"
"14","ALDH3A2","MIB1"
"15","ALDH3A2","MID1"
"16","ALDH3A2","CYP2C18"
"17","ALDH3A2","MYLIP"
"18","ALDH3A2","BRAP"
"19","ALDH3A2","ACOT12"
"20","ALDH3A2","ACSS1"
"21","ALDH3A2","SIAH2"
"22","ALDH3A2","ACYP2"
"23","ALDH3A2","FANCL"
"24","ALDH3A2","CYP2C19"
"25","ALDH3A2","CYP2D6"
"26","ALDH3A2","CYP2C8"
"27","ALDH3A2","CYP2F1"
"28","ALDH3A2","CYP2E1"
"29","ALDH3A2","CYP2S1"
"30","ALDH3A2","CYP2J2"
"31","ALDH3A2","CYP19A1"
"32","ALDH3A2","CYP1A2"
"33","ALDH3A2","CYP2A13"
"34","ALDH3A2","CYP1B1"
"35","ALDH3A2","CYP2B6"
"36","ALDH3A2","CYP2A7"
"37","ALDH3A2","CYP4Z1"
"38","ALDH3A2","CYP4X1"
"39","ALDH3A2","CYP3A7"
"40","ALDH3A2","CYP4F11"
"41","ALDH3A2","CYP4B1"
"42","ALDH3A2","CYP4F8"
"43","ALDH3A2","CYP4F12"
"44","ALDH3A2","CNDP1"
"45","ALDH3A2","RNF144B"
"46","ALDH3A2","RNF25"
"47","ALDH3A2","TRIM11"
"48","ALDH3A2","TRIM5"
"49","ALDH3A2","AMFR"
"50","ALDH3A2","UPB1"
"51","ALDH3A2","ABAT"
"52","ALDH3A2","CYP4A11"
"53","ALDH3A2","ADH1A"
"54","ALDH3A2","ACYP1"
"55","ALDH3A2","ADH1B"
"56","ALDH3A2","ADH4"
"57","ALDH3A2","ADH6"
"58","ALDH3A2","ADH7"
"59","ALDH3A2","DZIP3"
"60","ALDH3A2","CCNB1IP1"
"61","ALDH3A2","HIBADH"
"62","ALDH3A2","AOC1"
"63","HEMK1","HDC"
"64","HEMK1","DDC"
"65","HEMK1","HARS"
"66","HEMK1","MAT2A"
"67","HEMK1","AHCYL1"
"68","HEMK1","AHCYL2"
"69","HEMK1","CNDP1"
"70","HEMK1","HARS2"
"71","HEMK1","HAL"
"72","ACOX1","ECHS1"
"73","ACOX1","HADHA"
"74","ACOX1","CPT2"
"75","ACOX1","ACSL3"
"76","ACOX1","ACSL1"
"77","ACOX1","ACSL5"
"78","ACOX1","ACSL6"
"79","ACOX1","CPT1C"
"80","ACOX1","EHHADH"
"81","ACOX1","SCP2"
"82","ACOX1","CPT1A"
"83","GK2","GPAM"
"84","GK2","AKR1B1"
"85","GK2","ADH5"
"86","GK2","HHAT"
"87","GK2","ADH1A"
"88","GK2","ADH1B"
"89","GK2","ADH4"
"90","GK2","ADH6"
"91","GK2","ADH7"
"92","CHFR","ALDH2"
"93","CHFR","ALDH3A1"
"94","CHFR","ALDH7A1"
"95","CHFR","ALDH9A1"
"96","CHFR","AOX1"
"97","CHFR","ASMT"
"98","CHFR","ALDH1A3"
"99","ALDH2","AOC2"
"100","ALDH2","AOC3"
"101","ALDH2","SLC35F6"
"102","ALDH2","PJA1"
"103","ALDH2","ALDH6A1"
"104","ALDH2","CYP1A1"
"105","ALDH2","ASMT"
"106","ALDH2","LRSAM1"
"107","ALDH2","MAOB"
"108","ALDH2","MAOA"
"109","ALDH2","TRAF7"
"110","ALDH2","AKR1B1"
"111","ALDH2","ADH5"
"112","ALDH2","MIB1"
"113","ALDH2","MID1"
"114","ALDH2","CYP2C18"
"115","ALDH2","MYLIP"
"116","ALDH2","BRAP"
"117","ALDH2","ACOT12"
"118","ALDH2","ACSS1"
"119","ALDH2","SIAH2"
"120","ALDH2","ACYP2"
"121","ALDH2","FANCL"
"122","ALDH2","CYP2C19"
"123","ALDH2","CYP2D6"
"124","ALDH2","CYP2C8"
"125","ALDH2","CYP2F1"
"126","ALDH2","CYP2E1"
"127","ALDH2","CYP2S1"
"128","ALDH2","CYP2J2"
"129","ALDH2","CYP19A1"
"130","ALDH2","CYP1A2"
"131","ALDH2","CYP2A13"
"132","ALDH2","CYP1B1"
"133","ALDH2","CYP2B6"
"134","ALDH2","CYP2A7"
"135","ALDH2","CYP4Z1"
"136","ALDH2","CYP4X1"
"137","ALDH2","CYP3A7"
"138","ALDH2","CYP4F11"
"139","ALDH2","CYP4B1"
"140","ALDH2","CYP4F8"
"141","ALDH2","CYP4F12"
"142","ALDH2","CNDP1"
"143","ALDH2","RNF144B"
"144","ALDH2","RNF25"
"145","ALDH2","FAM45A"
"146","ALDH2","TRIM11"
"147","ALDH2","TRIM5"
"148","ALDH2","AMFR"
"149","ALDH2","UPB1"
"150","ALDH2","ABAT"
"151","ALDH2","CYP4A11"
"152","ALDH2","ADH1A"
"153","ALDH2","ACYP1"
"154","ALDH2","ADH1B"
"155","ALDH2","ADH4"
"156","ALDH2","ADH6"
"157","ALDH2","ADH7"
"158","ALDH2","DZIP3"
