"","V1","V2"
"1","PUS7","ITPKB"
"2","PUS7","BICC1"
"3","PUS7","ENSG00000133511"
"4","PUS7","CDS1"
"5","PUS7","CHRNA4"
"6","PUS7","COX6A1"
"7","PUS7","ATP13A3"
"8","PUS7","PHF14"
"9","PUS7","PPP1R21"
"10","PUS7","PPP4R4"
"11","PUS7","IWS1"
"12","PUS7","MRPS15"
"13","PUS7","MYB"
"14","PUS7","NAA25"
"15","PUS7","PFAS"
"16","PUS7","PGS1"
"17","PUS7","TDRD3"
"18","PUS7","TULP4"
"19","PUS7","UMPS"
"20","PUS7","ENSG00000164605"
"21","PUS7","QSOX2"
"22","PUS7","SEPSECS"
"23","PUS7","SMOX"
"24","PUS7","CNOT6"
"25","PUS7","FBXO42"
"26","PUS7","SFSWAP"
"27","PUS7","CHAF1A"
"28","PUS7","GCC2"
"29","TBRG1","CNOT6"
"30","ITPKB","BICC1"
"31","ITPKB","ENSG00000133511"
"32","ITPKB","CDS1"
"33","ITPKB","CHRNA4"
"34","ITPKB","COX6A1"
"35","ITPKB","ATP13A3"
"36","ITPKB","PHF14"
"37","ITPKB","PPP1R21"
"38","ITPKB","PPP4R4"
"39","ITPKB","IWS1"
"40","ITPKB","MRPS15"
"41","ITPKB","MYB"
"42","ITPKB","NAA25"
"43","ITPKB","PFAS"
"44","ITPKB","PGS1"
"45","ITPKB","TDRD3"
"46","ITPKB","TULP4"
"47","ITPKB","UMPS"
"48","ITPKB","ENSG00000164605"
"49","ITPKB","QSOX2"
"50","ITPKB","SEPSECS"
"51","ITPKB","SMOX"
"52","ITPKB","CNOT6"
"53","ITPKB","SFSWAP"
"54","ITPKB","CHAF1A"
"55","ITPKB","GCC2"
"56","NUPL1","NUP50"
"57","NUPL1","TPR"
"58","NUPL1","NUP98"
"59","NUPL1","GLE1"
"60","NUPL1","NUP88"
"61","NUPL1","SEH1L"
"62","NUPL1","NUP205"
"63","NUPL1","NUP155"
"64","NUPL1","NUP85"
"65","NUPL1","NUP54"
"66","NUPL1","POM121C"
"67","NUPL1","ZC3H15"
"68","NUPL1","NUP160"
"69","NUPL1","NUP210"
"70","NUPL1","NUP35"
"71","NUPL1","NUP37"
"72","NUPL1","NUP43"
"73","NUPL1","NUPL2"
"74","NUPL1","AAAS"
"75","NUPL1","IL4I1"
"76","NUPL1","NUP93"
"77","NUPL1","NUP188"
"78","NUPL1","RAE1"
"79","BICC1","ENSG00000133511"
"80","BICC1","CDS1"
"81","BICC1","CHRNA4"
"82","BICC1","COX6A1"
"83","BICC1","ATP13A3"
"84","BICC1","PHF14"
"85","BICC1","PPP1R21"
"86","BICC1","PPP4R4"
"87","BICC1","IWS1"
"88","BICC1","MRPS15"
"89","BICC1","MYB"
"90","BICC1","NAA25"
"91","BICC1","PFAS"
"92","BICC1","PGS1"
"93","BICC1","TDRD3"
"94","BICC1","TULP4"
"95","BICC1","UMPS"
"96","BICC1","ENSG00000164605"
"97","BICC1","QSOX2"
"98","BICC1","SEPSECS"
"99","BICC1","SMOX"
"100","BICC1","CNOT6"
"101","BICC1","NKX2-3"
"102","BICC1","SFSWAP"
"103","BICC1","CHAF1A"
"104","BICC1","GCC2"
"105","ENSG00000133511","CDS1"
"106","ENSG00000133511","CHRNA4"
"107","ENSG00000133511","COX6A1"
"108","ENSG00000133511","ATP13A3"
"109","ENSG00000133511","PHF14"
"110","ENSG00000133511","PPP1R21"
"111","ENSG00000133511","PPP4R4"
"112","ENSG00000133511","IWS1"
"113","ENSG00000133511","MRPS15"
"114","ENSG00000133511","MYB"
"115","ENSG00000133511","NAA25"
"116","ENSG00000133511","PFAS"
"117","ENSG00000133511","PGS1"
"118","ENSG00000133511","TDRD3"
"119","ENSG00000133511","TULP4"
"120","ENSG00000133511","UMPS"
"121","ENSG00000133511","ENSG00000164605"
"122","ENSG00000133511","QSOX2"
"123","ENSG00000133511","SEPSECS"
"124","ENSG00000133511","SMOX"
"125","ENSG00000133511","CNOT6"
"126","ENSG00000133511","SFSWAP"
"127","ENSG00000133511","CHAF1A"
"128","ENSG00000133511","GCC2"
"129","CDS1","CHRNA4"
"130","CDS1","COX6A1"
"131","CDS1","ATP13A3"
"132","CDS1","PHF14"
"133","CDS1","PPP1R21"
"134","CDS1","PPP4R4"
"135","CDS1","IWS1"
"136","CDS1","MRPS15"
"137","CDS1","MYB"
"138","CDS1","NAA25"
"139","CDS1","PFAS"
"140","CDS1","PGS1"
"141","CDS1","TDRD3"
"142","CDS1","TULP4"
"143","CDS1","UMPS"
"144","CDS1","ENSG00000164605"
"145","CDS1","QSOX2"
"146","CDS1","SEPSECS"
"147","CDS1","SMOX"
"148","CDS1","CNOT6"
"149","CDS1","SFSWAP"
"150","CDS1","CHAF1A"
"151","CDS1","GCC2"
"152","CHRNA4","COX6A1"
"153","CHRNA4","ATP13A3"
"154","CHRNA4","PHF14"
"155","CHRNA4","PPP1R21"
"156","CHRNA4","PPP4R4"
"157","CHRNA4","IWS1"
"158","CHRNA4","MRPS15"
"159","CHRNA4","MYB"
"160","CHRNA4","NAA25"
"161","CHRNA4","PFAS"
"162","CHRNA4","PGS1"
"163","CHRNA4","TDRD3"
"164","CHRNA4","TULP4"
"165","CHRNA4","UMPS"
"166","CHRNA4","ENSG00000164605"
"167","CHRNA4","QSOX2"
"168","CHRNA4","SEPSECS"
"169","CHRNA4","SMOX"
"170","CHRNA4","CNOT6"
"171","CHRNA4","SFSWAP"
"172","CHRNA4","CHAF1A"
"173","CHRNA4","GCC2"
"174","CHRNA4","CHRNB4"
"175","CHRNA4","CHRNB2"
"176","COX6A1","ATP13A3"
"177","COX6A1","PHF14"
"178","COX6A1","PPP1R21"
"179","COX6A1","PPP4R4"
"180","COX6A1","IWS1"
"181","COX6A1","MRPS15"
"182","COX6A1","MYB"
"183","COX6A1","NAA25"
"184","COX6A1","PFAS"
"185","COX6A1","PGS1"
"186","COX6A1","TDRD3"
"187","COX6A1","TULP4"
"188","COX6A1","UMPS"
"189","COX6A1","QSOX2"
"190","COX6A1","SEPSECS"
"191","COX6A1","SMOX"
"192","COX6A1","CNOT6"
"193","COX6A1","SFSWAP"
"194","COX6A1","CHAF1A"
"195","COX6A1","GCC2"
"196","ATP13A3","PHF14"
"197","ATP13A3","PPP1R21"
"198","ATP13A3","PPP4R4"
"199","ATP13A3","IWS1"
"200","ATP13A3","MRPS15"
"201","ATP13A3","MYB"
"202","ATP13A3","NAA25"
"203","ATP13A3","PFAS"
"204","ATP13A3","PGS1"
"205","ATP13A3","TDRD3"
"206","ATP13A3","TULP4"
"207","ATP13A3","UMPS"
"208","ATP13A3","ENSG00000164605"
"209","ATP13A3","QSOX2"
"210","ATP13A3","SEPSECS"
"211","ATP13A3","SMOX"
"212","ATP13A3","CNOT6"
"213","ATP13A3","SFSWAP"
"214","ATP13A3","CHAF1A"
"215","ATP13A3","GCC2"
"216","PHF14","PPP1R21"
"217","PHF14","PPP4R4"
"218","PHF14","IWS1"
"219","PHF14","MRPS15"
"220","PHF14","MYB"
"221","PHF14","NAA25"
"222","PHF14","PFAS"
"223","PHF14","PGS1"
"224","PHF14","TDRD3"
"225","PHF14","TULP4"
"226","PHF14","UMPS"
"227","PHF14","ENSG00000164605"
"228","PHF14","QSOX2"
"229","PHF14","SEPSECS"
"230","PHF14","SMOX"
"231","PHF14","CNOT6"
"232","PHF14","SFSWAP"
"233","PHF14","CHAF1A"
"234","PHF14","GCC2"
"235","PPP1R21","PPP4R4"
"236","PPP1R21","IWS1"
"237","PPP1R21","MRPS15"
"238","PPP1R21","MYB"
"239","PPP1R21","NAA25"
"240","PPP1R21","PFAS"
"241","PPP1R21","PGS1"
"242","PPP1R21","TDRD3"
"243","PPP1R21","TULP4"
"244","PPP1R21","UMPS"
"245","PPP1R21","ENSG00000164605"
"246","PPP1R21","QSOX2"
"247","PPP1R21","SEPSECS"
"248","PPP1R21","SMOX"
"249","PPP1R21","NUP88"
"250","PPP1R21","CNOT6"
"251","PPP1R21","SFSWAP"
"252","PPP1R21","CHAF1A"
"253","PPP1R21","GCC2"
"254","PPP4R4","IWS1"
"255","PPP4R4","MRPS15"
"256","PPP4R4","MYB"
"257","PPP4R4","NAA25"
"258","PPP4R4","PFAS"
"259","PPP4R4","PGS1"
"260","PPP4R4","TDRD3"
"261","PPP4R4","TULP4"
"262","PPP4R4","UMPS"
"263","PPP4R4","ENSG00000164605"
"264","PPP4R4","QSOX2"
"265","PPP4R4","SEPSECS"
"266","PPP4R4","SMOX"
"267","PPP4R4","CNOT6"
"268","PPP4R4","SFSWAP"
"269","PPP4R4","CHAF1A"
"270","PPP4R4","GCC2"
"271","IWS1","MRPS15"
"272","IWS1","MYB"
"273","IWS1","NAA25"
"274","IWS1","PFAS"
"275","IWS1","PGS1"
"276","IWS1","TDRD3"
"277","IWS1","TULP4"
"278","IWS1","UMPS"
"279","IWS1","ENSG00000164605"
"280","IWS1","QSOX2"
"281","IWS1","SEPSECS"
"282","IWS1","SMOX"
"283","IWS1","CNOT6"
"284","IWS1","SFSWAP"
"285","IWS1","CHAF1A"
"286","IWS1","GCC2"
"287","MRPS15","MYB"
"288","MRPS15","NAA25"
"289","MRPS15","PFAS"
"290","MRPS15","PGS1"
"291","MRPS15","TDRD3"
"292","MRPS15","TULP4"
"293","MRPS15","UMPS"
"294","MRPS15","ENSG00000164605"
"295","MRPS15","QSOX2"
"296","MRPS15","SEPSECS"
"297","MRPS15","SMOX"
"298","MRPS15","CNOT6"
"299","MRPS15","SFSWAP"
"300","MRPS15","CHAF1A"
"301","MRPS15","GCC2"
"302","MYB","NAA25"
"303","MYB","PFAS"
"304","MYB","PGS1"
"305","MYB","TDRD3"
"306","MYB","TULP4"
"307","MYB","UMPS"
"308","MYB","ENSG00000164605"
"309","MYB","QSOX2"
"310","MYB","SEPSECS"
"311","MYB","SMOX"
"312","MYB","PITX2"
"313","MYB","CNOT6"
"314","MYB","SFSWAP"
"315","MYB","CHAF1A"
"316","MYB","GCC2"
"317","MYB","ZFHX3"
"318","NAA25","PFAS"
"319","NAA25","PGS1"
"320","NAA25","TDRD3"
"321","NAA25","TULP4"
"322","NAA25","UMPS"
"323","NAA25","ENSG00000164605"
"324","NAA25","QSOX2"
"325","NAA25","SEPSECS"
"326","NAA25","SMOX"
"327","NAA25","CNOT6"
"328","NAA25","SFSWAP"
"329","NAA25","CHAF1A"
"330","NAA25","GCC2"
"331","PFAS","PGS1"
"332","PFAS","TDRD3"
"333","PFAS","TULP4"
"334","PFAS","UMPS"
"335","PFAS","ENSG00000164605"
"336","PFAS","QSOX2"
"337","PFAS","SEPSECS"
"338","PFAS","SMOX"
"339","PFAS","CNOT6"
