"","V1","V2"
"1","INO80B","CHD2"
"2","INO80B","CHD8"
"3","INO80B","FAM120C"
"4","INO80B","ADARB2"
"5","INO80B","ALPP"
"6","INO80B","ARID5B"
"7","INO80B","OGT"
"8","INO80B","STOM"
"9","INO80B","WDR33"
"10","INO80B","ZMYND11"
"11","INO80B","ZNF106"
"12","INO80B","RBAK"
"13","INO80B","RSBN1"
"14","INO80B","ZNF317"
"15","INO80B","ZNF362"
"16","INO80B","ZNF592"
"17","INO80B","ZSCAN12"
"18","INO80B","ENSG00000206407"
"19","INO80B","RREB1"
"20","INO80B","BEND3"
"21","INO80B","DHX30"
"22","INO80B","SUMO1"
"23","INO80B","PPP1R10"
"24","INO80B","ENSG00000206489"
"25","INO80B","CENPV"
"26","INO80B","BCKDK"
"27","INO80B","ZNF174"
"28","INO80B","ZNF462"
"29","INO80B","ZNF768"
"30","INO80B","ZNF687"
"31","CHD2","CHD8"
"32","CHD2","FAM120C"
"33","CHD2","ADARB2"
"34","CHD2","ALPP"
"35","CHD2","ARID5B"
"36","CHD2","OGT"
"37","CHD2","STOM"
"38","CHD2","WDR33"
"39","CHD2","ZMYND11"
"40","CHD2","ZNF106"
"41","CHD2","RBAK"
"42","CHD2","RSBN1"
"43","CHD2","ZNF317"
"44","CHD2","ZNF362"
"45","CHD2","ZNF592"
"46","CHD2","ZSCAN12"
"47","CHD2","ENSG00000206407"
"48","CHD2","RREB1"
"49","CHD2","BEND3"
"50","CHD2","DHX30"
"51","CHD2","SUMO1"
"52","CHD2","PPP1R10"
"53","CHD2","ENSG00000206489"
"54","CHD2","CENPV"
"55","CHD2","BCKDK"
"56","CHD2","ZNF174"
"57","CHD2","ZNF462"
"58","CHD2","ZNF768"
"59","CHD2","ZNF687"
"60","CHD8","FAM120C"
"61","CHD8","ADARB2"
"62","CHD8","ALPP"
"63","CHD8","ARID5B"
"64","CHD8","OGT"
"65","CHD8","STOM"
"66","CHD8","WDR33"
"67","CHD8","ZMYND11"
"68","CHD8","ZNF106"
"69","CHD8","RBAK"
"70","CHD8","RSBN1"
"71","CHD8","ZNF317"
"72","CHD8","ZNF362"
"73","CHD8","ZNF592"
"74","CHD8","ZSCAN12"
"75","CHD8","ENSG00000206407"
"76","CHD8","RREB1"
"77","CHD8","LRPAP1"
"78","CHD8","ARID1B"
"79","CHD8","PBXIP1"
"80","CHD8","MCAT"
"81","CHD8","FAM98A"
"82","CHD8","ASCC3"
"83","CHD8","BEND3"
"84","CHD8","RBM33"
"85","CHD8","DDB2"
"86","CHD8","NUFIP2"
"87","CHD8","CLK3"
"88","CHD8","DHX30"
"89","CHD8","HELZ"
"90","CHD8","SUMO1"
"91","CHD8","PPP1R10"
"92","CHD8","ENSG00000206489"
"93","CHD8","CENPV"
"94","CHD8","BCKDK"
"95","CHD8","ZNF174"
"96","CHD8","ZNF462"
"97","CHD8","ZNF768"
"98","CHD8","ZNF687"
"99","FAM120C","ADARB2"
"100","FAM120C","ALPP"
"101","FAM120C","ARID5B"
"102","FAM120C","OGT"
"103","FAM120C","STOM"
"104","FAM120C","WDR33"
"105","FAM120C","ZMYND11"
"106","FAM120C","ZNF106"
"107","FAM120C","RBAK"
"108","FAM120C","RSBN1"
"109","FAM120C","ZNF317"
"110","FAM120C","ZNF362"
"111","FAM120C","ZNF592"
"112","FAM120C","ZSCAN12"
"113","FAM120C","ENSG00000206407"
"114","FAM120C","RREB1"
"115","FAM120C","BEND3"
"116","FAM120C","DHX30"
"117","FAM120C","SUMO1"
"118","FAM120C","PPP1R10"
"119","FAM120C","ENSG00000206489"
"120","FAM120C","CENPV"
"121","FAM120C","BCKDK"
"122","FAM120C","ZNF174"
"123","FAM120C","ZNF462"
"124","FAM120C","ZNF768"
"125","FAM120C","ZNF687"
"126","ADARB2","ALPP"
"127","ADARB2","ARID5B"
"128","ADARB2","OGT"
"129","ADARB2","STOM"
"130","ADARB2","WDR33"
"131","ADARB2","ZMYND11"
"132","ADARB2","ZNF106"
"133","ADARB2","RBAK"
"134","ADARB2","RSBN1"
"135","ADARB2","ZNF317"
"136","ADARB2","ZNF362"
"137","ADARB2","ZNF592"
"138","ADARB2","ZSCAN12"
"139","ADARB2","ENSG00000206407"
"140","ADARB2","RREB1"
"141","ADARB2","BEND3"
"142","ADARB2","DHX30"
"143","ADARB2","SUMO1"
"144","ADARB2","PPP1R10"
"145","ADARB2","ENSG00000206489"
"146","ADARB2","CENPV"
"147","ADARB2","BCKDK"
"148","ADARB2","ZNF174"
"149","ADARB2","ZNF462"
"150","ADARB2","ZNF768"
"151","ADARB2","ZNF687"
"152","ALPP","ARID5B"
"153","ALPP","OGT"
"154","ALPP","STOM"
"155","ALPP","WDR33"
"156","ALPP","ZMYND11"
"157","ALPP","ZNF106"
"158","ALPP","RBAK"
"159","ALPP","RSBN1"
"160","ALPP","ZNF317"
"161","ALPP","ZNF362"
"162","ALPP","ZNF592"
"163","ALPP","ZSCAN12"
"164","ALPP","ENSG00000206407"
"165","ALPP","RREB1"
"166","ALPP","LRPAP1"
"167","ALPP","ARID1B"
"168","ALPP","PBXIP1"
"169","ALPP","MCAT"
"170","ALPP","FAM98A"
"171","ALPP","ASCC3"
"172","ALPP","BEND3"
"173","ALPP","RBM33"
"174","ALPP","DDB2"
"175","ALPP","NUFIP2"
"176","ALPP","CLK3"
"177","ALPP","DHX30"
"178","ALPP","HELZ"
"179","ALPP","SUMO1"
"180","ALPP","PPP1R10"
"181","ALPP","ENSG00000206489"
"182","ALPP","CENPV"
"183","ALPP","BCKDK"
"184","ALPP","ZNF174"
"185","ALPP","ZNF462"
"186","ALPP","ZNF768"
"187","ALPP","ZNF687"
"188","ARID5B","OGT"
"189","ARID5B","STOM"
"190","ARID5B","WDR33"
"191","ARID5B","ZMYND11"
"192","ARID5B","ZNF106"
"193","ARID5B","RBAK"
"194","ARID5B","RSBN1"
"195","ARID5B","ZNF317"
"196","ARID5B","ZNF362"
"197","ARID5B","ZNF592"
"198","ARID5B","ZSCAN12"
"199","ARID5B","ENSG00000206407"
"200","ARID5B","RREB1"
"201","ARID5B","BEND3"
"202","ARID5B","DHX30"
"203","ARID5B","SUMO1"
"204","ARID5B","PPP1R10"
"205","ARID5B","ENSG00000206489"
"206","ARID5B","CENPV"
"207","ARID5B","BCKDK"
"208","ARID5B","ZNF174"
"209","ARID5B","ZNF462"
"210","ARID5B","ZNF768"
"211","ARID5B","ZNF687"
"212","OGT","STOM"
"213","OGT","WDR33"
"214","OGT","ZMYND11"
"215","OGT","ZNF106"
"216","OGT","RBAK"
"217","OGT","RSBN1"
"218","OGT","ZNF317"
"219","OGT","ZNF362"
"220","OGT","ZNF592"
"221","OGT","ZSCAN12"
"222","OGT","ENSG00000206407"
"223","OGT","RREB1"
"224","OGT","UGCG"
"225","OGT","GBA"
"226","OGT","C1GALT1"
"227","OGT","BEND3"
"228","OGT","GALNT12"
"229","OGT","GALNT14"
"230","OGT","GALNT10"
"231","OGT","DHX30"
"232","OGT","GALNT11"
"233","OGT","GALNT9"
"234","OGT","B3GNT6"
"235","OGT","WBSCR17"
"236","OGT","PIGN"
"237","OGT","PIGM"
"238","OGT","GMPPA"
"239","OGT","SUMO1"
"240","OGT","PPP1R10"
"241","OGT","ENSG00000206489"
"242","OGT","CENPV"
"243","OGT","BCKDK"
"244","OGT","ZNF174"
"245","OGT","ZNF462"
"246","OGT","ZNF768"
"247","OGT","ZNF687"
"248","OGT","SETD1A"
"249","OGT","ST6GALNAC1"
"250","OGT","GALNT15"
"251","OGT","GALNT16"
"252","OGT","GALNT13"
"253","OGT","GALNT3"
"254","OGT","GALNT5"
"255","OGT","GALNT18"
"256","OGT","GALNT2"
"257","OGT","GALNT1"
"258","OGT","GALNT8"
"259","OGT","GALNT6"
"260","OGT","GALNT7"
"261","OGT","GMDS"
"262","OGT","FIBP"
"263","STOM","WDR33"
"264","STOM","ZMYND11"
"265","STOM","ZNF106"
"266","STOM","RBAK"
"267","STOM","RSBN1"
"268","STOM","ZNF317"
"269","STOM","ZNF362"
"270","STOM","ZNF592"
"271","STOM","ZSCAN12"
"272","STOM","ENSG00000206407"
"273","STOM","RREB1"
"274","STOM","LRPAP1"
"275","STOM","ARID1B"
"276","STOM","PBXIP1"
"277","STOM","MCAT"
"278","STOM","FAM98A"
"279","STOM","ASCC3"
"280","STOM","BEND3"
"281","STOM","RBM33"
"282","STOM","DDB2"
"283","STOM","NUFIP2"
