SLC37A3 	hsa-miR-181c-5p
EN2 	hsa-miR-27b-3p
BCL2 	hsa-miR-15b-5p
BCL2 	hsa-miR-181c-5p
PTPRD 	hsa-miR-141-3p
HOXB5 	hsa-miR-141-3p
KLHL20 	hsa-miR-200c-3p
PTPRD 	hsa-miR-200c-3p
KLHL20 	hsa-miR-141-3p
ELMO2 	hsa-miR-141-3p
HOXB5 	hsa-miR-200c-3p
TCF7L1 	hsa-miR-141-3p
TCF7L1 	hsa-miR-200c-3p
CDX2 	hsa-miR-181c-5p
SOD1 	hsa-miR-377-3p
BCL2 	hsa-miR-20a-5p
CHUK 	hsa-miR-223-3p
SLITRK1 	hsa-miR-24-1-5p
MEF2D 	hsa-miR-20a-5p
SRM 	hsa-miR-340-5p
HMGB2 	hsa-miR-181c-5p
HMGB2 	hsa-miR-27b-3p
HMGB2 	hsa-miR-340-5p
LMNB1 	hsa-miR-15b-5p
CSDE1 	hsa-miR-15b-5p
UTP20 	hsa-miR-96-5p
EIF2C2 	hsa-miR-20a-5p
CAND1 	hsa-miR-96-5p
PPP6C 	hsa-miR-20a-5p
PPP6C 	hsa-miR-15b-5p
RPL38 	hsa-miR-27b-3p
HIPK3 	hsa-miR-20a-5p
DDX6 	hsa-miR-27b-3p
TUBB 	hsa-miR-769-5p
TUBB 	hsa-miR-15b-5p
BIRC5 	hsa-miR-15b-5p
RNF144B 	hsa-miR-615-3p
SYNJ1 	hsa-miR-20a-5p
ANKRD29 	hsa-miR-20a-5p
CDKN1B 	hsa-miR-20a-5p
U2AF2 	hsa-miR-96-5p
U2AF2 	hsa-miR-340-5p
CD151 	hsa-miR-15b-5p
APPBP2 	hsa-miR-27b-3p
BCL2 	hsa-miR-96-5p
BCL11A 	hsa-miR-20a-5p
C18orf32 	hsa-miR-27b-3p
GMNN 	hsa-miR-96-5p
ZNF664 	hsa-miR-423-3p
NHLRC3 	hsa-miR-20a-5p
CHUK 	hsa-miR-15b-5p
CDCA4 	hsa-miR-20a-5p
CDCA4 	hsa-miR-15b-5p
CDCA4 	hsa-miR-340-5p
ZNF562 	hsa-miR-181c-5p
ZFYVE26 	hsa-miR-20a-5p
ZFYVE26 	hsa-miR-340-5p
PARK7 	hsa-miR-96-5p
TMEM167B 	hsa-miR-15b-5p
TOB1 	hsa-miR-20a-5p
HIST1H4C 	hsa-miR-769-5p
SOAT1 	hsa-miR-20a-5p
MCM4 	hsa-miR-20a-5p
ZNF121 	hsa-miR-181c-5p
USP16 	hsa-miR-20a-5p
NRBF2 	hsa-miR-20a-5p
KIAA0907 	hsa-miR-15b-5p
SF3B4 	hsa-miR-27b-3p
SYPL1 	hsa-miR-15b-5p
GDF11 	hsa-miR-20a-5p
ACOX3 	hsa-miR-423-3p
STK38 	hsa-miR-15b-5p
TM9SF3 	hsa-miR-181c-5p
HNRPDL 	hsa-miR-181c-5p
HNRPDL 	hsa-miR-340-5p
HRH3 	hsa-miR-769-5p
HRH3 	hsa-miR-615-3p
SMARCA2 	hsa-miR-96-5p
PPIL1 	hsa-miR-15b-5p
GNA13 	hsa-miR-15b-5p
ZDHHC20 	hsa-miR-20a-5p
