miRNA ID	module 1	miRNA ID	module 2	miRNA ID	module 3	miRNA ID	module 4
hsa-mir-3691	1.469177646	hsa-mir-124-3	1.107579219	hsa-mir-98	1.381854754	hsa-mir-874	1.647734532
hsa-mir-3680	1.462706486	hsa-mir-876	1.105178591	hsa-mir-1468	1.353629547	hsa-mir-3676	1.632655203
hsa-mir-15b	1.450906637	hsa-mir-184	1.094283926	hsa-mir-32	1.33390213	hsa-mir-3653	1.626150896
hsa-mir-144	1.444492463	hsa-mir-3124	1.093037484	hsa-mir-15a	1.328507528	hsa-mir-450a-1	1.616149593
hsa-mir-33b	1.432297232	hsa-mir-504	1.092231342	hsa-mir-188	1.30807221	hsa-mir-145	1.590816065
hsa-mir-576	1.410751617	hsa-mir-873	1.05717453	hsa-mir-425	1.286420519	hsa-mir-889	1.587784869
hsa-mir-1976	1.409498258	hsa-mir-1270-2	1.044690943	hsa-mir-18a	1.280994921	hsa-mir-3651	1.579680091
hsa-mir-190	1.393726562	hsa-mir-520f	1.038697103	hsa-mir-103-1	1.27974627	hsa-mir-331	1.577068789
hsa-mir-577	1.382945806	hsa-mir-1251	1.038106837	hsa-mir-3170	1.268273472	hsa-mir-2355	1.575230062
hsa-mir-375	1.36653825	hsa-mir-3910-2	1.033821924	hsa-mir-374b	1.257995465	hsa-mir-320b-2	1.562269382
hsa-mir-548v	1.356242716	hsa-mir-599	1.033400672	hsa-mir-577	1.242676357	hsa-mir-423	1.540872497
hsa-mir-1224	1.344409554	hsa-mir-23b	1.032932517	hsa-mir-101-1	1.240943433	hsa-mir-656	1.536831131
hsa-mir-3917	1.336732684	hsa-mir-517a	1.020044031	hsa-mir-466	1.239185832	hsa-mir-197	1.522460025
hsa-mir-548t	1.32577651	hsa-mir-517b	1.018210425	hsa-mir-767	1.226776023	hsa-mir-328	1.502365125
hsa-mir-3187	1.321701989	hsa-mir-758	1.017466662	hsa-mir-3193	1.221975965	hsa-mir-125b-1	1.486421662
hsa-mir-1306	1.317146579	hsa-mir-412	1.014102882	hsa-mir-3200	1.220721102	hsa-mir-30b	1.471793139
hsa-mir-616	1.314853677	hsa-mir-3126	1.008810262	hsa-mir-421	1.217507103	hsa-mir-27b	1.436660509
hsa-mir-2116	1.298672996			hsa-mir-191	1.217453655	hsa-mir-455	1.42099871
hsa-mir-7-2	1.29216143			hsa-mir-181c	1.206105991	hsa-mir-410	1.417497443
hsa-mir-200a	1.268384789			hsa-mir-506	1.185982413	hsa-mir-497	1.416978817
hsa-mir-1255a	1.255070405			hsa-mir-105-1	1.173078459	hsa-mir-671	1.366070417
hsa-mir-31	1.229140129			hsa-mir-95	1.155254373	hsa-mir-3647	1.345240127
hsa-mir-142	1.22459769			hsa-mir-135b	1.110091382	hsa-mir-24-2	1.32613549
hsa-mir-935	1.210688951			hsa-mir-590	1.10666719	hsa-mir-496	1.304996705
hsa-mir-140	1.208112725			hsa-mir-500b	1.09756143	hsa-mir-505	1.284627208
hsa-mir-3619	1.201080369			hsa-mir-1269	1.094677756	hsa-mir-483	1.278957811
hsa-mir-643	1.200236916			hsa-mir-452	1.079446723	hsa-mir-3607	1.269981385
hsa-mir-551a	1.196379511			hsa-mir-556	1.068499516	hsa-mir-181a-2	1.26542039
hsa-mir-3189	1.193080952			hsa-mir-3613	1.067570799	hsa-mir-450a-2	1.194669452
hsa-mir-222	1.173142187			hsa-mir-3664	1.065924686	hsa-mir-3613	1.172795896
hsa-mir-877	1.166348004			hsa-mir-3662	1.065857929	hsa-mir-34c	1.165612105
hsa-mir-1181	1.13947507					hsa-mir-1249	1.164952347
hsa-mir-3176	1.132006333					hsa-mir-550a-1	1.137763615
hsa-mir-582	1.120856055					hsa-mir-361	1.131370303
hsa-mir-340	1.118379216					hsa-mir-3615	1.127932662
hsa-let-7i	1.084173085					hsa-mir-379	1.124647001
hsa-mir-3136	1.067593554					hsa-mir-296	1.106378414
hsa-mir-1304	1.058967753					hsa-mir-181a-1	1.08614461
hsa-mir-1287	1.05626214					hsa-mir-424	1.071762923
hsa-let-7f-2	1.049097901					hsa-mir-34b	1.042309533
hsa-mir-3155	1.04861352					hsa-mir-766	1.029918895
hsa-mir-1274b	1.043713308					hsa-mir-329-2	1.025578277
hsa-mir-579	1.035777501					hsa-mir-320a	1.011970177
hsa-mir-671	1.030699442					hsa-mir-1248	1.011410789
hsa-mir-3158-2	1.030659171					hsa-mir-191	1.010466487
hsa-mir-548j	1.028425032						
hsa-mir-3173	1.027116245						
hsa-mir-331	1.026055194						
hsa-mir-1246	1.019637834						
hsa-mir-3682	1.017893745						
hsa-mir-1276	1.004839578						
