miRNA ID	module 1	miRNA ID	module 2	miRNA ID	module 3	miRNA ID	module 4
hsa-mir-625	2.93845885	hsa-mir-143	3.0707633	hsa-mir-335	2.753908521	hsa-mir-214	3.294114592
hsa-mir-3614	2.908356511	hsa-let-7c	2.932539742	hsa-mir-20a	2.748131586	hsa-mir-409	3.255822317
hsa-mir-330	2.903107548	hsa-mir-125b-2	2.629653021	hsa-mir-592	2.582104394	hsa-mir-130a	3.174400175
hsa-mir-185	2.75649971	hsa-mir-1-2	2.622063778	hsa-mir-101-2	2.443454806	hsa-mir-377	3.039488363
hsa-mir-1180	2.629337012	hsa-mir-100	2.581977107	hsa-mir-92a-1	2.4151548	hsa-mir-337	3.035209798
hsa-mir-3940	2.566960558	hsa-mir-490	2.547052922	hsa-mir-19b-2	2.407814167	hsa-mir-323	2.923488072
hsa-mir-1266	2.552891239	hsa-mir-99a	2.480127834	hsa-mir-508	2.383134312	hsa-mir-193b	2.907184132
hsa-mir-629	2.517021676	hsa-mir-30a	2.451279807	hsa-mir-194-2	2.377829391	hsa-mir-369	2.797278811
hsa-mir-3934	2.500864282	hsa-mir-133b	2.365592626	hsa-mir-17	2.373350695	hsa-mir-154	2.715319917
hsa-mir-128-2	2.462208779	hsa-mir-129-1	2.356244769	hsa-mir-194-1	2.355404105	hsa-mir-199a-2	2.674587306
hsa-mir-215	2.420688847	hsa-mir-133a-2	2.341541669	hsa-mir-552	2.244830296	hsa-mir-199a-1	2.672709894
hsa-mir-132	2.36600795	hsa-mir-133a-1	2.288756513	hsa-mir-196a-2	2.238177457	hsa-mir-654	2.63788112
hsa-mir-942	2.306314365	hsa-mir-218-2	2.235034553	hsa-mir-374a	2.200174207	hsa-mir-199b	2.632491316
hsa-mir-92b	2.270472077	hsa-mir-139	2.134005149	hsa-mir-96	2.116032158	hsa-mir-493	2.610762884
hsa-mir-3652	2.157860458	hsa-mir-125b-1	2.106791331	hsa-mir-192	2.095617235	hsa-mir-376c	2.586330077
hsa-mir-3677	2.05491687	hsa-mir-383	2.097213636	hsa-mir-92a-2	2.089479881	hsa-mir-136	2.543007604
hsa-mir-128-1	2.021835518	hsa-mir-129-2	2.046070911	hsa-mir-548f-1	2.089105292	hsa-mir-487b	2.520470836
hsa-mir-3127	1.978146342	hsa-mir-195	1.971796248	hsa-mir-362	2.075414148	hsa-mir-485	2.493866481
hsa-mir-212	1.933955735	hsa-mir-1258	1.89502448	hsa-mir-196a-1	2.005738783	hsa-mir-299	2.462679081
hsa-mir-652	1.923653278	hsa-mir-23c	1.894902246	hsa-mir-182	1.982034324	hsa-mir-431	2.413576872
hsa-mir-7-1	1.907065387	hsa-mir-9-2	1.886592791	hsa-mir-200b	1.980154778	hsa-mir-376a-1	2.37335113
hsa-mir-148b	1.891576055	hsa-mir-9-1	1.884013958	hsa-mir-196b	1.94730563	hsa-mir-494	2.332055233
hsa-mir-155	1.874104271	hsa-mir-216a	1.776496945	hsa-mir-514-3	1.929319475	hsa-mir-382	2.322107143
hsa-mir-589	1.86653395	hsa-mir-152	1.753781862	hsa-mir-514-2	1.925884637	hsa-mir-887	2.310969049
hsa-mir-146b	1.835881529	hsa-mir-9-3	1.746159448	hsa-mir-660	1.923060456	hsa-mir-24-1	2.283828991
hsa-let-7a-2	1.831408397	hsa-mir-187	1.741747131	hsa-mir-429	1.920555227	hsa-mir-127	2.273018445
hsa-let-7a-3	1.827340221	hsa-mir-137	1.719344779	hsa-mir-148a	1.877524264	hsa-mir-376b	2.266872695
hsa-let-7a-1	1.816272024	hsa-mir-3926-1	1.711905463	hsa-mir-19a	1.872519911	hsa-mir-134	2.204734559
hsa-mir-219-1	1.735655069	hsa-mir-216b	1.690763068	hsa-mir-514-1	1.87160575	hsa-mir-495	2.173543814
hsa-mir-326	1.731232578	hsa-mir-145	1.666563279	hsa-mir-183	1.823180985	hsa-mir-708	2.127066292
hsa-mir-1288	1.729923921	hsa-mir-1-1	1.635636228	hsa-mir-454	1.814131535	hsa-mir-126	2.126043073
hsa-mir-107	1.724990547	hsa-let-7e	1.626676732	hsa-mir-29b-1	1.769158936	hsa-mir-655	2.123044803
hsa-mir-511-1	1.720528067	hsa-mir-218-1	1.569614386	hsa-mir-19b-1	1.761810169	hsa-mir-27a	2.120396689
hsa-mir-744	1.714149531	hsa-mir-124-1	1.492029767	hsa-mir-509-1	1.750010417	hsa-mir-487a	2.104323155
hsa-mir-486	1.696529063	hsa-mir-217	1.488404655	hsa-mir-499	1.745399909	hsa-mir-411	2.060099509
hsa-mir-1293	1.682062339	hsa-mir-363	1.432767888	hsa-mir-532	1.728308499	hsa-mir-34a	2.058961339
hsa-mir-760	1.663229233	hsa-mir-34c	1.432030163	hsa-mir-200c	1.72536423	hsa-mir-370	2.047061616
hsa-mir-210	1.655451956	hsa-mir-135a-1	1.430082749	hsa-mir-141	1.710466012	hsa-mir-323b	2.024561863
hsa-mir-642a	1.645435766	hsa-mir-541	1.423509949	hsa-mir-93	1.701899755	hsa-mir-339	1.993638655
hsa-mir-1307	1.641556543	hsa-mir-3199-2	1.401981481	hsa-mir-181d	1.686303315	hsa-mir-381	1.974767803
hsa-mir-223	1.621912293	hsa-mir-372	1.400020497	hsa-mir-203	1.682358009	hsa-mir-23a	1.959263464
hsa-mir-151	1.618598223	hsa-mir-29c	1.386914603	hsa-mir-224	1.682101376	hsa-mir-539	1.939864492
hsa-mir-615	1.579892373	hsa-mir-3926-2	1.384170339	hsa-mir-509-3	1.680926661	hsa-mir-149	1.864494477
hsa-mir-548e	1.576424568	hsa-mir-380	1.35803792	hsa-mir-559	1.66165081	hsa-mir-758	1.837772349
hsa-mir-511-2	1.576285493	hsa-mir-410	1.346676598	hsa-mir-29b-2	1.631581735	hsa-mir-432	1.774376306
hsa-mir-3074	1.570032759	hsa-mir-202	1.28770292	hsa-mir-651	1.594334989	hsa-mir-1271	1.767459286
hsa-mir-628	1.562051412	hsa-mir-944	1.277025987	hsa-mir-200a	1.520385494	hsa-mir-30c-2	1.732922278
hsa-let-7b	1.55218292	hsa-mir-379	1.220918522	hsa-mir-509-2	1.515610121	hsa-mir-433	1.716426712
hsa-mir-3130-1	1.545995816	hsa-mir-10b	1.197611608	hsa-mir-500a	1.505143867	hsa-mir-543	1.715542663
hsa-mir-584	1.540878568	hsa-mir-3622a	1.180892441	hsa-mir-10a	1.485109608	hsa-mir-1296	1.704969516
hsa-mir-3944	1.52322157	hsa-mir-99b	1.168177711	hsa-mir-30d	1.484662268	hsa-mir-484	1.700510402
hsa-mir-378	1.511695287	hsa-mir-1243	1.162367386	hsa-mir-106a	1.462808789	hsa-mir-376a-2	1.69626862
hsa-mir-2110	1.498908325	hsa-mir-1197	1.131859809	hsa-mir-3937	1.45494157	hsa-mir-345	1.672622949
hsa-mir-7-3	1.498600732	hsa-mir-585	1.12541276	hsa-mir-301a	1.414558873	hsa-mir-574	1.663568057
hsa-mir-146a	1.496232325	hsa-mir-20b	1.114030435	hsa-mir-3942	1.392802234	hsa-mir-125a	1.658930161
