ID	TCGA-A6-2675-01A-02T-1722	TCGA-A6-4105-01A-02T-1773	TCGA-A6-5656-01A-21H-1838	TCGA-A6-5659-01A-01T-1652	TCGA-A6-5660-01A-01T-1652	TCGA-A6-5661-01A-01T-1652	TCGA-A6-5662-01A-01T-1652	TCGA-A6-5664-01A-21H-1838	TCGA-A6-5665-01A-01T-1652	TCGA-A6-5666-01A-01T-1652	TCGA-A6-5667-01A-21H-1722	TCGA-A6-6137-01A-11H-1773	TCGA-A6-6138-01A-11H-1773	TCGA-A6-6140-01A-11H-1773	TCGA-A6-6141-01A-11H-1773	TCGA-A6-6142-01A-11H-1773	TCGA-A6-6648-01A-11H-1773	TCGA-A6-6649-01A-11H-1773	TCGA-A6-6650-01A-11H-1773	TCGA-A6-6651-01A-21H-1838	TCGA-A6-6652-01A-11H-1773	TCGA-A6-6653-01A-11H-1773	TCGA-A6-6654-01A-21H-1838	TCGA-A6-6780-01A-11H-1838	TCGA-A6-6781-01A-22H-1927	TCGA-A6-6782-01A-11H-1838	TCGA-AA-3489-01A-21H-1838	TCGA-AA-3496-01A-21H-1838	TCGA-AA-3511-01A-21H-1838	TCGA-AA-3655-01A-02T-1722	TCGA-AA-3660-01A-01T-1722	TCGA-AA-3662-01A-01T-1722	TCGA-AA-3663-01A-01T-1722	TCGA-AA-3697-01A-01T-1722	TCGA-AA-3712-01A-21H-1722	TCGA-AA-3713-01A-21H-1722	TCGA-AD-5900-01A-11H-1652	TCGA-AD-6548-01A-11H-1838	TCGA-AD-6888-01A-11H-1927	TCGA-AD-6889-01A-11H-1927	TCGA-AD-6899-01A-11H-1927	TCGA-AM-5820-01A-01T-1652	TCGA-AM-5821-01A-01T-1652	TCGA-AU-3779-01A-01T-1722	TCGA-AU-6004-01A-11H-1722	TCGA-AY-5543-01A-01T-1652	TCGA-AY-6196-01A-11H-1722	TCGA-AY-6197-01A-11H-1722	TCGA-AY-6386-01A-21H-1722	TCGA-AZ-4323-01A-21H-1838	TCGA-AZ-4616-01A-21H-1838	TCGA-AZ-5403-01A-01T-1652	TCGA-AZ-5407-01A-01T-1722	TCGA-AZ-6598-01A-11H-1773	TCGA-AZ-6599-01A-11H-1773	TCGA-AZ-6600-01A-11H-1773	TCGA-AZ-6601-01A-11H-1773	TCGA-AZ-6605-01A-11H-1838	TCGA-AZ-6606-01A-11H-1838	TCGA-AZ-6607-01A-11H-1838	TCGA-AZ-6608-01A-11H-1838	TCGA-CA-5254-01A-21H-1838	TCGA-CA-5255-01A-11H-1838	TCGA-CA-5796-01A-01T-1652	TCGA-CA-5797-01A-01T-1652	TCGA-CA-6715-01A-21H-1838	TCGA-CA-6716-01A-11H-1838	TCGA-CA-6717-01A-11H-1838	TCGA-CA-6718-01A-11H-1838	TCGA-CA-6719-01A-11H-1838	TCGA-CK-4947-01B-11H-1652	TCGA-CK-4948-01B-11H-1652	TCGA-CK-4950-01A-01T-1722	TCGA-CK-4952-01A-01T-1722	TCGA-CK-5912-01A-11H-1652	TCGA-CK-5913-01A-11H-1652	TCGA-CK-5914-01A-11H-1652	TCGA-CK-5915-01A-11H-1652	TCGA-CK-5916-01A-11H-1652	TCGA-CK-6746-01A-11H-1838	TCGA-CK-6747-01A-11H-1838	TCGA-CK-6748-01A-11H-1838	TCGA-CK-6751-01A-11H-1838	TCGA-CM-4743-01A-01T-1722	TCGA-CM-4751-01A-02H-1838	TCGA-CM-5344-01A-21H-1722	TCGA-CM-5348-01A-21H-1722	TCGA-CM-5349-01A-21H-1722	TCGA-CM-5860-01A-01T-1652	TCGA-CM-5861-01A-01T-1652	TCGA-CM-5862-01A-01T-1652	TCGA-CM-5863-01A-21H-1838	TCGA-CM-5864-01A-01T-1652	TCGA-CM-5868-01A-01T-1652	TCGA-CM-6161-01A-11H-1652	TCGA-CM-6162-01A-11H-1652	TCGA-CM-6163-01A-11H-1652	TCGA-CM-6164-01A-11H-1652	TCGA-CM-6165-01A-11H-1652	TCGA-CM-6166-01A-11H-1652	TCGA-CM-6167-01A-11H-1652	TCGA-CM-6168-01A-11H-1652	TCGA-CM-6169-01A-11H-1652	TCGA-CM-6170-01A-11H-1652	TCGA-CM-6171-01A-11H-1652	TCGA-CM-6172-01A-11H-1652	TCGA-CM-6674-01A-11H-1838	TCGA-CM-6675-01A-11H-1838	TCGA-CM-6676-01A-11H-1838	TCGA-CM-6677-01A-11H-1838	TCGA-CM-6678-01A-11H-1838	TCGA-CM-6679-01A-11H-1838	TCGA-CM-6680-01A-11H-1838	TCGA-D5-5537-01A-21H-1927	TCGA-D5-5538-01A-01T-1652	TCGA-D5-5539-01A-01T-1652	TCGA-D5-5540-01A-01T-1652	TCGA-D5-5541-01A-01T-1652	TCGA-D5-6529-01A-11H-1773	TCGA-D5-6530-01A-11H-1722	TCGA-D5-6531-01A-11H-1722	TCGA-D5-6532-01A-11H-1722	TCGA-D5-6533-01A-11H-1722	TCGA-D5-6534-01A-21H-1927	TCGA-D5-6535-01A-11H-1722	TCGA-D5-6536-01A-11H-1722	TCGA-D5-6537-01A-11H-1722	TCGA-D5-6538-01A-11H-1722	TCGA-D5-6539-01A-11H-1722	TCGA-D5-6540-01A-11H-1722	TCGA-D5-6541-01A-11H-1722	TCGA-D5-6898-01A-11H-1927	TCGA-D5-6920-01A-11H-1927	TCGA-D5-6922-01A-11H-1927	TCGA-D5-6924-01A-11H-1927	TCGA-D5-6926-01A-11H-1927	TCGA-D5-6927-01A-21H-1927	TCGA-D5-6928-01A-11H-1927	TCGA-D5-6929-01A-31H-1927	TCGA-D5-6930-01A-11H-1927	TCGA-D5-6931-01A-11H-1927	TCGA-D5-6932-01A-11H-1927	TCGA-DM-A0X9-01A-11H-A154	TCGA-DM-A0XD-01A-12H-A154	TCGA-DM-A0XF-01A-11H-A154	TCGA-DM-A1D0-01A-11H-A154	TCGA-DM-A1D4-01A-21H-A154	TCGA-DM-A1D6-01A-21H-A154	TCGA-DM-A1D7-01A-11H-A154	TCGA-DM-A1D9-01A-11H-A154	TCGA-DM-A1DA-01A-11H-A154	TCGA-DM-A1DB-01A-11H-A154	TCGA-DM-A1HA-01A-11H-A154	TCGA-F4-6459-01A-11H-1773	TCGA-F4-6460-01A-11H-1773	TCGA-F4-6461-01A-11H-1773	TCGA-F4-6463-01A-11H-1722	TCGA-F4-6569-01A-11H-1773	TCGA-F4-6570-01A-11H-1773	TCGA-F4-6703-01A-11H-1838	TCGA-F4-6704-01A-11H-1838	TCGA-F4-6805-01A-11H-1838	TCGA-F4-6806-01A-11H-1838	TCGA-F4-6807-01A-11H-1838	TCGA-F4-6808-01A-11H-1838	TCGA-F4-6809-01A-11H-1838	TCGA-F4-6854-01A-11H-1927	TCGA-F4-6855-01A-11H-1927	TCGA-F4-6856-01A-11H-1927	TCGA-G4-6293-01A-11H-1722	TCGA-G4-6294-01A-11H-1773	TCGA-G4-6295-01A-11H-1722	TCGA-G4-6297-01A-11H-1722	TCGA-G4-6298-01A-11H-1722	TCGA-G4-6299-01A-11H-1773	TCGA-G4-6302-01A-11H-1722	TCGA-G4-6303-01A-11H-1773	TCGA-G4-6304-01A-11H-1927	TCGA-G4-6306-01A-11H-1773	TCGA-G4-6307-01A-11H-1722	TCGA-G4-6309-01A-21H-1838	TCGA-G4-6310-01A-11H-1722	TCGA-G4-6311-01A-11H-1722	TCGA-G4-6314-01A-11H-1722	TCGA-G4-6315-01A-11H-1722	TCGA-G4-6317-01A-11H-1722	TCGA-G4-6320-01A-11H-1722	TCGA-G4-6321-01A-11H-1722	TCGA-G4-6322-01A-11H-1722	TCGA-G4-6323-01A-11H-1722	TCGA-G4-6586-01A-11H-1773	TCGA-G4-6588-01A-11H-1773	TCGA-G4-6625-01A-21H-1773	TCGA-G4-6626-01A-11H-1773	TCGA-G4-6627-01A-11H-1773	TCGA-G4-6628-01A-11H-1838																				
hsa-let-7a-1	4232.837593	6289.274872	4512.971518	5096.666683	7386.172784	8838.26767	5125.493652	6194.014686	7336.732033	11534.40944	4836.833179	5251.879402	6164.458307	4824.02343	6391.810315	4447.147762	7999.646509	7097.493992	4713.452664	4301.626563	4388.303149	7807.030873	4232.935241	5858.796819	9222.940963	7595.863299	12556.28274	6014.066325	5663.236986	6647.444332	9239.753662	7400.319673	11657.54116	6122.995761	5504.544698	8328.79587	4584.455618	5794.164167	4482.693893	7027.804688	7170.231874	6290.65072	6627.931594	7813.381594	4392.231812	5799.513179	5866.877794	5029.277841	6585.452648	5465.743436	6073.212695	7583.823157	8295.120948	5802.393952	7283.037443	8620.013872	6698.226556	6819.62165	10736.54516	5681.1252	5136.032755	12738.18915	3497.663829	7834.277928	5919.925424	9145.940052	2701.593755	5502.634683	6197.780781	6100.687095	8214.406752	3271.913833	4896.166869	8047.913275	10307.93851	8689.520036	6422.167596	9673.787917	7818.546731	21550.94725	8338.362213	5709.370688	7835.849716	7571.429457	9014.823282	5227.543713	4267.243163	3344.692495	8201.439329	9794.021002	5807.408014	6924.439949	7419.880423	9338.859595	5541.369547	9790.57371	7749.496241	4667.788876	6590.852527	7044.236573	4379.772022	7207.403104	7000.769839	4767.023461	4411.302967	7886.352362	4272.356377	9579.854864	6250.366717	5938.446449	6474.912271	4761.900602	6016.165349	8431.577629	6182.457031	8354.558353	5801.230362	8310.792019	5258.484737	6710.346704	7818.702384	5061.158419	3499.076638	8914.526495	6353.192856	5445.160433	3568.430878	4438.538451	6277.55317	7755.967231	6892.702928	7229.928555	5019.901988	6737.725453	7001.368429	4566.44978	4981.444806	5843.361914	8589.201368	5037.359061	7247.088214	3986.10891	6430.617517	7726.209946	6808.925825	5902.445057	4145.433321	10815.47903	5261.838393	6775.693152	8319.476333	7136.526227	6182.303687	3498.795753	6494.308329	6513.492921	5388.8634	9498.136719	7712.697508	5259.36585	5685.495819	6690.417908	6572.588304	6658.979011	4181.497697	8734.527489	4716.72727	7274.061589	5863.837422	4453.367143	7370.539133	3950.122616	5507.370585	2575.567058	7088.891575	2434.474695	6342.091793	3518.502917	3073.337817	4785.621163	7050.42278	1815.847959	4454.20709	3148.517177	3330.231381	5636.723849	4295.238011	3801.774359	4549.690617	6508.784883	5357.349454	6400.805722	3695.072745	4021.706169	3383.108957	11089.37039																				
hsa-let-7a-2	8418.912209	12537.88959	9177.488466	10126.72431	14693.23061	17662.96082	10212.77139	12538.5135	14890.30896	22976.97815	9597.179089	10516.31263	12344.05886	9619.040659	12805.44578	8850.462278	15806.08075	14210.04451	9536.757873	8554.93831	8811.060554	15629.32346	8515.114785	11672.82496	18569.44951	15317.89991	25055.29387	12027.29274	11295.87024	13574.89664	18445.48672	14771.34607	23331.72088	12249.91508	11035.85894	16662.55675	9040.812258	11689.82894	8895.941957	14129.20792	14245.8965	12531.48693	13331.60829	15548.15733	8924.914452	11622.25609	11598.60888	10052.05247	12919.48504	11109.73771	12154.41088	15187.50654	16546.34579	11655.02691	14640.88398	17279.06638	13498.9478	13640.17441	21373.50821	11327.64063	10368.56426	25481.6373	6871.156745	15782.45182	11779.43023	18558.80598	5482.434669	10892.72906	12325.40134	12239.59905	16302.77593	6571.995351	9755.965775	16275.39459	20566.41288	17315.24946	12814.5013	19449.2561	15569.08479	43092.10444	16616.01515	11423.44154	15748.68196	15252.77955	18103.62281	10310.53888	8526.838234	6649.854915	16383.11139	19390.91223	11615.01682	13834.36501	14956.76868	18693.99375	11098.971	19721.78499	15605.91774	9219.281952	13000.25086	13973.781	8799.231463	14352.06569	14030.66445	9533.617009	8872.48784	15548.13184	8482.512336	19234.1167	12420.28257	11860.59392	12955.74311	9578.251211	12027.81819	16789.32395	12480.20119	16723.7576	11622.28412	16477.67517	10514.49462	13456.42525	15787.44041	10097.88624	7011.205037	17687.87691	12745.67635	10859.50034	7172.919181	8936.562725	12646.49844	15530.3743	13736.88756	14417.55575	9960.825233	13492.3277	14053.79313	9055.947035	9910.344797	11769.56133	17013.16223	9928.197544	14422.89276	8054.90288	12895.28317	15422.66408	13444.33533	11727.73397	8248.355269	21712.01189	10572.74275	13585.55892	16806.3212	14337.3124	12301.61877	6948.37544	13003.20339	12987.5209	10717.13146	19106.03269	15547.81614	10720.09093	11305.67655	13257.9645	13193.1294	13278.01039	8419.897244	17299.67773	9555.280699	14557.58258	11650.58277	8775.229043	14762.47851	7812.679377	11162.32443	5050.481703	14175.74764	4820.627463	12656.05281	6967.759111	6074.647494	9633.981933	14180.85895	3523.680361	8879.829857	6318.159797	6667.949373	11354.63874	8614.749692	7686.188829	8936.045497	13223.17971	10633.06414	12744.99868	7188.831765	8008.314833	6709.257486	22076.34781																				
hsa-let-7a-3	4282.359061	6326.720038	4544.821744	5136.536616	7418.572245	8832.988691	5115.0527	6402.715305	7410.915814	11422.10134	4876.965905	5272.960347	6202.574982	4848.307691	6498.346652	4496.881638	7994.157525	7166.90456	4770.714384	4346.189515	4446.752333	7909.383898	4251.955161	5852.550027	9263.568804	7643.052404	12532.79726	5892.278752	5710.523618	6798.886557	9166.366354	7370.817155	11679.86118	6096.091349	5566.704492	8330.450872	4554.826425	5873.063424	4452.784056	7100.936429	7066.792179	6220.172406	6733.316083	7802.239011	4476.234783	5877.385568	5880.230613	5002.882453	6582.287917	5552.252049	6063.480382	7623.914833	8261.163586	5926.936022	7283.037443	8747.007038	6786.41966	6882.564555	10779.56464	5689.431546	5153.277117	12778.5082	3426.238083	7920.946234	5884.104631	9269.888292	2785.736491	5495.109863	6179.931455	6127.914954	8268.804078	3288.089336	4894.868013	8053.564018	10298.56295	8575.127581	6520.675732	9714.460023	7868.327855	21727.41946	8334.1622	5734.799768	7824.3407	7608.988544	9098.455376	5179.192098	4301.953735	3361.176697	8262.347222	9804.180102	5826.081352	6875.033496	7437.182334	9374.631405	5608.123257	9921.133017	7809.68048	4620.188735	6524.170591	7053.462267	4451.141965	7237.87311	7014.74186	4840.25205	4434.364807	7858.837125	4287.266673	9609.007481	6257.776665	5946.265556	6500.200693	4846.244731	6078.790172	8456.54065	6211.094058	8439.578301	5797.328119	8165.340487	5254.29653	6764.061239	7844.376933	5121.228957	3554.496422	9012.302752	6411.35334	5545.740595	3628.317557	4478.112701	6284.678656	7722.833154	6922.825664	7261.419565	4959.930577	6767.894596	6981.188085	4603.35099	4920.797287	5882.445481	8587.962064	4968.798489	7290.9746	4072.97744	6553.668672	7731.474435	6868.157575	5951.73926	4156.156911	10814.04987	5324.171609	6862.206089	8489.482896	7187.016186	6217.577303	3495.965436	6575.865613	6437.40736	5399.580944	9564.811237	7754.45096	5374.060526	5723.199161	6678.612951	6629.003353	6722.472608	4265.345512	8699.604346	4843.690677	7290.340563	5963.400279	4431.696979	7442.672713	4055.740021	5653.394181	2590.066048	7203.506335	2423.482029	6330.329509	3473.492547	3062.842288	4765.208276	7169.327138	1810.787456	4404.734224	3160.43712	3392.744576	5766.87879	4350.514686	3827.784593	4469.998584	6511.860245	5366.26981	6483.151565	3659.486986	4055.867741	3389.842052	11081.0154																				
hsa-let-7b	5558.751901	8600.851934	12493.50795	7597.729085	11015.96721	12511.68288	7072.477742	37657.28063	11235.98958	6912.983525	5249.998762	9573.946983	6080.392765	7310.911615	11028.54545	11299.34386	9487.984749	13979.98085	4479.042902	7897.443342	5293.342607	12061.23398	9332.625562	4292.934288	17515.86223	9837.201905	10426.52095	8637.958583	7229.109473	11820.27148	16690.26644	9668.03808	11961.90501	8341.488733	10201.91951	14495.74582	8395.652351	8257.163361	8913.131519	4204.919494	12906.8069	5621.29124	13401.23733	11371.10696	5954.8476	7826.043114	9105.947871	5281.755469	7705.063991	10505.71673	5154.008234	12537.4653	11195.16248	6713.873037	13718.40045	11932.96768	7982.191031	11439.03496	17368.71393	16587.49566	9401.660719	55075.81734	21045.32128	7853.83582	12077.21754	11322.49172	5540.722636	7413.274799	9677.162247	4275.773639	11572.46658	5711.904808	7251.771769	12522.04575	20230.18606	9775.306303	9693.200631	10381.5552	10619.30935	43039.13767	12132.88307	5773.60623	10022.56279	9885.620521	7624.537064	5680.681884	8830.604762	4295.494836	19709.44835	24159.20477	6575.62511	10593.07841	6832.201964	11064.44662	6907.081473	17829.59124	13138.5708	9783.722266	6348.665717	8854.988658	6182.221199	9235.320555	9092.243678	6390.663197	6555.029138	11747.79211	5421.005582	11497.14787	10909.71175	10404.03748	8973.444287	6825.662628	5200.281669	9456.11924	5934.146292	18456.52065	5016.099093	10091.251	11610.0916	17305.42202	8404.403025	8045.428273	4543.819881	22898.38885	6737.569036	6415.931898	6645.853694	6660.42107	7316.634912	12392.4331	12107.84538	9173.284218	8069.923387	8267.838663	12061.3878	8638.033327	7994.423375	12670.94144	10199.88318	10830.35884	10414.77201	6599.301311	6236.184745	8506.498783	11160.82419	7306.043919	5440.498249	13825.49541	8779.261728	7649.041242	6768.606119	7396.779016	3244.624936	4780.772043	5446.99905	8619.00084	10926.53577	10333.5711	10673.18421	14340.26678	10476.06286	7392.895993	9820.21464	8823.899352	9394.395182	12419.79214	9954.762865	12821.01202	15415.3033	4453.663994	8160.687789	7878.551702	10431.23166	3944.986207	11342.00731	3241.691334	9001.930742	8019.155182	5351.484973	5926.341299	10574.83722	3260.534222	9157.702458	4733.043439	5044.103621	11849.44118	9975.276906	7849.493591	3512.706269	7812.518878	7995.88258	7374.30778	4537.946875	3633.761741	3545.554529	11966.28783																				
hsa-let-7c	471.701831	245.852097	707.896955	971.441668	447.112553	264.451708	514.546324	5112.06674	233.086317	296.251979	862.349869	139.039495	480.548574	74.201908	1547.551273	1245.875731	81.511425	751.320457	136.839942	1463.150267	481.129066	179.325153	747.932448	130.1415	453.010955	1633.635013	2154.483336	287.53066	416.962024	389.357501	520.515276	325.78313	240.24453	174.878678	270.644652	201.496453	565.35021	492.983377	62.226213	83.245705	1045.216996	549.804644	352.379384	1395.659133	523.012133	230.977425	1315.859574	42.844688	383.635671	837.994459	449.807531	941.411955	155.292814	199.267313	547.304606	533.528077	828.856275	714.346103	218.682322	556.802046	117.052636	2072.048383	1121.933638	119.64828	880.846234	211.380609	541.72623	1417.543142	482.638703	523.974571	572.09565	413.869769	210.15487	169.52228	921.06752	337.525032	374.330919	161.235851	757.592119	458.375903	723.165878	353.717292	536.575909	106.130263	467.685618	413.39365	1660.812608	456.436336	1127.599071	534.325438	663.606247	487.365346	462.459546	1494.842736	449.826674	1081.809836	1053.534397	861.129833	1128.635157	1062.212837	1769.081412	1197.471266	672.624914	742.030587	100.447126	669.267666	439.742484	232.542964	1539.756942	765.061059	595.264357	998.638362	514.866297	818.702464	502.348883	906.708202	523.368816	706.101075	896.657125	177.725049	740.951427	537.185819	246.979471	2956.42303	938.580977	1386.923767	296.925054	194.635623	69.396038	191.889527	486.102784	767.847961	52.43402	874.00903	563.435195	357.761735	250.692781	492.600424	608.498154	676.574898	153.47551	303.424638	210.560836	278.102358	1000.7622	287.192316	124.470236	719.888607	905.490035	791.304989	213.973777	89.045928	129.592198	723.932153	604.477999	781.476935	1166.563407	1841.071272	305.301235	1522.779192	1241.547233	670.970488	531.006651	1409.336477	536.912675	2809.941022	743.43313	634.87999	488.480266	67.682156	808.043687	104.35063	550.756554	275.27069	780.695618	798.514112	635.32783	190.043783	89.109098	105.666707	201.786753	490.519759	385.063812	903.67329	148.983543	427.499335	347.762388	272.942837	178.154504	221.206425	181.650882	353.928768	261.555332	123.54322	451.194702	1098.591084																				
hsa-let-7d	233.68353	404.710375	1518.022861	339.491288	399.794271	434.133174	240.952839	2900.938604	383.648666	171.610978	340.036702	656.351689	530.152465	821.842343	819.36801	480.600236	595.829305	543.088755	791.284316	200.227011	807.829237	1182.617039	260.607496	720.116301	658.886751	625.255638	382.360018	689.849608	577.383025	376.546678	359.646409	532.091521	627.801162	299.872092	394.96424	635.934389	355.172066	521.474775	590.633339	479.5575	550.524232	487.997746	412.128626	311.587131	329.056227	347.390047	541.935606	649.938621	521.477268	325.715701	412.126012	191.177901	270.002439	883.826523	504.556554	530.549225	569.203063	444.697209	547.303296	398.843037	572.199267	933.473573	1066.990756	403.429457	373.528866	801.291942	505.0094	250.310897	537.247037	362.665677	430.252057	357.534396	310.68631	846.355679	916.54139	489.599707	677.735979	1019.707814	583.741117	1440.143788	465.055987	405.057519	660.106016	494.470544	488.554707	270.870304	275.723524	373.695247	278.842019	459.969471	586.503434	598.739214	634.598895	378.987832	888.89971	566.444151	478.578444	356.460151	599.889541	595.686275	247.983167	341.818076	423.293209	354.24867	482.761189	545.449101	373.647586	684.578012	577.673494	328.182231	332.695204	337.085337	501.989136	571.822419	310.942688	286.139642	444.699599	464.342998	538.375021	583.620103	832.818171	477.977537	709.814984	518.940308	431.680042	489.369849	324.516823	595.604919	603.807488	716.272318	560.949735	416.433356	529.583602	478.22572	728.106799	535.96758	408.327224	646.968221	582.266224	351.833691	563.420013	650.160498	736.514922	581.840488	575.783481	908.727925	350.814572	442.018955	519.13847	970.675143	1224.926597	1240.675996	866.065861	328.945713	654.017857	678.014793	645.5259	277.380238	741.207266	381.838885	362.036182	342.759425	514.082137	406.31877	476.284255	442.900287	427.614712	381.455961	789.243063	405.499235	510.654093	998.060725	252.470704	850.817575	676.414976	172.275684	406.004424	608.986455	641.256237	634.900813	813.522581	377.9672	425.741502	364.56142	656.388549	402.928362	293.927713	425.053321	630.291535	534.014716	622.532711	1078.413829	744.504923	400.111563	200.599772	501.47661																				
hsa-let-7e	428.748197	480.924525	1099.346505	487.5114	442.139612	831.816255	893.258906	1512.530275	639.121805	503.549645	716.427946	440.804942	771.209971	434.868151	823.252147	1110.52252	574.422264	1075.48738	530.406146	849.911977	871.508084	753.630132	776.981054	391.118589	2548.81814	1111.389738	1877.807956	609.217835	862.539089	888.979581	501.803943	650.520071	358.337703	227.005976	652.224118	419.956672	819.783021	1021.170068	517.062015	1351.848008	872.961773	922.306515	887.299758	545.378776	564.746093	366.132216	760.706027	369.152895	714.877469	1172.945955	1204.560861	865.404818	254.680215	1035.176802	294.216707	886.913997	959.318507	1083.62356	496.715583	1161.088702	628.63536	1671.487422	770.299197	373.133899	620.821807	1584.583102	283.637512	936.729328	592.562274	939.978625	860.093568	553.034873	474.342143	328.370935	931.736256	728.612648	549.39395	519.65879	937.570029	1151.46236	710.565839	967.510193	1169.316042	666.415354	811.7141	659.455272	714.410241	444.273236	700.502546	791.545208	470.246847	775.150955	414.072846	1163.87292	464.841186	1190.380207	730.690425	534.690226	1215.148153	905.166368	978.956315	1329.600296	725.167586	405.551673	445.691416	532.90539	756.975738	464.746944	896.90615	655.483435	1076.820488	848.779519	526.422723	963.826467	442.303503	724.595988	351.357949	432.828499	569.025084	260.165184	661.119627	1017.462707	489.541423	2488.143996	469.419734	1129.534771	364.023218	848.730787	686.83489	1200.894217	1245.149751	1089.808287	579.723633	1389.572797	955.539272	744.474419	717.457695	724.889546	1308.291686	891.287444	655.25164	768.528098	472.791209	942.801326	1222.972107	1143.196875	341.048445	777.667528	666.793849	1114.430805	473.966573	447.065638	1006.393507	634.567519	801.628283	1007.600379	1234.166375	1419.659832	916.237733	942.727314	773.128758	1469.800301	715.295812	1373.514416	530.176184	1653.48609	610.598582	1040.754412	581.820445	338.707633	868.185752	274.731931	809.465916	468.380433	722.761928	586.218254	814.47646	521.27394	294.286399	643.00593	990.763395	548.45379	585.428922	543.950659	367.966891	803.720117	259.800374	298.623828	379.031116	462.622375	876.627695	1207.079209	503.030127	350.975056	714.327119	1041.350577																				
hsa-let-7f-1	14.449235	16.264062	21.062246	17.905659	29.234862	19.104876	17.638113	8.787394	12.290804	18.105745	18.38717	16.10679	22.452288	19.787175	16.646303	12.282943	18.662548	16.562174	15.742648	6.661472	11.382209	27.869219	9.267889	24.640124	17.682584	19.134606	28.841812	17.918172	14.473245	20.588822	15.309273	18.203682	26.3782	16.254749	17.241403	15.722516	16.768862	16.848279	14.439232	19.916729	13.849666	22.877777	18.818659	19.246279	15.783998	19.270117	26.57076	13.771507	13.362196	12.622253	25.204195	21.252301	16.564567	21.953179	13.11588	21.792654	17.320808	18.994604	23.10305	16.058935	20.902256	13.147515	9.889719	11.121154	17.694608	20.058014	7.496353	14.385684	22.267476	20.93546	18.269291	18.406607	14.287414	17.580088	39.118698	19.648586	24.204856	16.704615	21.903695	42.674646	14.700046	13.979968	13.299308	30.667511	25.385533	18.479937	11.374086	18.724773	13.466451	27.667337	24.897784	12.002698	33.137558	26.909425	16.434804	24.508501	18.613682	16.497776	13.633853	16.354639	17.526503	21.744505	31.289456	16.766624	10.591364	16.994705	15.466651	19.152591	14.063779	21.364883	15.782845	12.811766	17.719853	23.693715	17.366971	12.586035	13.579805	29.531069	12.564622	21.018731	23.668725	18.969644	12.248575	15.873866	23.522685	15.485436	14.42297	11.698049	18.278421	23.91416	15.406285	16.137184	12.780792	15.68198	15.740668	11.100364	12.522362	18.681453	18.589557	10.505249	11.161855	15.995622	18.218739	31.129153	24.528485	24.004134	18.574789	29.808207	18.528405	27.107387	28.432132	40.850967	23.880895	10.797135	17.797652	18.13254	11.54197	19.316916	26.221167	13.729039	19.061913	13.384494	15.044013	14.288575	13.472982	24.570926	13.210065	15.179043	9.679722	22.263867	16.972607	19.318326	23.200011	13.8686	24.739251	8.187246	13.489612	16.926977	27.164898	23.414782	17.851593	11.168006	13.742463	12.274001	19.652352	26.885631	13.218335	15.474443	14.489461	15.157143	18.381339	24.149502	19.826352	12.167135	12.769661	30.397909																				
hsa-let-7f-2	11812.38063	15939.15879	5619.51001	10285.24908	16640.96561	17124.50497	9217.535812	3669.835621	14141.8868	16678.80276	12042.33684	10314.26716	15615.30494	10622.11554	10628.47931	5333.687211	13878.89817	10793.56906	12813.99663	6910.243782	7577.782789	12246.36522	7460.027907	16077.16038	12977.54291	14562.01102	25632.95416	9705.769623	11385.47178	11338.49305	14757.16699	16369.08529	27986.86447	13310.39732	12653.14789	13404.27222	9681.181062	14535.6813	8133.06921	15449.62483	9238.160158	16174.95743	12248.59448	13992.04501	7554.916943	11942.98474	11000.83421	14673.54069	14636.87882	8509.707513	22431.48358	13666.06455	13418.95558	14604.5631	9617.825938	16643.31665	13840.12004	11296.3892	17701.71652	8265.921569	12729.47412	6405.469366	2176.83696	10989.61783	11284.84435	27016.08756	5726.295615	9329.115894	11249.49346	21839.3895	14827.88994	7888.625526	9215.122215	15955.8137	22254.0129	19624.36209	12959.16753	22431.7562	14954.86231	22307.04157	12586.67538	13100.31459	12921.55608	17692.0527	24089.93643	14989.00064	7086.643666	11320.80545	10827.27374	12553.83783	14568.61679	8866.643889	25896.85481	17942.14119	11067.72458	11139.22845	14497.99003	9999.004724	13950.90226	15171.23412	8998.34265	13936.1501	16456.08928	9904.632303	10149.6013	13383.73477	8177.185065	17806.48595	11141.68849	11962.2423	17546.39888	9740.048291	19376.82468	13473.05009	12934.32902	10826.81514	13155.70948	19413.15155	8142.636636	9982.729609	18735.60069	11593.90132	10173.74705	6873.552671	14866.07838	9000.496286	10190.45532	9062.005633	14361.26214	14156.03039	8714.093727	11282.5552	7364.685819	10864.02782	13092.40156	5662.535731	7211.652967	7356.559624	15367.77992	5169.504036	10304.67552	6542.701419	13705.27038	19007.32336	13629.29828	15300.27778	10356.30658	17876.75736	8910.561786	14033.55174	25836.89395	25567.19732	15297.79476	7496.513469	16426.13231	12516.43039	7512.998113	16719.3698	12726.95297	6447.213706	9220.499517	11562.45675	12088.09962	11871.99449	11750.59045	11548.08555	5386.281885	7585.781944	3773.708837	10474.40739	17265.75358	10799.57759	12842.08318	8115.232093	14835.72198	6794.440757	11117.99027	4283.679201	11143.57637	15739.23618	13483.37172	3915.433067	8922.156643	7447.013789	12016.57086	13812.80443	8487.613338	9721.571966	14095.61068	14361.94248	13512.44687	15484.58153	13118.43602	9164.192682	10318.96989	28369.78149																				
