"","V1","V2"
"1","CAMKK1","PRKAA2"
"2","CAMKK1","PRKAG2"
"3","CAMKK1","OSBPL3"
"4","ACACA","PRKAA2"
"5","ACACA","PRKAG1"
"6","ACACA","PRKAG2"
"7","ACACA","PRKAG3"
"8","G6PC","PRKAA2"
"9","G6PC","PRKAG1"
"10","G6PC","PRKAG2"
"11","G6PC","GALM"
"12","G6PC","PRKAG3"
"13","RPTOR","RUVBL1"
"14","RPTOR","PRKAG2"
"15","RPTOR","PPP1R7"
"16","PRKAA2","PRKAG1"
"17","PRKAA2","PRKAG2"
"18","PRKAA2","SLC2A4"
"19","PRKAA2","PPP1R7"
"20","PRKAA2","TRMT1"
"21","PRKAA2","PPCDC"
"22","PRKAA2","SLC2A1"
"23","PRKAA2","OSBPL3"
"24","PRKAA2","KDM6A"
"25","PRKAA2","PCK1"
"26","PRKAA2","PCK2"
"27","RUVBL1","PRKAG2"
"28","RUVBL1","PPP1R7"
"29","RUVBL1","DNASE2"
"30","RUVBL1","DPCD"
"31","RUVBL1","STAP1"
"32","PRKAG1","PRKAG2"
"33","PRKAG1","SLC2A4"
"34","PRKAG1","SLC2A1"
"35","PRKAG1","PCK1"
"36","PRKAG1","PCK2"
"37","ENSG00000187558","PPP1R7"
"38","ENSG00000187558","PPCDC"
"39","ENSG00000187558","LMTK2"
"40","ENSG00000187558","PPP1R2"
"41","ENSG00000187558","PPP1R9A"
"42","AGRP","GHRL"
"43","AGRP","MC3R"
"44","AGRP","MC4R"
"45","AGRP","MC5R"
"46","GHRL","GHSR"
"47","GHRL","GHRHR"
"48","GHRL","MLNR"
"49","GHRL","NPY"
"50","MC3R","POMC"
"51","MC3R","ASIP"
"52","MC3R","PMCHL1"
"53","MC3R","PMCH"
"54","MC3R","PMCHL2"
"55","PRKAG2","SLC2A4"
"56","PRKAG2","PPP1R7"
"57","PRKAG2","SLC2A1"
"58","PRKAG2","KDM6A"
"59","PRKAG2","PCK1"
"60","PRKAG2","PCK2"
"61","SLC2A4","HK1"
"62","SLC2A4","PRKAG3"
"63","SNCB","CENPT"
"64","PPP1R7","PPCDC"
"65","PPP1R7","PPP1R2"
"66","PPCDC","CENPT"
"67","PPCDC","PPP1R2"
"68","SLC2A1","HK1"
"69","SLC2A1","PRKAG3"
"70","DHX29","CENPT"
"71","LMTK2","PPP1R2"
"72","PCK1","PRKAG3"
"73","PCK2","PRKAG3"
"74","MC2R","DEFA5"
"75","MC2R","POMC"
"76","MC2R","ASIP"
"77","MC2R","PMCHL1"
"78","MC2R","PMCH"
"79","MC2R","PMCHL2"
"80","POMC","MC4R"
"81","POMC","MC5R"
"82","POMC","NRD1"
"83","GHRHR","MLNR"
"84","NPY","GPR83"
"85","NPY","NPY4R"
"86","NPY","NPFFR2"
"87","NPY","NPY1R"
"88","NPY","PMCH"
"89","NPY","MC4R"
"90","NPY","NPFF"
"91","NPY","NPY2R"
"92","NPY","NPY5R"
"93","GPR83","PYY"
"94","GPR83","PPY"
"95","PYY","NPY4R"
"96","PYY","NPY1R"
"97","PYY","NPY2R"
"98","PYY","NPY5R"
"99","NPFFR2","NPFF"
"100","PPP1R2","PPP1R9A"
"101","NPY1R","MC4R"
"102","NPY1R","PPY"
"103","ASIP","MC4R"
"104","ASIP","MC5R"
"105","PMCHL1","MC4R"
"106","PMCHL1","MC5R"
"107","PMCHL1","MCHR1"
"108","PMCHL1","MCHR2"
"109","PMCH","MC4R"
"110","PMCH","MC5R"
"111","PMCH","MCHR1"
"112","PMCH","MCHR2"
"113","MC4R","PMCHL2"
"114","MC4R","NPY5R"
"115","PMCHL2","MC5R"
"116","PMCHL2","MCHR1"
"117","PMCHL2","MCHR2"
"118","NPY2R","PPY"
"119","NPY5R","PPY"
