"","V1","V2"
"1","KLF6","TSG101"
"2","KLF6","PDCD6IP"
"3","KLF6","CHMP6"
"4","KLF6","SNF8"
"5","KLF6","VPS28"
"6","RPP14","RPP25"
"7","RPP14","RPP38"
"8","RPP14","RPP40"
"9","RPP14","POP4"
"10","RPP14","POP5"
"11","PLXNA2","PDCD6IP"
"12","PLXNA2","SEMA6A"
"13","AGFG2","EPS15L1"
"14","FAM73B","STAMBP"
"15","ASAP1","RPS27A"
"16","ASAP1","UBC"
"17","ASAP1","ENSG00000196084"
"18","ASAP1","REPS2"
"19","AK3","RPS27A"
"20","AK3","UBC"
"21","AK3","ENSG00000196084"
"22","AK3","HEBP1"
"23","KYNU","RPS27A"
"24","KYNU","UBC"
"25","KYNU","ENSG00000196084"
"26","KYNU","HAAO"
"27","KYNU","METTL1"
"28","KYNU","GCK"
"29","KYNU","CAT"
"30","KYNU","WDR4"
"31","VPS37B","TSG101"
"32","VPS37B","VPS28"
"33","THSD7A","ASAP2"
"34","RPP25","POP7"
"35","RPP25","POP1"
"36","RPP25","POP4"
"37","RPP25","POP5"
"38","ADAM19","RPS27A"
"39","ADAM19","UBC"
"40","ADAM19","ENSG00000196084"
"41","RPS27A","TSG101"
"42","RPS27A","UBC"
"43","RPS27A","ENSG00000196084"
"44","RPS27A","ABHD1"
"45","RPS27A","ENO1"
"46","RPS27A","DHRS2"
"47","RPS27A","EIF3M"
"48","RPS27A","RBX1"
"49","RPS27A","ADA"
"50","RPS27A","PTRH2"
"51","RPS27A","SNCAIP"
"52","RPS27A","STAM2"
"53","RPS27A","TRNAU1AP"
"54","RPS27A","EPS15L1"
"55","RPS27A","LGALS2"
"56","RPS27A","NUB1"
"57","RPS27A","PRODH"
"58","RPS27A","STAM"
"59","RPS27A","HRSP12"
"60","RPS27A","ENSG00000171032"
"61","RPS27A","ASAP2"
"62","RPS27A","ENSG00000214225"
"63","RPS27A","DIP2B"
"64","RPS27A","SYAP1"
"65","RPS27A","CYB5B"
"66","RPS27A","UCHL3"
"67","RPS27A","GCK"
"68","RPS27A","C11orf54"
"69","RPS27A","POLI"
"70","RPS27A","DDR2"
"71","RPS27A","MAST2"
"72","RPS27A","TOM1"
"73","RPS27A","FIS1"
"74","RPS27A","DENR"
"75","RPS27A","FBXO9"
"76","RPS27A","VPS28"
"77","RPS27A","DNAJB2"
"78","RPS27A","GPATCH4"
"79","RPS27A","USP5"
"80","RPS27A","OTUD7B"
"81","RPS27A","FARSB"
"82","RPS27A","HECW2"
"83","RPS27A","ZNF827"
"84","RPS27A","SLC40A1"
"85","RPS27A","KLF5"
"86","RPS27A","HEBP1"
"87","RPS27A","HERC3"
"88","RPS27A","PM20D1"
"89","RPS27A","KLF1"
"90","RPS27A","RNF168"
"91","RPS27A","NETO2"
"92","RPS27A","NGLY1"
"93","RPS27A","TTF2"
"94","RPS27A","TBC1D16"
"95","RPS27A","RNF11"
"96","RPS27A","ZFAND5"
"97","RPS27A","ZNF385A"
"98","RPS27A","ZRANB1"
"99","RPS27A","STAMBP"
"100","RPS27A","UBASH3B"
"101","RPS27A","VPS36"
"102","TSG101","UBC"
"103","TSG101","ENSG00000196084"
"104","TSG101","STAM2"
"105","TSG101","PDCD6IP"
"106","TSG101","CACTIN"
"107","TSG101","CEP55"
"108","TSG101","SNF8"
"109","TSG101","CHMP3"
"110","TSG101","CTDSP1"
"111","TSG101","VPS28"
"112","TSG101","PM20D1"
"113","TSG101","PLA2G15"
"114","TSG101","VPS37A"
"115","UBC","ENSG00000196084"
"116","UBC","ABHD1"
"117","UBC","ENO1"
"118","UBC","ANKRD20A11P"
"119","UBC","POTEI"
"120","UBC","POTEM"
"121","UBC","ENSG00000215820"
"122","UBC","DHRS2"
"123","UBC","EIF3M"
"124","UBC","RBX1"
"125","UBC","ADA"
"126","UBC","PTRH2"
"127","UBC","SNCAIP"
"128","UBC","STAM2"
"129","UBC","TRNAU1AP"
"130","UBC","EPS15L1"
"131","UBC","LGALS2"
"132","UBC","NUB1"
"133","UBC","PRODH"
"134","UBC","STAM"
"135","UBC","HRSP12"
"136","UBC","ENSG00000171032"
"137","UBC","ASAP2"
"138","UBC","ENSG00000214225"
"139","UBC","DIP2B"
"140","UBC","SYAP1"
"141","UBC","CYB5B"
"142","UBC","UCHL3"
"143","UBC","GCK"
"144","UBC","C11orf54"
"145","UBC","POLI"
"146","UBC","DDR2"
"147","UBC","MAST2"
"148","UBC","TOM1"
"149","UBC","FIS1"
"150","UBC","DENR"
"151","UBC","FBXO9"
"152","UBC","VPS28"
"153","UBC","GPATCH4"
"154","UBC","USP5"
"155","UBC","OTUD7B"
"156","UBC","FARSB"
"157","UBC","HECW2"
"158","UBC","ZNF827"
"159","UBC","SLC40A1"
"160","UBC","KLF5"
"161","UBC","HEBP1"
"162","UBC","HERC3"
"163","UBC","PM20D1"
"164","UBC","KLF1"
"165","UBC","RNF168"
"166","UBC","NETO2"
"167","UBC","NGLY1"
"168","UBC","TTF2"
"169","UBC","TBC1D16"
"170","UBC","RNF11"
"171","UBC","ZFAND5"
"172","UBC","ZNF385A"
"173","UBC","ZRANB1"
"174","UBC","STAMBP"
"175","UBC","UBASH3B"
"176","UBC","VPS36"
"177","ENSG00000196084","ABHD1"
"178","ENSG00000196084","ENO1"
"179","ENSG00000196084","ANKRD20A11P"
"180","ENSG00000196084","POTEI"
"181","ENSG00000196084","POTEM"
"182","ENSG00000196084","ENSG00000215820"
"183","ENSG00000196084","DHRS2"
"184","ENSG00000196084","EIF3M"
"185","ENSG00000196084","RBX1"
"186","ENSG00000196084","ADA"
"187","ENSG00000196084","PTRH2"
"188","ENSG00000196084","SNCAIP"
"189","ENSG00000196084","STAM2"
"190","ENSG00000196084","TRNAU1AP"
"191","ENSG00000196084","EPS15L1"
"192","ENSG00000196084","LGALS2"
"193","ENSG00000196084","NUB1"
"194","ENSG00000196084","PRODH"
"195","ENSG00000196084","STAM"
"196","ENSG00000196084","HRSP12"
"197","ENSG00000196084","ENSG00000171032"
"198","ENSG00000196084","ASAP2"
"199","ENSG00000196084","ENSG00000214225"
"200","ENSG00000196084","DIP2B"
"201","ENSG00000196084","SYAP1"
"202","ENSG00000196084","CYB5B"
"203","ENSG00000196084","UCHL3"
"204","ENSG00000196084","GCK"
"205","ENSG00000196084","C11orf54"
"206","ENSG00000196084","POLI"
"207","ENSG00000196084","DDR2"
"208","ENSG00000196084","MAST2"
"209","ENSG00000196084","TOM1"
"210","ENSG00000196084","FIS1"
"211","ENSG00000196084","DENR"
"212","ENSG00000196084","FBXO9"
"213","ENSG00000196084","VPS28"
"214","ENSG00000196084","DNAJB2"
"215","ENSG00000196084","GPATCH4"
"216","ENSG00000196084","USP5"
"217","ENSG00000196084","OTUD7B"
"218","ENSG00000196084","FARSB"
"219","ENSG00000196084","HECW2"
"220","ENSG00000196084","ZNF827"
"221","ENSG00000196084","SLC40A1"
"222","ENSG00000196084","KLF5"
"223","ENSG00000196084","HEBP1"
"224","ENSG00000196084","HERC3"
"225","ENSG00000196084","PM20D1"
"226","ENSG00000196084","KLF1"
"227","ENSG00000196084","RNF168"
"228","ENSG00000196084","NETO2"
"229","ENSG00000196084","NGLY1"
"230","ENSG00000196084","TTF2"
"231","ENSG00000196084","TBC1D16"
"232","ENSG00000196084","RNF11"
"233","ENSG00000196084","ZFAND5"
"234","ENSG00000196084","ZNF385A"
"235","ENSG00000196084","ZRANB1"
"236","ENSG00000196084","STAMBP"
"237","ENSG00000196084","UBASH3B"
"238","ENSG00000196084","VPS36"
"239","ENO1","DHRS2"
"240","ENO1","EIF3M"
"241","ENO1","FMN2"
"242","ENO1","GIN1"
"243","ENO1","GPKOW"
"244","ENO1","CTSZ"
"245","ENO1","MRPS14"
"246","ENO1","FARSB"
"247","HAAO","RAD1"
"248","HAAO","CAT"
"249","ACO1","ANKRD20A11P"
"250","ACO1","POTEI"
"251","ACO1","POTEM"
"252","ACO1","ENSG00000215820"
"253","ANKRD20A11P","POTEI"
"254","ANKRD20A11P","POTEM"
"255","ANKRD20A11P","ENSG00000215820"
"256","ANKRD20A11P","RAD1"
"257","ANKRD20A11P","TRIM2"
"258","POTEI","POTEM"
"259","POTEI","ENSG00000215820"
"260","POTEI","RAD1"
"261","POTEI","TRIM2"
"262","POTEM","ENSG00000215820"
"263","POTEM","RAD1"
"264","POTEM","TRIM2"
"265","ENSG00000215820","RAD1"
"266","ENSG00000215820","TRIM2"
"267","DHRS2","EIF3M"
"268","DHRS2","CYP24A1"
"269","DHRS2","CYP26A1"
"270","DHRS2","CYP26B1"
"271","DHRS2","CYP46A1"
"272","DHRS2","CYP8B1"
"273","DHRS2","FARSB"
"274","EIF3M","FARSB"
"275","EIF3M","RRM2B"
"276","FMN2","GIN1"
"277","FMN2","GPKOW"
"278","FMN2","CTSZ"
"279","FMN2","MRPS14"
"280","RBX1","HERC6"
"281","RBX1","FBXO9"
"282","RBX1","PITX2"
"283","FIGNL1","RAD1"
"284","DUS1L","METTL1"
"285","DUS1L","WDR4"
"286","REPS2","EPN1"
"287","REPS2","ASAP2"
"288","ADA","HERC6"
"289","STAM2","RNF11"
