"","V1","V2"
"1","RAB11FIP2","MYO5B"
"2","RAB11FIP2","RAB11B"
"3","AP1S2","CLTC"
"4","AP1S2","GMPPB"
"5","AP1S2","ATP6V1B2"
"6","AP1S2","EEF1A1"
"7","AP1S2","HSPA8"
"8","AP1S2","ENSG00000185637"
"9","AP1S2","TUBB4A"
"10","AP1S2","TUBB4B"
"11","AP1S2","ENSG00000137379"
"12","AP1S2","ENSG00000183311"
"13","AP1S2","CAD"
"14","AP1S2","TUBA4A"
"15","AP1S2","TUBB"
"16","AP1S2","TUBB2B"
"17","AP1S2","GPI"
"18","AP1S2","HAS1"
"19","AP1S2","HAS3"
"20","AP1S2","AP1G1"
"21","AP1S2","AP1G2"
"22","AP1S2","AP1S1"
"23","AP1S2","GGA3"
"24","PICALM","CLTC"
"25","PICALM","GMPPB"
"26","PICALM","EEF1A1"
"27","PICALM","HSPA8"
"28","PICALM","VAC14"
"29","PICALM","ENSG00000185637"
"30","PICALM","CAD"
"31","PICALM","EXOC2"
"32","PICALM","HIP1R"
"33","PICALM","ITSN1"
"34","PICALM","VAMP7"
"35","SLC35B4","FAXDC2"
"36","SLC35B4","SLC35G1"
"37","MAPK7","UBE2R2"
"38","MAPK7","PAK2"
"39","MAPK7","MYO5B"
"40","MAPK7","EXOC2"
"41","MAPK7","EXOC6"
"42","MAPK7","BIN3"
"43","MAPK7","RAB6A"
"44","MAPK7","DIAPH1"
"45","MAPK7","HAS1"
"46","MAPK7","HAS3"
"47","MAPK7","PFN4"
"48","MAPK7","RAB6B"
"49","MAPK7","SACM1L"
"50","MAPK7","ARHGAP21"
"51","MAPK7","ALG8"
"52","MAPK7","ENSG00000212677"
"53","MAPK7","CKS2"
"54","MAPK7","CYP51A1"
"55","MAPK7","GGA3"
"56","MAPK7","PIGT"
"57","MAPK7","RABEPK"
"58","MAPK7","SEC22A"
"59","MAPK7","POR"
"60","MAPK7","DHDDS"
"61","MAPK7","LSS"
"62","MAPK7","PIGF"
"63","MAPK7","PIGU"
"64","WIPF1","RQCD1"
"65","WIPF1","CLTC"
"66","WIPF1","TUBB4A"
"67","WIPF1","TUBB4B"
"68","WIPF1","ENSG00000137379"
"69","WIPF1","ENSG00000183311"
"70","WIPF1","MYO5B"
"71","WIPF1","BIN3"
"72","WIPF1","NAF1"
"73","WIPF1","SV2B"
"74","WIPF1","TUBB"
"75","WIPF1","TUBB2B"
"76","WIPF1","WASL"
"77","WIPF1","TRIP10"
"78","WIPF1","RAB6A"
"79","WIPF1","ATP6V0D1"
"80","WIPF1","ESX1"
"81","WIPF1","CAPZA2"
"82","WIPF1","CORO6"
"83","WIPF1","D2HGDH"
"84","WIPF1","DBNL"
"85","WIPF1","HAS1"
"86","WIPF1","HAS3"
"87","WIPF1","ITSN1"
"88","WIPF1","MYO1E"
"89","WIPF1","PFN4"
"90","WIPF1","RAB6B"
"91","WIPF1","ENSG00000173366"
"92","WIPF1","ARHGAP21"
"93","WIPF1","ATP13A1"
"94","WIPF1","GRAP"
"95","WIPF1","PCSK7"
"96","WIPF1","RAB7A"
"97","WIPF1","PEMT"
"98","WIPF1","SEC22A"
"99","RQCD1","GMPPB"
"100","RQCD1","ATP6V1B2"
"101","RQCD1","EEF1A1"
"102","RQCD1","HSPA8"
"103","RQCD1","ENSG00000185637"
"104","RQCD1","TUBB4A"
"105","RQCD1","TUBB4B"
"106","RQCD1","ENSG00000137379"
"107","RQCD1","ENSG00000183311"
"108","RQCD1","CAD"
"109","RQCD1","BIN3"
"110","RQCD1","TUBA4A"
"111","RQCD1","TUBB"
"112","RQCD1","TUBB2B"
"113","RQCD1","RAB6A"
"114","RQCD1","RAB6B"
"115","RQCD1","CNOT8"
"116","RQCD1","THG1L"
"117","RQCD1","RAB5A"
"118","RQCD1","CNOT2"
"119","RQCD1","CNOT3"
"120","RQCD1","SEC22A"
"121","MBOAT2","TRIP10"
"122","MBOAT2","ATP2C1"
"123","PGAP3","STX16"
"124","PGAP3","TRIP10"
"125","PGAP3","RAB6A"
"126","PGAP3","ATP2C1"
"127","PGAP3","RAB6B"
"128","PGAP3","ATP13A1"
"129","PGAP3","ALG8"
"130","PGAP3","FA2H"
"131","PGAP3","PIGK"
"132","PGAP3","ERN2"
"133","PGAP3","MAGT1"
"134","PGAP3","ALG5"
