"","V1","V2"
"1","SNX16","CALU"
"2","SNX16","ATG13"
"3","SNX16","FSTL1"
"4","SNX16","KRT19"
"5","SNX16","CIAO1"
"6","SNX16","TGM2"
"7","SNX16","CCND2"
"8","SNX16","RABGGTB"
"9","SNX16","ALS2"
"10","SNX16","ANXA5"
"11","SNX16","BLOC1S5"
"12","SNX16","CAMK1"
"13","SNX16","CRTAP"
"14","SNX16","FCER2"
"15","SNX16","GDAP1L1"
"16","SNX16","GP2"
"17","SNX16","MIOX"
"18","SNX16","PALM"
"19","SNX16","RAD51B"
"20","SNX16","SDC3"
"21","SNX16","SELPLG"
"22","SNX16","TNFRSF10B"
"23","SNX16","HMOX2"
"24","SNX16","MFAP3"
"25","CALU","ATG13"
"26","CALU","FSTL1"
"27","CALU","KRT19"
"28","CALU","HSPD1"
"29","CALU","CIAO1"
"30","CALU","TGM2"
"31","CALU","CCND2"
"32","CALU","RABGGTB"
"33","CALU","ALS2"
"34","CALU","ANXA5"
"35","CALU","BLOC1S5"
"36","CALU","CAMK1"
"37","CALU","CRTAP"
"38","CALU","FCER2"
"39","CALU","GDAP1L1"
"40","CALU","GP2"
"41","CALU","MIOX"
"42","CALU","PALM"
"43","CALU","RAD51B"
"44","CALU","SDC3"
"45","CALU","SELPLG"
"46","CALU","TNFRSF10B"
"47","CALU","HMOX2"
"48","CALU","MFAP3"
"49","ATG13","FSTL1"
"50","ATG13","KRT19"
"51","ATG13","CIAO1"
"52","ATG13","TGM2"
"53","ATG13","CCND2"
"54","ATG13","RABGGTB"
"55","ATG13","ALS2"
"56","ATG13","ANXA5"
"57","ATG13","BLOC1S5"
"58","ATG13","CAMK1"
"59","ATG13","CRTAP"
"60","ATG13","FCER2"
"61","ATG13","GDAP1L1"
"62","ATG13","GP2"
"63","ATG13","MIOX"
"64","ATG13","PALM"
"65","ATG13","RAD51B"
"66","ATG13","SDC3"
"67","ATG13","SELPLG"
"68","ATG13","TNFRSF10B"
"69","ATG13","HMOX2"
"70","ATG13","MFAP3"
"71","FSTL1","KRT19"
"72","FSTL1","CIAO1"
"73","FSTL1","TGM2"
"74","FSTL1","CCND2"
"75","FSTL1","RABGGTB"
"76","FSTL1","ALS2"
"77","FSTL1","ANXA5"
"78","FSTL1","BLOC1S5"
"79","FSTL1","CAMK1"
"80","FSTL1","CRTAP"
"81","FSTL1","FCER2"
"82","FSTL1","GDAP1L1"
"83","FSTL1","GP2"
"84","FSTL1","MIOX"
"85","FSTL1","PALM"
"86","FSTL1","RAD51B"
"87","FSTL1","SDC3"
"88","FSTL1","SELPLG"
"89","FSTL1","TNFRSF10B"
"90","FSTL1","HMOX2"
"91","FSTL1","MFAP3"
"92","TSSK1B","TSSK2"
"93","TSSK1B","ENSG00000182490"
"94","FAM96B","CIAO1"
"95","FAM96B","MLF2"
"96","FAM96B","MUC17"
"97","FAM96B","NARFL"
"98","KRT19","CIAO1"
"99","KRT19","TGM2"
"100","KRT19","CCND2"
"101","KRT19","RABGGTB"
"102","KRT19","ALS2"
"103","KRT19","ANXA5"
